A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,12,70,37,46,53,220,87,38,14,2,1,49,16,4,3,8,8
3,13,74,39,50,59,307,98,40,16,3,1,52,17,4,3,9,10
3,14,79,43,59,67,412,109,41,18,3,1,53,19,4,3,11,14
3,15,84,47,68,77,546,127,43,21,3,1,59,22,4,3,15,18
3,17,92,54,81,91,688,157,46,26,3,1,66,25,5,4,20,23
4,19,104,63,98,107,857,204,50,32,4,1,75,31,5,5,26,29
4,20,110,69,114,125,1052,268,54,41,4,2,88,38,6,6,35,40
4,20,115,74,133,143,1387,351,63,52,6,2,106,48,8,7,47,57
4,22,120,82,160,169,2297,488,76,71,8,2,127,61,9,9,63,71
5,24,129,92,213,218,2652,653,90,91,10,3,143,77,10,10,76,75
5,27,141,105,263,271,2559,860,102,113,11,3,158,98,11,11,92,77
5,30,151,122,343,350,2551,1036,110,134,11,3,174,119,11,13,105,79
5,32,163,135,401,411,2569,1201,122,144,12,3,195,144,12,14,110,79
5,34,172,156,501,537,2650,1281,137,156,14,3,215,145,13,16,101,72
5,37,191,186,613,647,2261,1062,152,126,15,4,226,125,14,16,73,58
6,42,208,225,795,801,1810,798,170,99,15,4,229,114,15,16,57,49
6,58,269,300,960,1014,1599,810,244,103,18,6,297,143,21,22,63,46
7,81,351,378,1204,1243,1492,964,337,125,23,9,387,182,27,29,75,47
9,113,478,518,1539,1599,1557,1197,441,150,29,12,469,240,32,38,101,53
11,153,619,619,1779,1962,1889,1623,518,207,35,13,524,334,33,47,162,75
13,202,805,761,2018,2198,2798,2283,477,291,40,11,472,395,31,49,254,123
15,260,1006,866,2114,2315,4636,2747,368,367,37,10,356,309,30,42,214,137
18,318,1202,1018,2368,2581,4012,1947,269,261,28,9,234,231,26,31,135,100
21,390,1453,1139,2489,2680,2438,1378,193,209,18,8,194,192,19,21,124,69
24,474,1671,1153,2373,2496,1752,685,164,94,12,6,171,72,14,12,63,53
30,583,2055,1090,2037,2206,1462,581,115,78,8,4,128,61,11,9,54,44
37,673,2411,1075,1972,2198,1279,525,90,62,7,3,110,61,10,8,47,36
42,744,2652,1124,2071,2317,1026,473,84,62,7,2,101,54,8,7,37,27
49,835,3090,1242,2304,2644,762,364,76,50,6,2,87,48,7,6,27,21
58,1036,3597,1523,2765,3063,665,334,75,46,7,2,86,47,7,6,25,20
60,1159,3986,1867,3896,4517,683,309,70,45,7,2,92,49,7,6,26,22
53,1180,4184,2619,6043,6941,744,310,72,46,7,2,97,52,7,7,25,23
