A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,11,63,31,35,42,68,49,28,8,1,1,35,10,3,2,4,2
2,11,64,32,36,43,79,52,29,9,1,1,36,10,3,2,4,3
2,12,67,33,38,45,91,56,31,9,2,1,37,10,3,2,4,3
2,12,67,33,38,45,106,57,31,9,2,1,38,11,3,2,4,3
3,12,71,35,40,48,118,60,33,10,2,1,38,11,3,2,4,4
3,13,73,36,42,50,133,60,32,10,2,1,38,11,3,2,4,4
3,13,75,37,43,51,153,62,33,10,2,1,41,12,4,2,5,5
3,14,77,39,45,53,178,65,34,11,2,1,41,12,4,2,5,6
3,14,78,39,46,54,203,68,36,11,2,1,43,13,4,2,5,7
3,14,80,40,48,56,234,72,36,12,2,1,45,13,4,3,6,8
3,15,82,41,49,57,265,75,37,12,2,1,47,14,4,3,6,9
3,15,82,41,50,57,300,80,39,13,3,1,49,15,4,3,7,10
3,15,85,43,52,59,337,85,40,14,3,1,50,15,4,3,8,11
3,15,84,42,53,61,387,89,40,15,3,1,53,16,4,3,8,13
3,15,86,44,56,63,441,96,42,16,3,1,56,17,5,3,9,14
3,15,86,44,57,65,481,102,44,17,3,1,58,18,5,3,10,16
4,16,90,47,61,69,528,108,45,18,3,1,61,19,5,4,11,18
4,16,91,48,65,73,606,112,46,19,3,1,62,20,5,4,12,20
4,17,96,51,70,77,649,119,47,20,4,1,65,22,5,4,13,21
4,18,100,54,77,84,752,128,48,22,4,1,66,23,6,4,14,24
4,19,104,58,82,90,839,138,50,23,4,2,69,24,6,4,15,26
4,20,111,63,91,98,941,152,52,25,4,2,70,25,6,4,17,30
5,20,115,65,97,104,991,158,54,26,4,2,71,26,6,4,19,32
5,22,120,72,108,116,1094,168,55,28,5,2,74,28,6,5,22,35
5,23,128,75,115,123,1123,178,56,29,5,2,76,29,6,5,24,37
5,23,129,76,117,123,1237,193,57,32,5,2,78,31,6,5,27,37
5,24,133,78,120,126,1241,206,57,34,5,2,81,32,6,5,29,38
5,24,130,80,127,132,1254,229,59,38,5,2,84,34,6,5,32,36
5,24,132,82,132,137,1217,246,61,41,5,2,86,35,7,5,32,33
5,24,134,83,140,147,1007,267,61,42,5,2,87,36,6,5,28,24
5,24,138,89,149,157,901,279,61,43,5,2,87,36,7,5,27,21
5,24,137,89,157,162,667,279,61,41,5,2,87,38,6,5,26,18
5,25,141,99,191,199,682,338,64,48,6,2,96,49,7,6,31,20
5,26,142,108,232,237,752,405,69,56,7,2,106,60,7,8,36,23
5,26,141,117,266,275,858,477,75,66,8,2,117,72,8,9,42,27
5,27,143,129,317,323,993,555,82,76,9,2,135,85,8,11,49,31
5,28,149,143,373,376,1117,636,89,85,11,2,148,97,9,13,55,34
5,30,157,158,427,437,1209,722,101,94,12,3,173,115,10,15,63,39
5,32,166,175,476,491,1375,777,114,108,14,3,196,128,11,17,71,43
6,35,178,202,561,585,1544,853,130,120,16,3,220,142,12,19,78,48
6,37,188,228,644,658,1656,939,146,132,18,3,251,157,12,22,85,52
6,40,197,250,716,743,1847,1057,184,148,21,4,295,163,14,25,96,57
6,43,204,272,790,826,1996,1106,219,156,23,4,327,187,16,28,104,62
6,47,221,307,885,938,2199,1254,255,173,26,5,368,205,18,31,113,67
6,52,234,346,982,1029,2297,1322,294,190,29,6,410,213,20,35,124,71
7,61,261,393,1103,1167,2538,1471,340,200,32,7,454,236,23,37,137,78
7,69,285,433,1177,1254,2667,1543,371,222,35,8,497,262,25,41,146,82
