A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
3,13,75,41,53,60,307,115,46,19,3,1,59,20,5,3,10,10
3,13,76,42,57,64,381,127,47,20,4,1,59,20,5,3,12,12
3,14,79,44,61,68,446,142,49,23,4,1,61,21,5,4,14,14
3,14,81,46,67,73,535,157,50,24,4,1,63,23,5,4,16,16
3,15,84,49,74,80,592,177,52,27,4,1,64,24,5,4,19,18
3,16,89,52,80,86,667,201,53,30,4,1,66,26,5,4,22,20
3,17,92,54,86,91,710,230,55,33,4,2,70,29,5,4,25,22
3,18,94,56,94,100,777,269,55,37,4,2,73,32,5,5,30,24
3,18,96,59,105,108,825,311,58,42,4,2,78,36,6,5,33,26
3,19,99,62,121,124,901,366,59,48,4,2,84,41,6,6,39,29
4,20,103,67,134,136,974,415,62,54,5,2,89,46,6,6,43,30
4,21,106,71,154,157,1044,479,65,60,5,2,95,53,7,6,48,33
4,22,111,76,178,179,1147,536,69,67,5,2,100,60,7,7,57,37
4,23,115,82,207,211,1260,611,73,76,6,2,112,72,7,8,65,40
4,24,121,90,239,238,1309,631,79,83,6,2,118,77,8,8,70,43
5,25,129,100,284,281,1484,768,86,97,7,2,127,90,9,9,78,47
5,28,144,112,312,314,1651,875,90,107,7,2,137,101,9,10,85,54
5,31,158,125,361,365,1914,985,97,120,8,3,152,122,10,11,107,69
5,33,169,136,404,411,2234,1081,103,130,9,3,162,133,11,12,120,83
6,35,177,155,492,482,2874,1091,112,145,11,3,182,152,13,14,148,111
6,38,185,168,526,540,3650,1329,123,178,12,3,205,172,14,17,178,144
6,39,190,187,584,597,5357,1681,140,218,16,4,235,199,17,20,226,190
6,40,195,191,625,641,6019,1816,155,233,17,5,253,205,18,21,223,196
6,45,213,227,709,734,5879,1845,168,231,19,5,271,212,19,22,195,173
7,49,226,248,777,795,5603,1879,172,223,20,5,280,213,20,23,179,158
7,50,229,266,837,866,4921,1750,186,208,20,5,274,200,20,21,152,130
7,53,240,285,885,917,4524,1764,184,209,20,5,270,184,20,21,133,110
7,56,252,318,992,1040,3813,1625,176,188,18,5,267,151,20,19,102,87
7,59,262,350,1097,1154,3497,1472,187,171,18,6,254,132,20,18,85,71
7,61,270,382,1153,1231,2700,1118,189,133,17,6,237,109,19,17,62,50
7,67,292,412,1215,1186,2074,933,185,112,16,6,228,102,20,16,54,43
7,71,313,460,1374,1422,1440,672,177,85,15,6,211,92,20,15,46,33
8,88,363,501,1401,1489,1187,686,204,86,16,6,215,107,20,17,49,31
8,107,434,560,1551,1654,1037,706,206,86,16,6,196,109,20,17,49,29
9,127,504,611,1541,1777,1002,731,211,89,17,6,182,116,21,18,52,29
10,152,588,636,1692,1830,980,751,191,90,15,6,154,112,20,17,53,30
11,184,666,727,1786,1993,1020,759,179,94,15,6,144,111,19,16,56,30
12,211,788,769,1837,2046,1011,779,155,88,12,6,130,107,17,14,56,32
14,243,906,833,1947,2102,1057,840,142,97,11,6,129,107,15,13,63,34
16,269,1032,953,2298,2577,1134,806,115,95,9,5,119,103,12,11,64,34
17,302,1174,1069,2644,2970,1213,735,100,90,7,5,119,101,10,10,67,37
20,353,1333,1149,3090,3508,1321,569,104,70,7,3,115,54,10,8,46,36
23,381,1452,1305,3757,4148,1183,492,99,61,7,3,113,53,10,8,49,39
