A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,9,53,24,23,31,29,30,20,5,1,1,24,6,2,1,2,1
2,10,55,25,25,32,32,32,22,5,1,1,26,7,2,1,2,1
2,10,58,26,26,34,35,34,23,6,1,1,27,7,2,1,2,1
2,11,63,28,29,37,38,36,24,6,1,1,28,7,2,1,2,1
3,12,68,30,31,39,41,38,25,6,1,1,30,8,3,2,3,1
3,12,69,31,31,39,43,40,27,7,1,1,30,8,3,2,3,1
3,12,70,31,32,40,45,40,27,7,1,1,32,8,3,2,3,2
3,12,71,32,33,42,48,41,27,7,1,1,34,9,3,2,3,2
3,13,73,33,35,44,51,43,27,7,1,1,36,10,3,2,3,2
3,13,78,36,38,47,56,44,28,8,1,1,37,10,3,2,3,2
3,14,82,38,41,50,63,48,30,8,1,1,38,10,3,2,4,2
4,15,85,40,44,53,67,50,31,9,1,1,39,11,3,2,4,3
4,16,90,42,46,55,73,51,32,9,1,1,40,11,3,2,4,3
4,16,89,43,47,56,80,54,32,10,1,1,41,11,3,2,4,3
3,15,91,44,48,58,86,56,33,10,1,1,43,12,3,2,5,3
3,15,90,45,49,58,93,60,34,11,1,1,44,13,4,2,5,3
3,15,90,44,49,59,154,69,37,12,2,1,49,15,4,3,6,5
3,14,84,43,51,60,212,79,40,14,2,1,53,16,4,3,7,7
3,15,90,47,58,68,248,90,43,16,2,1,58,18,5,3,9,8
3,17,102,52,66,78,246,99,44,18,2,1,62,20,5,3,10,8
4,17,106,55,73,84,237,111,46,20,3,1,65,22,5,3,11,8
4,18,106,58,82,95,244,127,49,22,3,1,69,24,5,4,12,8
4,18,106,60,91,104,257,141,51,24,3,1,74,27,6,4,13,9
4,19,111,65,107,120,276,153,53,26,3,2,79,29,6,4,14,10
4,20,117,71,127,141,294,163,55,27,4,2,83,32,6,5,15,10
5,21,121,77,154,168,321,175,56,29,4,2,88,34,6,5,16,11
5,22,124,83,182,197,360,185,60,30,4,2,94,37,7,5,17,12
5,24,133,92,220,239,405,201,65,33,5,2,101,39,7,6,18,13
5,26,141,101,270,287,463,214,71,35,5,2,109,42,8,6,19,15
5,28,150,114,285,298,523,229,77,38,6,2,111,43,8,7,20,16
6,30,159,123,268,294,609,238,81,40,6,2,116,45,8,7,21,18
6,33,168,129,258,289,691,248,84,42,7,2,125,48,9,7,24,22
6,39,192,161,325,369,1096,415,114,65,10,3,168,71,11,11,38,31
7,50,229,208,446,484,1405,580,151,87,13,4,217,91,13,14,51,38
7,67,287,279,651,700,1594,674,184,102,15,5,261,109,16,17,63,45
8,86,368,366,900,990,1773,745,195,114,16,6,271,112,17,17,67,52
8,108,447,415,986,1067,2023,802,186,124,16,6,264,113,17,16,71,55
9,140,558,469,1068,1181,2237,919,189,139,16,6,279,128,18,17,84,61
10,174,680,533,1187,1308,2503,1065,197,157,18,6,300,149,20,20,100,70
11,215,823,617,1334,1483,2713,1186,208,171,19,7,322,160,22,22,104,73
13,270,1042,714,1574,1744,2892,1359,228,196,22,7,334,174,23,24,111,77
16,331,1216,818,1752,1880,3125,1548,250,216,25,8,354,193,25,26,124,85
18,407,1482,875,1823,2013,3222,1653,266,224,27,9,384,221,27,30,138,92
21,459,1685,944,1869,2114,3262,1796,279,245,29,9,400,240,29,32,153,98
25,484,1785,1018,2114,2379,3481,1856,296,268,31,10,398,244,30,32,151,101
28,536,1872,1085,2112,2448,3695,2031,289,280,29,10,378,226,31,29,148,99
26,480,1639,1018,2045,2225,3570,1789,286,271,24,11,351,198,31,26,132,93
23,352,1216,876,1828,2098,2971,1344,275,231,20,10,309,163,29,23,117,89
23,312,1163,792,1852,2138,1798,685,254,107,18,10,268,120,30,23,60,48
28,392,1469,915,2266,2594,683,336,331,51,15,17,184,65,27,17,26,21
46,772,2736,1231,2764,3098,656,255,147,43,9,8,129,45,15,10,22,22
51,896,3188,1391,3038,3491,801,215,103,41,7,4,123,43,11,8,23,24
49,869,3091,1315,2969,3357,863,221,100,42,7,3,116,41,10,7,25,27
49,844,3133,1305,2827,3175,932,218,95,43,7,3,102,39,9,6,27,31
51,923,3369,1370,2909,3312,1124,220,87,44,7,2,103,39,9,6,29,34
49,911,3309,1417,2974,3438,1196,218,80,46,7,2,103,39,9,7,30,39
48,869,3067,1419,3002,3458,1101,231,79,49,7,2,110,42,9,7,36,39
45,806,3013,1485,3094,3493,1386,257,78,54,7,2,113,44,10,7,42,46
36,662,2363,1390,2837,3185,1600,279,78,61,7,2,113,44,10,7,43,50
24,418,1542,1116,2299,2493,1634,312,81,65,7,2,112,44,10,7,45,51
24,398,1527,307,743,830,1718,314,80,65,8,2,106,42,10,7,48,54
12,109,471,247,639,658,1636,339,77,70,8,2,105,44,9,7,51,51
9,68,307,219,515,687,1976,370,75,74,8,2,106,46,9,7,60,61
8,60,271,227,665,747,2064,419,75,83,8,2,107,48,9,8,64,65
8,95,392,253,746,860,2193,655,121,97,11,4,128,75,13,11,76,67
12,142,505,304,843,967,2172,807,142,124,13,5,147,105,15,14,100,76
14,176,694,353,1026,1138,2578,1105,125,162,14,4,179,141,12,16,127,90
19,228,729,380,1096,1142,2927,1506,134,222,21,3,308,232,14,29,171,98
23,297,765,409,1158,1292,3089,2102,253,287,37,6,688,352,34,51,196,88
26,326,1202,466,1380,1514,2619,2448,701,282,51,21,1085,375,81,64,171,68
27,247,1202,515,1380,1450,1918,2152,994,241,53,37,815,322,84,61,119,38
32,368,1491,495,1549,1714,625,1533,930,118,43,36,303,128,78,50,34,11
32,482,1674,511,1690,1762,238,465,463,42,22,30,121,64,32,22,15,3
37,479,1733,583,1805,1916,24,111,214,7,10,13,29,9,14,11,3,2
37,507,1568,690,1958,2104,22,30,26,5,1,6,33,9,11,9,3,2
34,512,1982,740,2093,2190,24,32,28,5,1,5,36,10,11,9,4,2
26,426,1717,759,1992,2252,25,33,29,6,1,5,35,10,10,9,4,2
16,341,1311,866,2142,2126,25,33,27,6,1,4,34,10,10,9,4,2
14,351,1368,1075,2255,2564,25,35,30,6,1,5,35,10,9,9,3,2
23,527,1975,1239,2441,2757,25,33,28,6,1,3,31,9,8,8,3,2
41,824,2976,1249,2252,2487,23,32,27,6,1,3,33,10,7,8,3,2
51,945,2466,760,1789,1790,25,32,27,6,1,2,32,11,7,9,4,2
34,636,1948,221,644,643,25,34,28,6,1,2,33,12,7,9,4,2
13,227,738,83,241,266,25,33,27,6,1,3,31,11,7,10,3,2
5,109,383,21,25,31,25,34,29,6,1,2,31,10,6,8,3,2
2,20,56,17,19,25,24,30,25,6,1,1,30,9,6,7,3,2
3,22,62,20,21,28,23,29,23,5,1,1,34,8,6,5,3,1
3,21,58,20,21,27,20,25,22,5,1,1,34,9,7,8,3,1
3,20,54,19,20,26,26,33,27,6,1,2,33,8,6,7,3,1
3,19,52,18,19,25,24,32,26,6,1,1,32,9,6,6,3,1
3,18,49,18,19,24,25,30,24,5,1,1,33,9,6,7,3,1
3,19,51,19,20,26,22,28,22,5,1,1,32,9,6,7,3,1
3,19,52,19,20,26,29,35,25,6,1,1,34,9,6,7,3,2
3,19,51,19,19,26,26,32,25,6,1,1,33,9,6,8,3,2
3,18,47,17,18,24,27,34,27,6,1,1,31,9,6,7,3,2
3,16,47,17,18,25,24,30,24,5,1,1,31,9,5,7,3,1
3,18,51,19,20,27,25,31,25,5,1,1,32,9,6,7,3,2
3,19,53,18,19,26,25,32,25,5,1,1,32,9,6,7,3,2
3,18,52,18,18,24,28,32,26,5,1,1,33,9,6,7,3,2
3,24,57,20,21,27,28,34,27,5,1,1,34,10,6,8,3,2
3,21,55,20,21,28,29,34,27,6,1,1,35,10,6,7,3,2
3,18,47,19,19,24,29,34,27,6,1,1,34,10,6,7,3,2
