A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,9,52,24,23,30,31,31,21,5,1,1,25,7,2,1,2,1
2,9,54,24,24,31,32,32,21,5,1,1,25,7,2,1,2,1
2,10,54,24,24,32,34,33,22,6,1,1,27,7,2,1,2,1
2,10,57,25,25,33,34,33,22,6,1,1,27,7,2,1,2,1
2,10,57,25,26,33,35,34,23,6,1,1,28,7,2,1,2,1
2,10,59,26,27,35,36,35,23,6,1,1,28,8,2,1,2,1
2,11,62,28,28,36,38,37,24,6,1,1,29,8,3,2,2,1
2,11,63,28,29,37,40,38,25,6,1,1,29,8,2,2,2,1
2,12,66,29,31,39,42,38,25,6,1,1,30,8,3,2,3,2
3,12,68,30,31,40,43,40,26,7,1,1,32,9,3,2,3,2
3,12,69,31,32,40,46,41,26,7,1,1,31,8,3,2,3,2
3,12,70,31,33,41,48,43,28,7,1,1,33,9,3,2,3,2
3,13,71,32,33,42,50,45,28,7,1,1,34,10,3,2,3,2
3,12,71,32,34,43,54,46,28,8,1,1,35,10,3,2,3,2
3,12,72,33,35,43,57,47,29,8,1,1,36,10,3,2,3,2
3,12,73,33,36,45,59,48,29,8,1,1,37,11,3,2,4,2
3,13,77,35,37,46,61,50,30,8,1,1,38,11,3,2,4,2
3,13,76,35,38,47,64,51,31,9,1,1,39,11,3,2,4,2
3,14,80,37,40,49,67,53,32,9,1,1,41,11,3,2,4,2
3,14,81,38,41,50,72,54,32,9,2,1,41,11,3,2,4,2
3,14,83,39,42,51,75,56,33,9,2,1,41,12,4,2,4,3
3,15,84,39,43,52,76,57,33,9,2,1,41,11,3,2,4,3
3,15,84,40,43,53,76,57,34,9,1,1,41,11,4,2,4,3
4,15,86,41,46,55,76,56,33,9,1,1,41,11,3,2,4,3
4,16,89,42,48,57,78,56,33,9,1,1,41,12,3,2,4,3
4,16,89,43,48,57,79,56,34,9,1,1,42,12,3,2,4,3
4,16,92,44,48,57,83,56,33,9,1,1,43,12,4,2,4,3
3,16,89,44,49,57,87,58,34,10,2,1,44,12,4,2,4,3
3,16,91,44,49,59,90,58,34,10,2,1,44,13,4,2,5,3
3,16,92,45,51,60,96,60,35,10,2,1,46,13,4,2,5,4
3,16,93,46,52,61,100,61,35,10,2,1,47,13,4,2,5,4
3,16,91,46,52,61,105,62,35,11,2,1,48,14,4,2,5,4
3,16,94,48,55,64,134,65,36,11,2,1,50,15,4,3,6,5
3,16,94,48,57,66,161,71,38,12,2,1,51,15,4,3,6,6
3,16,93,48,58,67,185,73,38,13,2,1,53,16,4,3,7,7
3,16,90,48,61,70,225,78,39,14,2,1,55,17,5,3,8,9
3,16,93,50,64,73,271,84,41,15,2,1,57,18,5,3,8,10
3,17,99,53,68,77,337,92,43,16,2,1,60,19,5,3,10,11
3,18,105,54,72,81,369,98,45,17,3,1,63,20,5,3,11,13
4,19,111,58,76,86,433,106,46,19,3,1,65,21,5,4,12,15
4,19,113,59,79,88,483,117,49,21,3,1,67,21,5,4,14,16
4,19,115,60,81,90,538,126,49,23,3,1,69,24,6,4,16,18
4,19,114,61,84,93,588,137,51,25,3,2,72,25,6,4,18,19
4,19,114,62,87,96,626,154,53,28,4,2,75,27,6,4,21,20
4,19,113,62,90,100,690,164,54,30,4,2,79,29,6,5,23,21
4,19,111,62,95,104,756,187,55,34,4,2,80,31,6,5,24,21
4,20,113,64,102,112,810,208,59,37,4,2,82,32,6,5,24,20
4,20,115,66,112,121,805,236,59,40,4,2,84,34,6,5,21,18
4,21,117,68,120,128,838,254,61,42,4,2,91,36,7,5,24,17
4,21,120,72,138,144,776,270,64,44,5,2,93,38,7,5,22,15
4,22,123,75,153,157,759,282,65,45,5,2,94,40,7,5,21,14
5,22,125,78,169,174,624,272,64,41,5,2,95,41,7,6,20,14
5,23,128,81,186,191,569,265,66,40,5,2,96,41,7,6,20,14
5,23,128,85,209,214,509,254,67,38,5,2,96,43,7,6,20,14
5,24,132,90,232,231,492,257,68,38,5,2,100,45,8,6,20,15
5,25,136,95,252,256,504,257,70,38,5,2,106,47,8,6,22,16
5,26,142,100,289,300,531,261,72,39,6,2,108,47,8,6,22,16
6,27,144,107,317,323,562,270,77,40,6,2,111,50,8,7,22,18
6,28,150,114,349,361,596,277,79,41,6,2,113,50,8,7,22,18
6,30,153,123,388,388,624,289,84,42,7,2,113,51,8,7,23,18
6,31,159,131,422,438,661,292,86,43,7,2,114,50,8,7,23,19
6,34,170,145,457,489,693,290,88,44,7,3,121,52,9,8,25,22
6,35,176,161,513,523,729,289,90,44,7,2,129,54,9,8,26,25
7,38,187,174,591,626,822,294,91,46,7,3,134,56,9,8,26,27
7,42,199,203,659,697,986,365,107,56,9,3,155,67,10,10,33,32
7,46,216,233,730,763,1125,452,127,69,11,3,180,79,11,12,40,35
7,53,233,261,790,830,1306,524,148,79,13,4,211,93,13,14,48,40
8,61,259,290,841,870,1483,629,173,91,14,4,248,107,14,16,59,44
8,67,289,321,821,853,1567,702,198,102,16,5,274,120,17,19,67,52
8,81,328,346,874,919,1790,792,232,115,18,6,320,135,19,21,76,54
8,88,354,359,851,917,1937,925,255,127,20,7,355,150,22,23,84,62
8,91,337,365,787,791,2124,1024,292,143,22,8,396,168,25,26,94,68
8,110,425,322,753,834,2327,1111,327,160,24,9,449,191,28,28,105,74
9,127,493,415,845,908,2489,1251,374,171,27,11,480,204,31,31,117,78
9,136,526,425,856,935,2683,1375,411,185,28,12,525,222,34,33,127,82
9,154,607,455,927,1022,2892,1513,458,202,30,14,513,232,36,34,132,85
10,168,615,486,973,1044,3032,1598,513,213,32,16,547,232,38,36,141,89
11,198,748,528,1070,1169,3221,1778,575,238,37,19,535,217,37,34,145,95
11,211,803,570,1143,1252,3430,1900,599,257,39,20,545,225,39,35,150,94
12,247,925,605,1236,1357,3558,2029,597,275,40,22,555,250,39,38,161,101
13,278,995,647,1320,1448,3635,2111,569,288,42,22,539,248,38,37,164,104
14,299,1137,672,1366,1513,3795,2089,579,293,44,23,464,239,32,34,164,106
15,338,1218,696,1377,1546,3907,2183,575,310,47,23,430,239,30,33,165,106
17,368,1281,774,1595,1722,3880,2138,497,297,44,20,438,243,30,35,172,106
17,375,1379,828,1739,1855,3855,2105,432,297,42,17,465,260,30,37,181,110
20,431,1541,900,1857,2018,3699,2102,354,292,38,13,514,277,31,41,189,114
21,465,1640,922,1823,2052,3825,2138,346,312,39,12,568,306,33,44,204,116
22,456,1650,949,1970,2195,3775,2205,350,316,42,12,703,392,35,54,233,125
24,476,1693,1003,2135,2386,3955,2358,390,334,44,12,636,362,36,51,227,123
27,532,2005,1063,2223,2520,4205,2555,396,377,44,11,772,407,44,59,201,98
29,556,2066,1109,2250,2541,3927,2516,439,366,48,13,824,364,52,56,155,78
31,602,2090,1170,2414,2754,3418,2629,525,366,56,17,518,209,34,33,83,44
35,631,2277,1194,2531,2863,3565,2125,604,369,55,21,274,202,41,35,51,30
36,665,2423,1357,2817,3005,1777,1669,597,187,40,24,239,267,53,45,49,25
38,697,2315,1337,2847,3163,1499,1256,520,147,29,18,184,185,52,45,30,15
34,588,2218,1261,2647,3008,645,525,224,64,13,6,132,50,40,29,18,14
39,611,2297,1241,2720,3153,477,287,133,43,9,5,147,57,23,19,24,18
49,819,2763,1445,3080,3533,614,329,130,48,10,5,158,67,15,17,28,21
50,862,3032,1595,3309,3732,748,405,140,57,11,4,164,65,14,16,32,23
50,879,3143,1454,3193,3731,858,374,162,68,13,4,172,78,12,15,36,26
55,979,3410,1550,3353,3838,975,535,179,75,14,4,188,86,12,15,39,29
53,944,3288,1514,3265,3713,1122,592,205,81,16,4,187,83,12,14,41,31
54,950,3219,1456,3177,3582,1144,636,209,88,16,4,196,85,13,14,42,34
54,1013,3381,1480,3199,3584,1246,657,229,90,18,4,187,77,12,13,41,34
50,945,3155,1431,3061,3356,1282,587,246,90,18,5,176,70,12,12,39,33
47,892,3113,1330,2943,3278,1387,669,232,90,18,5,153,59,11,10,36,35
46,889,3180,1334,2953,3289,1444,627,219,88,17,5,138,53,11,9,33,35
46,889,3200,1404,3042,3363,1352,500,181,75,14,4,125,49,10,8,32,35
48,930,3311,1411,3064,3401,1341,427,156,68,12,4,123,47,11,8,33,37
50,982,3550,1504,3214,3529,1307,319,120,55,10,3,123,47,10,8,35,39
53,1065,3888,1582,3402,3730,1310,291,114,52,9,3,122,48,11,8,36,41
51,998,3518,1584,3248,3570,1280,278,105,51,8,3,119,47,11,8,37,43
57,1061,3741,1622,3173,3540,1368,276,104,52,8,3,119,47,11,8,39,44
69,1198,4109,1571,2954,3270,1393,282,102,53,8,3,122,49,11,8,40,46
65,1180,3937,1283,2650,2843,1356,273,101,51,8,3,126,48,11,9,42,48
46,844,3044,1151,2297,2513,1382,276,100,51,8,3,122,47,11,9,44,49
38,737,2672,928,1931,2097,1512,290,99,54,8,3,120,48,11,8,45,52
