A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,9,48,21,20,27,23,26,18,4,1,1,22,6,2,1,2,1
2,9,50,21,21,28,23,26,19,4,1,1,22,6,2,1,2,1
2,10,54,23,22,30,24,27,20,5,1,1,22,6,2,1,2,1
2,10,57,24,23,31,24,27,20,4,1,1,23,6,2,1,2,1
2,11,60,25,24,32,25,28,21,5,1,1,24,6,2,1,2,1
2,11,61,26,24,32,25,29,22,5,1,1,26,6,2,1,2,1
2,11,62,26,24,32,26,30,22,5,1,1,26,7,2,1,2,1
3,11,62,26,25,33,26,30,22,5,1,1,28,7,2,1,2,1
3,11,65,27,25,34,27,30,22,5,1,1,28,7,2,1,2,1
3,12,67,28,26,35,27,30,22,5,1,1,28,7,3,2,2,1
3,13,70,29,27,36,28,32,23,5,1,1,28,7,2,1,2,1
3,13,70,30,27,36,28,32,23,5,1,1,28,7,2,1,2,1
3,14,76,32,29,38,28,32,23,5,1,1,28,7,2,1,2,1
3,13,71,30,28,36,28,32,23,5,1,1,29,7,3,2,2,1
3,13,72,30,28,37,29,33,24,5,1,1,30,8,3,2,2,1
3,13,72,31,28,37,29,33,23,5,1,1,31,8,3,2,2,1
2,12,65,28,27,35,29,34,24,6,1,1,32,8,3,2,2,1
2,11,65,29,27,35,31,35,25,6,1,1,33,8,3,2,2,1
2,12,72,31,29,38,31,36,26,6,1,1,33,9,3,2,2,1
3,13,75,32,30,39,33,37,27,6,1,1,34,9,3,2,2,1
3,13,77,33,31,40,34,38,28,6,1,1,35,9,3,2,3,1
3,12,73,32,30,39,34,38,28,6,1,1,35,9,3,2,3,1
3,13,74,32,30,40,35,39,28,6,1,1,36,9,3,2,3,1
3,13,75,32,31,40,34,37,27,6,1,1,36,9,3,2,3,1
3,13,76,33,31,41,33,36,27,6,1,1,36,10,3,2,3,1
3,13,76,33,31,41,34,37,27,6,1,1,38,10,3,2,3,1
3,13,76,34,31,42,35,38,27,6,1,1,37,10,3,2,3,1
3,14,80,35,32,43,38,41,29,7,1,1,38,10,3,2,3,1
3,14,79,35,32,43,40,43,30,7,1,1,40,11,4,2,3,2
3,14,80,36,33,44,42,45,32,7,1,1,38,10,3,2,3,2
4,15,83,37,34,45,43,45,32,8,1,1,39,10,3,2,3,2
4,15,85,37,35,46,44,46,32,8,1,1,41,11,3,2,3,2
4,16,87,37,36,47,48,48,33,8,1,1,41,11,4,2,3,2
4,16,83,38,37,48,52,50,34,8,1,1,42,11,4,2,3,2
4,18,93,41,41,52,55,51,33,8,1,1,44,12,4,2,4,2
4,17,93,39,40,51,59,52,34,9,1,1,45,12,4,2,4,2
3,16,88,40,40,51,62,54,34,9,1,1,47,13,4,2,4,2
4,16,90,41,41,53,65,56,35,9,1,1,49,13,4,3,4,3
3,16,90,42,43,54,69,58,36,10,1,1,50,13,4,3,4,3
3,16,91,42,44,56,74,61,37,10,1,1,50,14,4,3,5,3
3,16,93,44,47,59,79,64,38,11,2,1,50,14,4,2,5,3
3,16,92,45,48,60,84,68,39,11,2,1,52,15,4,3,5,3
3,16,94,45,50,62,91,72,41,12,2,1,54,15,4,3,5,3
3,16,93,46,51,63,97,76,42,13,2,1,56,16,5,3,6,4
4,16,96,48,54,66,104,80,43,13,2,1,57,16,5,3,6,4
4,16,94,48,56,69,110,83,44,14,2,1,60,17,5,3,6,4
4,18,100,52,60,73,118,87,45,15,2,1,63,18,5,3,7,4
4,18,101,53,63,75,126,91,47,15,2,1,64,19,5,3,7,5
4,19,105,56,71,84,147,99,49,17,2,2,66,20,5,3,8,5
4,19,105,58,81,95,172,107,51,18,3,2,70,22,6,4,9,6
4,19,109,62,93,107,196,114,53,19,3,2,73,23,6,4,10,7
5,20,111,66,101,115,226,122,55,21,3,2,76,24,6,4,11,8
5,21,113,69,106,122,262,130,58,22,3,2,82,26,6,4,12,9
5,22,119,74,112,130,307,138,60,23,4,2,86,28,7,5,13,10
5,23,124,79,121,140,366,148,62,25,4,2,91,30,7,5,14,12
5,24,129,84,130,151,429,159,65,27,4,2,96,31,7,5,15,14
5,26,140,91,140,163,515,172,69,29,5,2,101,34,7,5,17,16
5,28,145,95,149,172,568,181,71,31,5,2,106,36,8,6,18,19
5,29,151,98,154,179,658,192,73,33,5,2,111,37,8,6,20,22
5,30,157,103,164,190,767,207,77,37,6,2,115,40,8,6,22,24
5,32,163,107,173,198,848,224,80,41,6,2,122,43,9,7,24,24
5,34,173,114,188,214,957,245,85,45,6,3,128,46,9,7,27,26
6,37,186,120,198,227,1085,264,87,50,7,3,137,50,9,7,31,28
6,38,189,125,208,236,1215,290,93,56,7,3,145,54,10,8,36,34
6,50,237,163,295,331,1382,368,102,70,8,3,172,67,11,9,46,39
7,63,289,200,376,422,1605,462,114,87,10,3,195,78,12,11,55,46
8,80,366,248,501,570,1669,554,124,103,11,4,221,87,13,12,64,51
9,105,450,310,632,705,1951,669,138,123,13,4,248,97,14,14,75,58
10,128,535,373,752,848,2171,800,152,145,15,4,286,122,16,16,93,68
11,152,619,419,854,941,2266,945,167,165,17,5,318,135,17,18,101,70
12,175,714,464,961,1073,2277,979,182,169,19,5,364,158,19,21,120,79
13,183,749,489,1005,1113,2490,1177,201,186,22,6,413,186,20,25,138,86
12,158,651,464,970,1074,2768,1390,219,223,25,6,465,219,22,29,154,94
12,134,556,456,975,1103,2925,1522,244,238,28,7,524,243,25,33,165,99
12,127,533,452,1017,1156,3075,1646,268,256,31,8,587,277,27,38,184,106
12,136,576,522,1178,1347,3451,1946,303,283,35,9,654,315,30,43,198,110
13,149,631,554,1257,1434,3676,2125,342,309,40,10,723,357,34,48,213,115
14,168,713,608,1354,1526,3569,2352,380,344,43,11,799,377,37,52,220,120
14,180,773,657,1433,1605,3991,2535,454,352,48,12,901,429,41,59,230,122
15,202,857,678,1522,1729,4145,2739,519,371,55,14,1029,441,47,64,249,129
18,278,1125,845,1831,2059,4434,2985,642,407,62,19,1075,483,58,70,251,133
