A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,8,47,21,20,27,22,24,17,4,1,1,22,5,2,1,2,1
2,9,49,21,20,27,23,25,18,4,1,1,22,6,2,1,2,1
2,9,49,21,21,28,23,26,19,4,1,1,22,6,2,1,2,1
2,9,50,22,21,28,23,26,19,4,1,1,22,6,2,1,2,1
2,9,52,23,22,29,24,26,19,4,1,1,22,6,2,1,2,1
2,9,53,23,22,30,24,27,20,4,1,1,21,6,2,1,2,1
2,10,56,24,23,31,24,27,20,4,1,1,23,6,2,1,2,1
2,10,57,24,23,31,24,27,20,4,1,1,23,6,2,1,2,1
2,10,58,25,24,32,24,27,20,5,1,1,24,6,2,1,2,1
2,11,60,25,24,32,24,28,20,5,1,1,24,6,2,1,2,1
2,11,60,25,24,32,25,28,21,5,1,1,25,6,2,1,2,1
2,11,60,26,24,32,25,29,21,5,1,1,25,6,2,1,2,1
3,11,61,25,24,32,25,28,21,5,1,1,25,7,2,1,2,1
2,11,61,26,24,32,26,30,22,5,1,1,26,7,2,1,2,1
2,11,60,25,24,32,26,29,21,5,1,1,26,7,2,1,2,1
3,11,62,26,25,33,26,30,22,5,1,1,27,7,2,1,2,1
3,11,61,26,24,32,27,30,22,5,1,1,27,7,2,1,2,1
3,11,65,27,25,34,27,30,22,5,1,1,28,7,3,2,2,1
3,11,65,27,25,34,27,31,22,5,1,1,28,7,2,1,2,1
3,12,67,28,26,35,27,30,22,5,1,1,28,7,3,2,2,1
3,12,69,29,27,36,27,31,22,5,1,1,28,7,3,1,2,1
3,13,70,30,27,36,28,31,23,5,1,1,28,7,2,1,2,1
3,12,69,29,27,36,27,31,23,5,1,1,28,7,3,2,2,1
3,13,71,30,27,36,28,32,23,5,1,1,28,7,2,1,2,1
3,13,72,31,28,37,28,33,24,5,1,1,28,7,2,1,2,1
3,14,76,32,29,38,28,32,23,5,1,1,28,7,3,1,2,1
3,14,75,31,29,37,29,33,24,6,1,1,29,7,2,1,2,1
3,13,71,30,28,36,28,32,23,5,1,1,29,7,2,1,2,1
3,13,71,31,28,36,29,33,24,6,1,1,29,7,2,1,2,1
3,12,72,30,28,37,28,33,23,5,1,1,30,8,3,1,2,1
3,13,73,31,28,37,29,33,23,6,1,1,31,8,3,1,2,1
3,13,72,31,28,37,28,32,23,5,1,1,31,8,3,2,2,1
3,12,70,30,28,37,29,34,24,6,1,1,31,8,3,2,2,1
2,11,65,29,27,35,29,33,24,6,1,1,31,8,3,2,2,1
2,11,62,28,26,34,30,34,24,6,1,1,32,8,3,2,2,1
2,11,65,29,27,35,30,35,25,6,1,1,32,9,3,2,2,1
2,11,67,30,28,36,31,35,25,6,1,1,33,9,3,2,2,1
3,12,72,31,29,38,31,36,26,6,1,1,33,9,3,2,2,1
3,12,74,32,29,39,31,36,26,6,1,1,33,9,3,2,2,1
3,13,75,32,30,39,32,37,27,6,1,1,34,9,3,2,2,1
3,13,76,33,30,40,31,36,26,6,1,1,34,9,3,2,3,1
3,13,77,33,31,40,33,38,27,6,1,1,34,9,3,2,2,1
3,13,75,33,30,40,33,38,27,6,1,1,34,9,3,2,3,1
3,12,72,32,30,39,33,37,27,6,1,1,35,9,3,2,3,1
3,13,76,33,31,40,33,38,27,6,1,1,35,9,3,2,3,1
3,13,74,32,30,40,34,38,28,6,1,1,35,9,3,2,3,1
3,13,75,32,30,40,33,37,27,6,1,1,36,9,3,2,3,1
3,13,75,33,30,40,33,37,26,6,1,1,35,9,3,2,3,1
3,13,76,33,31,41,33,37,27,6,1,1,35,9,3,2,3,1
3,13,76,33,31,41,33,36,27,6,1,1,37,10,3,2,3,1
3,13,76,33,31,41,33,37,26,6,1,1,38,10,3,2,3,1
3,13,76,33,31,41,34,38,27,6,1,1,39,10,4,2,3,1
3,13,75,33,31,40,34,38,28,6,1,1,39,10,4,2,3,2
3,13,76,34,31,41,35,38,28,6,1,1,38,10,3,2,3,1
3,13,79,35,32,42,36,39,28,7,1,1,38,10,3,2,3,1
3,14,80,35,32,43,37,40,29,7,1,1,35,9,3,2,3,1
3,14,80,35,33,43,38,42,30,7,1,1,39,10,3,2,3,1
3,14,79,35,32,43,38,41,29,7,1,1,39,10,3,2,3,2
3,14,78,35,32,43,40,44,31,7,1,1,39,11,3,2,3,2
3,14,80,36,33,43,40,43,31,7,1,1,38,10,3,2,3,1
4,14,81,36,34,44,41,44,31,7,1,1,38,10,3,2,3,2
4,15,83,37,34,45,41,44,31,7,1,1,38,10,3,2,3,2
4,15,82,36,34,44,42,44,31,7,1,1,40,11,3,2,3,2
4,15,85,37,35,45,42,44,31,7,1,1,40,10,4,2,3,2
4,16,87,38,36,46,43,45,31,8,1,1,41,11,4,2,3,2
4,16,88,38,36,47,45,46,32,8,1,1,40,11,3,2,3,2
4,16,85,38,36,47,47,47,33,8,1,1,41,11,3,2,3,2
4,15,84,37,37,47,49,49,33,8,1,1,41,11,4,2,3,2
4,16,87,39,38,49,50,49,33,8,1,1,42,11,4,2,3,2
4,17,92,40,40,50,50,49,33,8,1,1,43,11,4,2,3,2
4,18,95,41,41,52,52,50,33,8,1,1,43,12,4,2,4,2
4,18,94,40,40,51,53,50,33,8,1,1,44,12,4,2,4,2
3,17,88,40,40,50,55,52,34,9,1,1,45,12,4,2,4,2
4,17,92,40,41,52,56,52,34,9,1,1,46,12,4,2,4,2
4,18,96,42,43,54,58,53,34,9,1,1,46,12,4,2,4,2
4,19,101,42,43,54,59,54,34,9,1,1,47,13,4,2,4,2
4,18,100,42,42,54,60,55,35,9,1,1,47,13,4,2,4,2
3,16,89,41,41,52,62,55,35,9,1,1,48,13,4,2,4,2
3,16,91,43,43,54,63,56,35,9,1,1,48,13,4,2,4,3
3,15,86,41,42,52,65,57,36,10,1,1,48,13,4,2,4,3
3,16,92,43,44,56,67,59,36,10,1,1,49,13,4,2,4,3
3,16,91,43,45,56,69,59,37,10,1,1,49,14,4,3,4,3
3,16,93,44,46,58,71,61,38,10,2,1,49,14,4,2,5,3
3,16,91,44,46,58,74,63,38,11,2,1,50,14,4,2,5,3
3,16,93,44,48,59,75,64,38,11,2,1,51,15,4,2,5,3
3,16,94,44,48,60,80,67,40,11,2,1,52,15,4,3,5,3
3,16,94,44,48,60,82,68,40,11,2,1,53,15,4,3,5,3
3,16,92,44,48,60,85,71,41,12,2,1,54,15,4,3,5,3
3,16,93,45,50,62,88,71,41,12,2,1,54,15,4,3,5,3
3,16,94,46,51,63,91,74,42,12,2,1,54,15,5,3,5,3
3,16,95,46,52,64,93,76,43,13,2,1,56,16,5,3,6,3
3,16,93,46,53,65,94,76,43,13,2,1,56,16,5,3,6,3
4,17,95,47,54,67,98,77,43,13,2,1,58,16,5,3,6,4
4,18,98,49,56,68,100,79,44,13,2,1,59,17,5,3,6,4
4,18,100,49,57,69,103,80,44,13,2,1,60,17,5,3,6,4
4,18,97,49,57,68,109,83,45,14,2,1,61,18,5,3,7,4
4,18,99,51,61,73,116,86,46,14,2,1,62,18,5,3,7,4
4,19,103,52,66,77,125,89,47,15,2,1,62,19,5,3,7,5
4,19,105,53,69,81,135,92,47,15,2,1,63,19,5,3,8,5
4,18,102,54,74,85,149,96,48,16,3,2,64,20,5,3,8,5
4,18,104,55,79,90,161,100,50,17,3,2,66,20,6,4,8,6
4,19,107,58,82,94,172,102,50,17,3,2,67,21,6,4,9,6
4,19,108,59,86,98,187,105,51,18,3,2,69,22,6,4,9,6
5,20,109,60,87,100,202,108,52,18,3,2,71,22,6,4,10,7
4,20,109,61,89,102,212,109,52,18,3,2,73,23,6,4,10,7
5,20,111,63,91,105,231,113,54,19,3,2,76,23,6,4,11,8
5,21,115,65,95,109,248,116,55,20,3,2,78,24,6,4,11,9
5,21,116,67,98,112,275,120,56,20,3,2,79,25,6,4,12,10
5,22,119,69,101,116,302,124,57,21,4,2,81,25,6,4,12,10
5,22,119,71,104,119,345,128,58,22,4,2,84,26,7,5,12,11
5,22,122,73,107,123,369,131,59,23,4,2,86,26,7,5,13,12
5,23,124,75,112,128,414,137,60,24,4,2,88,27,7,5,14,13
5,24,129,78,116,132,461,141,62,25,4,2,90,28,7,5,14,15
5,24,132,80,118,135,480,146,63,25,4,2,93,29,7,5,15,16
5,25,133,81,121,138,490,148,63,26,4,2,96,30,7,5,16,18
5,25,135,83,126,142,563,153,64,27,5,2,99,31,8,5,17,18
5,26,138,85,129,146,614,159,66,28,5,2,100,31,8,5,18,20
5,26,142,87,134,151,647,163,66,29,5,2,101,32,8,5,19,21
5,27,145,90,137,155,725,169,68,31,5,2,102,33,8,6,19,22
5,28,146,91,141,158,819,176,69,32,5,2,104,34,8,6,20,23
5,28,149,93,145,163,880,183,71,34,6,2,107,35,8,6,22,26
5,29,150,93,146,164,952,194,73,36,6,2,110,36,8,6,23,28
5,29,152,94,150,168,977,202,74,38,6,2,112,37,8,6,25,31
5,30,156,99,158,176,1043,209,75,40,6,2,117,39,8,6,27,33
5,32,163,102,163,182,1122,217,76,41,6,2,122,41,9,7,29,35
5,32,164,102,167,186,1182,232,79,45,7,2,127,43,9,7,33,37
5,32,166,104,170,189,1252,243,80,47,7,2,130,44,9,7,33,38
5,33,168,108,178,195,1292,253,82,51,7,3,136,46,9,7,37,41
6,39,191,127,222,242,1383,291,86,57,7,3,144,50,10,8,41,42
6,47,219,150,271,299,1541,340,90,67,8,3,152,56,10,8,47,45
6,54,250,171,321,350,1619,383,94,73,9,3,160,61,11,9,52,48
6,62,278,193,370,409,1738,442,98,84,9,3,172,69,11,10,60,51
7,71,309,217,422,467,1821,480,102,90,10,3,182,76,12,11,66,56
7,79,355,244,483,544,1938,530,107,101,11,3,194,85,12,12,73,59
8,92,393,271,536,599,1995,592,112,110,12,3,205,92,13,13,78,60
8,102,430,300,593,643,2115,665,117,124,12,4,218,97,13,13,81,59
9,112,468,322,652,716,2198,703,121,129,13,4,229,105,14,14,86,61
9,123,509,357,712,782,2240,771,128,137,14,4,242,110,14,15,94,66
10,132,551,381,784,843,2304,874,133,151,15,4,258,119,15,16,102,70
10,146,586,398,814,875,2400,955,140,159,16,4,276,131,15,18,110,74
11,152,624,425,855,904,2488,1039,145,172,17,4,298,143,16,19,117,76
11,154,640,428,871,928,2561,1113,153,185,19,4,327,159,17,22,130,82
11,152,619,437,908,986,2673,1221,159,201,20,5,342,164,17,23,136,84
11,138,573,419,919,990,2809,1252,168,205,22,5,366,166,18,23,135,83
11,128,528,406,926,1010,2812,1344,175,212,24,5,384,179,19,25,142,84
10,114,469,412,976,1060,2774,1438,182,230,24,5,419,202,20,28,155,92
10,107,446,424,993,1081,2937,1558,190,242,27,6,446,219,20,30,165,96
10,102,432,412,996,1113,3116,1634,201,248,28,6,471,223,21,31,162,94
10,103,440,448,1056,1201,3210,1671,210,267,30,6,492,231,22,33,170,96
11,108,453,490,1160,1279,3249,1818,222,271,33,7,520,246,23,33,179,101
11,113,474,515,1214,1329,3422,1927,231,287,35,7,535,254,24,35,182,103
11,114,482,492,1132,1224,3597,1999,251,298,36,7,583,278,25,37,192,104
11,120,503,492,1163,1283,3666,2104,259,314,38,7,614,291,26,40,200,107
11,134,557,575,1371,1543,3832,2166,279,325,40,8,651,305,28,43,203,110
12,142,584,611,1375,1562,3851,2232,297,331,42,8,702,335,30,46,211,114
12,155,637,629,1466,1620,3824,2323,308,327,43,8,756,356,32,50,222,117
12,169,702,664,1512,1707,3807,2417,333,341,45,9,802,379,33,53,226,121
13,179,749,710,1604,1831,4004,2317,362,339,46,10,827,387,36,54,231,124
13,188,778,732,1625,1851,3980,2472,371,359,48,10,860,398,38,56,235,125
13,209,858,773,1726,1948,4289,2712,421,383,52,11,874,402,40,56,236,125
15,242,971,819,1820,2003,4475,2775,494,397,55,13,937,425,46,61,241,127
17,292,1146,880,1948,2157,4504,2815,536,400,58,16,1022,449,53,66,249,131
19,338,1286,938,2032,2282,4493,2947,609,426,62,18,1112,485,59,71,274,140
20,364,1390,1003,2145,2395,4807,3254,694,452,69,22,1196,495,66,76,271,141
22,391,1528,997,2160,2423,5000,3355,757,475,70,25,1323,541,75,82,293,146
25,467,1787,1082,2296,2538,4884,3335,849,464,73,29,1311,533,76,81,299,144
27,502,1893,1104,2311,2588,4983,3625,912,489,81,31,1373,546,84,85,260,127
29,541,1998,1157,2424,2669,4976,3437,881,469,79,30,1229,456,99,71,222,99
30,566,2101,1170,2484,2747,4430,3608,995,463,82,37,837,326,95,57,201,84
32,603,2257,1173,2501,2810,3787,3089,1185,398,78,39,689,257,117,62,153,61
34,642,2379,1232,2596,2901,3226,2295,958,311,57,34,481,274,108,67,108,56
37,712,2606,1325,2730,3030,2189,1406,653,182,36,25,282,188,80,52,72,43
38,720,2659,1348,2795,3101,1822,1219,643,129,31,26,190,120,63,42,56,42
40,749,2770,1353,2833,3178,1477,1124,785,94,29,30,148,89,34,25,62,48
41,778,2879,1369,2855,3196,1644,767,565,96,23,31,145,96,20,20,70,50
44,830,3013,1449,2952,3324,1658,730,152,105,12,18,143,110,14,18,79,56
46,865,3120,1476,2931,3233,1748,808,105,113,12,7,148,116,13,17,82,59
48,929,3433,1516,3105,3545,1892,837,97,119,13,3,156,131,12,16,90,63
49,927,3373,1512,3068,3481,1947,792,92,118,13,3,164,147,11,16,97,62
52,961,3433,1499,3135,3572,1929,759,88,112,12,3,175,152,11,18,103,69
54,996,3513,1556,3217,3627,1955,750,86,111,13,2,186,160,11,19,104,71
55,1023,3671,1555,3223,3632,1882,675,86,103,12,2,189,160,11,19,108,73
57,1029,3588,1613,3281,3684,1801,616,85,97,12,2,191,167,10,19,111,71
60,1109,3952,1635,3459,3896,1771,574,84,88,11,2,197,156,11,20,105,73
64,1162,4114,1720,3595,4027,1806,515,85,84,10,2,204,151,11,21,99,71
67,1208,4224,1803,3720,4167,1738,466,85,81,10,2,208,148,10,20,96,70
68,1172,4117,1684,3555,3999,1764,436,84,80,10,2,209,133,10,19,88,66
72,1278,4485,1756,3785,4230,1764,397,85,77,9,2,181,100,10,15,75,59
