A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
1,6,35,18,19,25,19,18,11,3,0,0,17,4,1,1,1,1
1,7,36,18,19,25,19,19,12,3,0,0,17,4,1,1,1,1
1,7,38,19,20,26,20,20,12,3,0,0,16,4,1,1,1,1
2,7,39,20,20,27,21,21,13,4,1,0,18,5,1,1,1,1
2,7,39,20,20,27,21,21,13,4,1,0,17,4,1,1,1,1
2,8,40,20,20,27,21,20,13,4,1,0,18,5,1,1,1,1
2,8,40,21,21,27,21,21,13,4,0,0,18,5,1,1,2,1
2,8,41,21,21,28,22,21,13,4,0,0,19,5,1,1,2,1
2,8,42,22,21,28,22,22,14,4,1,0,18,5,1,1,1,1
3,8,42,23,22,29,22,22,14,4,0,0,18,5,1,1,2,1
3,9,44,23,23,30,22,21,13,4,0,0,18,5,1,1,2,1
3,9,44,23,23,30,23,22,14,4,1,0,19,5,1,1,2,1
3,9,43,24,23,30,23,23,14,4,1,0,20,5,1,1,2,1
3,9,46,24,23,30,23,23,14,4,1,0,20,5,1,1,2,1
2,8,44,24,23,30,23,22,13,4,0,0,20,5,1,1,2,1
2,8,41,23,22,29,24,23,14,4,1,0,20,5,1,1,2,1
2,8,43,23,23,30,24,23,14,4,1,0,20,5,1,1,2,1
2,8,45,24,24,30,25,24,15,4,1,0,20,5,1,1,2,1
2,8,46,25,24,31,26,25,15,4,1,0,21,6,2,1,2,1
2,8,44,24,23,30,28,26,16,4,1,0,23,6,2,1,2,1
2,8,46,24,24,31,29,27,16,5,1,1,24,6,2,1,2,1
2,8,47,24,24,31,30,28,17,5,1,1,24,6,2,1,2,1
2,8,46,24,24,31,32,29,17,5,1,1,24,6,2,1,2,1
2,8,47,25,24,31,33,29,18,5,1,1,25,7,2,1,2,1
2,8,49,25,25,33,35,32,19,5,1,1,26,7,2,1,2,1
2,9,51,27,27,34,35,31,19,5,1,1,26,7,2,1,2,1
2,9,53,28,27,35,38,33,19,6,1,1,27,7,2,1,2,1
2,9,53,28,28,35,40,35,20,6,1,1,28,8,2,1,3,2
3,10,54,29,29,36,43,36,21,6,1,1,29,8,2,2,3,2
3,10,53,29,29,36,45,38,22,6,1,1,30,8,2,2,3,2
3,10,54,29,30,37,47,40,22,7,1,1,30,8,2,1,3,2
3,11,56,31,31,39,49,41,23,7,1,1,31,9,2,1,3,2
3,11,57,31,33,40,54,45,25,7,1,1,33,9,2,2,3,2
3,11,60,33,35,43,61,48,26,8,1,1,36,10,3,2,4,2
3,12,61,34,37,46,69,52,27,9,1,1,38,11,3,2,4,3
3,11,61,35,39,48,75,56,29,10,1,1,41,12,3,2,5,3
2,11,60,36,41,49,84,60,30,10,1,1,44,13,3,2,5,3
2,11,62,37,44,52,92,63,32,11,2,1,45,14,3,2,5,3
2,11,65,39,47,56,100,67,33,12,2,1,47,15,4,2,6,4
2,12,67,41,50,59,111,72,35,13,2,1,50,15,4,2,6,4
2,12,70,42,53,62,120,77,37,13,2,1,53,16,4,3,7,5
3,13,72,44,56,66,133,82,39,14,2,1,56,17,4,3,7,5
3,13,77,47,59,71,147,89,41,16,2,1,60,18,5,3,8,5
3,14,81,50,64,76,163,95,44,17,3,1,62,20,5,3,9,6
3,15,84,52,68,81,176,101,46,18,3,1,66,21,5,3,9,7
3,16,89,55,74,87,189,105,47,18,3,1,68,22,5,3,10,7
4,17,91,58,78,91,205,110,49,19,3,1,71,23,5,4,11,8
4,17,92,59,81,94,223,116,50,20,3,1,73,23,5,4,12,8
4,18,97,64,91,104,302,130,53,23,4,1,80,26,6,4,14,11
4,20,104,69,103,117,411,151,57,26,4,2,88,29,6,5,17,14
5,21,110,74,115,128,530,170,61,30,5,2,97,32,7,5,20,17
5,24,120,81,130,144,639,189,65,33,5,2,106,36,7,6,24,21
5,25,127,87,143,158,751,212,70,38,6,2,114,40,8,6,30,25
5,27,137,95,163,177,884,243,75,44,6,2,122,42,8,7,35,29
5,29,146,103,185,199,1050,276,80,51,7,2,134,46,9,7,41,33
