A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
3,12,65,37,45,51,176,75,33,12,2,1,47,15,4,3,7,7
3,13,73,41,52,58,255,89,36,14,2,1,50,16,4,3,8,9
3,14,74,43,56,61,370,102,39,16,3,1,53,17,4,3,10,12
3,15,79,48,66,70,491,120,42,18,3,1,57,20,4,3,13,14
4,17,91,56,79,84,636,142,44,21,3,1,66,24,5,4,18,21
4,18,98,61,89,94,803,176,50,26,4,1,74,28,6,4,23,27
4,19,102,65,100,104,943,224,55,32,5,2,87,35,6,5,30,36
4,20,105,71,116,117,1098,293,62,39,6,2,101,43,7,6,40,44
4,21,109,78,138,136,1362,406,72,68,7,2,114,50,8,7,49,47
5,22,115,88,173,162,1427,478,74,60,7,2,127,58,8,8,62,52
5,24,121,100,227,205,1520,609,83,71,8,2,149,72,9,10,75,55
5,26,129,116,273,242,1758,774,94,85,9,2,172,87,10,11,88,59
5,30,143,137,374,326,1963,930,108,104,10,3,193,105,11,12,95,60
5,31,148,154,449,386,2110,1122,125,122,11,3,217,113,12,13,83,52
5,34,161,181,554,499,2169,1256,140,131,13,3,234,108,13,14,62,42
5,36,173,212,650,609,2023,1090,163,124,14,4,248,105,14,15,55,37
6,49,212,273,742,722,1691,992,233,114,18,5,324,133,19,20,63,39
7,68,279,382,1021,982,1697,1163,319,136,22,7,407,175,25,27,80,44
9,96,380,499,947,1117,2240,1700,437,202,29,10,526,241,31,36,127,61
11,109,469,510,1147,1181,2717,1852,518,226,34,12,606,315,34,44,199,100
12,146,561,657,1545,1572,2629,1794,547,216,38,12,548,288,32,42,161,92
13,210,748,834,1855,1894,2475,1712,413,206,34,10,396,246,28,33,123,70
15,245,855,950,1975,2043,2327,1689,299,197,27,9,293,203,26,26,113,66
19,328,1157,1018,2063,2197,1922,1426,246,184,19,8,228,152,22,18,105,55
22,399,1388,1137,2098,2227,1745,611,204,84,12,7,231,86,17,13,63,43
27,484,1697,1085,1820,1930,1491,478,133,71,9,5,186,67,14,11,44,34
33,592,2058,1100,1924,2018,1459,547,106,69,8,3,152,57,11,9,36,24
40,642,2315,1219,2082,2291,1347,559,99,68,8,3,145,56,10,8,29,21
49,773,2723,1368,2407,2645,920,466,105,59,8,3,138,56,9,8,29,20
56,894,3217,1824,3624,3986,751,409,94,54,7,2,137,57,9,8,29,20
63,1145,3996,3011,6191,6838,657,376,95,51,7,2,129,56,8,8,28,20
59,1116,3701,2787,5532,5715,642,355,91,48,7,2,130,56,9,8,28,21
48,920,3149,1866,3661,3874,964,550,129,71,10,3,181,92,11,13,54,34
39,689,2299,1602,3055,3293,1217,696,172,87,14,3,230,136,13,19,73,45
31,475,1562,1437,2616,2802,1418,852,206,105,17,4,297,161,15,24,85,53
23,346,1196,1229,2378,2574,1629,925,257,121,21,5,359,175,19,28,90,57
16,186,928,811,1466,1674,1851,1097,359,135,26,6,431,197,22,32,97,63
18,297,883,743,1512,1743,2106,1323,414,155,28,8,482,211,27,35,107,65
14,245,903,717,1273,1407,2319,1452,503,175,34,11,544,238,32,40,114,71
12,229,865,725,1221,1161,2482,1630,605,186,38,13,632,280,39,46,136,82
15,319,1078,880,1608,1611,2622,1656,616,205,39,15,703,293,44,49,146,82
18,350,1291,968,2024,2074,2883,1848,762,210,45,19,677,298,48,48,148,85
21,431,1414,1346,3261,3622,3108,1849,799,230,46,22,576,242,46,42,137,89
24,520,1696,1441,3304,3464,3266,2028,866,240,46,26,467,178,34,32,109,76
27,611,2133,1630,3310,3382,3279,1995,822,227,45,28,323,134,27,23,92,73
