A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,10,54,27,29,36,45,38,23,6,1,1,30,8,2,1,3,2
2,11,59,29,32,39,50,40,24,7,1,1,31,9,3,2,3,2
2,11,62,31,34,41,55,42,25,7,1,1,33,9,3,2,3,2
3,11,63,32,36,43,65,47,27,8,1,1,35,10,3,2,4,3
3,12,70,34,39,47,75,50,28,8,1,1,38,11,3,2,4,3
3,13,72,36,41,49,90,55,30,9,2,1,40,12,3,2,5,4
3,14,78,39,45,53,109,59,32,10,2,1,43,13,4,2,5,4
3,14,80,41,48,55,146,68,35,11,2,1,45,14,4,2,6,5
4,15,84,44,51,59,176,76,36,13,2,1,49,15,4,3,6,6
4,15,86,45,54,62,199,80,37,13,3,1,51,15,4,3,7,7
4,16,89,49,59,66,246,86,40,14,3,1,54,17,4,3,8,9
4,17,93,52,63,70,301,94,43,15,3,1,56,18,5,3,9,11
4,19,102,57,71,78,333,103,44,17,3,1,59,18,5,3,9,11
4,19,104,58,74,81,316,107,45,17,3,1,62,19,5,3,10,10
4,19,106,61,79,86,285,105,41,17,3,1,65,20,5,3,11,10
4,19,110,65,86,93,288,125,50,20,3,1,68,23,5,4,12,10
4,20,114,69,105,111,395,176,51,26,3,1,76,28,6,4,18,13
4,21,118,76,136,139,524,251,56,35,4,2,86,35,6,5,25,17
4,22,122,96,163,170,645,333,61,45,4,2,99,46,6,6,34,21
5,27,142,106,232,232,787,435,68,56,5,2,114,58,7,7,43,26
5,26,137,113,263,266,915,560,75,68,6,2,130,74,8,8,53,31
5,28,146,129,337,341,1180,700,85,85,8,2,152,96,9,10,61,36
5,29,149,151,380,407,1383,867,97,102,10,3,180,120,10,13,74,43
5,30,146,175,472,489,1517,960,111,115,12,3,210,144,12,16,81,49
5,33,157,206,561,565,1679,1101,126,129,15,3,239,151,12,19,88,54
6,42,195,253,681,694,1787,1038,144,126,16,3,268,155,13,20,82,53
7,48,216,312,791,845,1788,918,166,120,17,4,282,125,15,19,75,51
8,54,236,374,941,976,1536,686,180,94,15,4,283,107,16,17,69,49
8,60,256,428,1047,1086,1656,646,195,94,14,5,295,107,18,17,72,53
