A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
4,16,99,50,55,68,75,65,41,11,2,1,50,13,4,3,4,3
4,17,102,52,57,70,84,69,43,12,2,1,53,15,5,3,5,3
4,17,104,53,60,74,95,73,44,12,2,1,53,15,5,3,5,4
4,18,109,56,64,77,113,77,46,13,2,1,54,16,5,3,5,4
4,20,113,58,67,80,137,81,47,14,2,1,58,17,5,3,6,5
4,20,114,58,68,81,167,87,50,14,3,2,60,18,5,3,6,6
5,19,114,59,68,81,210,93,52,16,3,2,63,19,5,3,7,7
5,19,113,58,67,80,265,100,53,17,3,2,66,19,6,3,8,8
5,19,112,57,68,81,296,103,54,17,3,2,67,20,6,4,8,8
5,20,118,62,76,89,293,102,52,18,3,2,69,21,6,3,8,8
6,22,129,70,88,101,273,108,54,19,3,2,69,21,6,4,9,8
6,24,139,78,101,113,264,110,54,19,3,2,70,22,6,4,10,8
6,26,145,79,103,115,266,118,56,21,3,2,72,23,6,4,11,9
6,25,142,81,108,119,274,129,58,23,3,2,75,24,6,4,12,9
6,25,146,83,114,125,280,138,58,24,3,2,77,26,6,4,13,9
6,25,145,86,121,131,282,147,58,26,3,2,79,28,6,4,14,10
5,26,150,93,159,169,532,242,62,38,4,2,87,39,7,5,24,18
5,25,145,97,201,213,790,362,65,52,5,2,96,53,8,6,35,26
5,27,155,113,263,280,921,402,70,55,6,2,108,71,8,8,45,33
5,29,167,128,318,343,1173,608,78,81,8,2,121,88,9,10,56,39
5,29,167,141,386,414,1562,808,90,107,11,2,140,109,10,13,67,46
5,30,165,160,459,499,1798,924,104,124,15,3,163,115,11,15,71,51
6,32,170,195,585,631,1946,905,119,132,16,3,171,93,11,14,63,51
6,35,184,231,719,779,1895,802,134,116,16,3,174,84,12,13,58,51
6,40,204,280,968,1073,1700,578,142,95,13,3,180,83,13,13,62,55
8,49,234,380,1351,1490,1778,535,149,93,13,4,191,87,14,14,68,60
8,60,278,462,1530,1669,1842,546,156,101,12,4,204,91,15,15,76,62
9,77,339,546,1639,1771,1982,585,167,110,13,5,225,97,17,16,78,68
9,101,413,635,1737,1980,2142,634,186,120,14,5,243,103,19,17,91,75
10,131,516,698,1855,2050,2359,654,200,125,15,6,246,102,20,17,88,75
11,174,668,798,1964,2218,2376,636,212,119,15,7,254,102,21,17,84,77
13,240,900,873,2130,2331,2394,610,214,113,16,7,256,102,22,17,83,80
15,330,1222,943,2250,2477,2447,1002,351,144,25,12,344,170,34,29,98,83
19,409,1449,969,2114,2321,1984,1404,544,162,34,20,449,240,54,41,114,82
22,362,1303,769,1792,1839,1926,1859,776,195,44,30,503,256,54,43,127,84
24,364,1311,647,1693,1914,2610,1803,700,219,41,26,355,184,39,31,106,79
27,418,1484,677,1749,2001,2129,1128,409,146,26,15,251,122,33,23,87,53
30,480,1623,721,1927,2203,1507,584,232,79,15,10,194,75,25,17,29,24
39,567,1888,832,2276,2605,709,332,156,48,10,7,140,54,15,12,22,23
54,803,2755,1073,3025,3475,697,253,111,40,7,3,137,50,12,10,21,25
94,2016,7015,2120,5002,5721,586,239,107,39,7,3,125,47,11,8,20,26
111,2488,8341,3266,6578,7182,578,227,104,37,7,3,115,44,10,8,20,29
78,1691,5847,2128,4968,5422,906,231,103,38,7,3,109,42,10,7,21,32
80,1512,5269,1802,4353,4638,940,223,97,38,8,2,107,42,10,7,22,35
95,1648,5543,1596,4235,4521,1131,225,98,38,8,2,107,42,10,7,23,37
120,2038,7003,1541,4507,4965,1236,214,96,37,8,2,107,41,10,7,24,40
77,1398,4861,1644,4062,4336,1361,214,94,37,8,2,110,41,10,8,26,43
28,457,1669,947,2314,2637,1563,226,98,40,8,3,110,42,11,8,29,44
22,290,1111,497,1687,1930,1485,411,181,63,12,6,173,70,17,12,43,53
22,325,1204,536,1316,1442,1949,593,271,86,16,9,232,94,24,17,58,60
18,295,1052,740,1549,1701,2047,755,343,105,20,12,267,113,28,20,70,66
22,408,1480,860,1724,1852,2269,907,388,120,22,14,273,118,28,21,76,66
26,519,1853,939,1870,1985,2289,947,402,125,24,15,212,98,21,17,74,66
27,506,1707,868,1736,1913,2400,911,328,123,21,12,149,75,15,12,67,62
29,479,1648,808,1702,1862,2370,713,201,106,15,7,134,72,14,11,72,70
31,502,1607,779,1707,1922,2166,715,129,108,11,4,125,79,13,11,87,77
35,513,1780,792,1793,1969,2487,889,111,130,11,4,133,112,13,13,114,87
41,539,2008,879,2001,2196,3277,1544,105,211,17,3,237,229,14,27,181,111
43,659,2042,941,2143,2353,3714,2462,239,365,41,5,740,447,35,63,243,113
48,699,2214,946,2237,2441,3387,3048,720,378,71,25,1401,525,101,86,222,95
50,760,2359,970,2308,2660,2753,2867,1281,339,74,47,1108,474,116,84,173,60
54,794,2587,925,2386,2699,933,2207,1290,195,64,50,410,193,114,73,52,18
53,814,2583,823,2383,2594,355,788,735,76,36,46,164,98,54,37,22,4
47,733,2485,846,2313,2468,32,118,353,9,16,23,44,13,22,16,5,2
31,465,1650,654,1878,2035,30,41,37,7,2,7,54,17,17,16,6,3
21,286,1069,478,1565,1654,36,50,44,8,2,6,60,18,16,16,6,3
21,284,1100,489,1562,1672,40,55,48,9,2,6,54,16,16,15,6,3
22,324,1288,548,1732,1869,39,55,48,9,2,6,56,17,15,15,6,3
22,404,1563,735,2039,2242,38,53,45,9,2,4,54,16,14,14,6,3
29,662,2589,1104,2594,2892,38,53,45,9,2,4,56,17,13,16,6,3
50,1079,4063,1341,2475,2762,39,55,47,9,2,4,56,17,12,14,6,3
59,1028,3654,900,1915,2318,38,54,47,9,2,4,51,16,10,13,5,3
42,749,2824,313,916,1032,39,55,46,9,2,3,49,15,10,12,5,2
21,328,1110,115,379,413,35,49,43,9,2,2,50,15,10,12,5,2
7,161,568,32,36,46,37,52,45,9,2,3,49,15,10,12,5,3
4,32,75,24,27,36,36,47,40,8,2,2,52,15,10,11,5,3
5,36,98,32,33,45,36,48,42,9,2,3,49,15,9,11,5,2
5,33,87,31,32,44,36,48,40,9,2,2,48,14,9,10,4,2
4,36,94,28,32,44,35,47,38,8,1,2,46,14,8,10,4,2
4,30,89,28,29,41,36,48,41,8,1,2,45,13,8,10,4,2
4,29,82,28,30,42,36,48,39,8,1,2,46,13,8,9,4,2
4,26,74,27,28,39,36,47,38,8,1,2,48,14,9,10,5,3
4,27,79,28,30,41,36,48,39,8,1,2,50,14,8,9,4,2
4,25,69,26,27,37,37,48,40,9,2,2,52,17,10,11,6,3
4,24,70,26,27,38,35,46,38,8,1,2,51,15,9,10,5,3
4,24,67,26,27,36,35,46,39,8,1,2,46,14,8,9,4,2
4,23,67,27,27,37,35,45,37,8,1,2,44,13,7,8,4,2
4,23,69,28,28,38,38,46,37,8,1,2,47,14,8,9,4,2
4,22,67,27,28,37,38,46,37,8,1,2,48,13,8,9,4,2
4,22,68,27,27,38,37,47,38,8,1,2,49,14,8,8,4,2
4,22,74,27,27,38,38,47,38,8,2,2,51,14,8,8,4,2
4,20,67,26,27,37,41,51,41,9,2,2,51,15,9,9,5,3
4,23,66,28,28,36,43,54,40,9,2,2,54,16,9,9,5,3
4,23,70,28,29,38,43,59,48,9,2,2,57,17,8,7,5,2
4,24,68,28,29,38,43,56,46,9,2,2,65,20,12,11,6,3
4,25,76,30,31,41,40,49,40,9,2,2,59,17,10,10,6,3
4,27,73,32,36,42,41,49,41,9,2,2,53,16,9,9,5,3
5,31,84,30,32,43,44,55,43,10,2,2,55,16,9,9,5,3
4,26,82,29,31,43,42,50,41,10,2,2,54,15,9,8,5,2
4,29,76,31,32,42,40,48,40,9,2,2,52,15,9,11,5,3
4,27,81,33,34,44,42,52,43,9,2,2,53,15,9,9,5,3
4,26,77,32,33,43,41,48,40,9,2,2,50,15,9,9,5,2
5,26,84,33,34,46,40,46,37,8,1,2,49,14,8,8,5,2
5,28,92,34,37,50,45,50,41,9,2,2,49,14,8,8,5,2
