A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
3,14,85,40,39,52,45,49,35,8,1,1,41,10,3,2,3,2
3,15,86,40,39,53,44,49,35,8,1,1,41,11,3,2,3,2
3,15,88,41,40,54,44,49,35,8,1,1,41,11,4,2,3,2
3,15,91,42,42,55,44,48,35,8,1,1,40,11,3,2,3,2
4,17,93,44,43,56,45,48,35,8,1,1,40,11,3,2,3,2
4,16,94,43,43,56,45,48,35,8,1,1,40,11,3,2,3,2
4,16,93,43,43,56,46,49,35,8,1,1,41,11,3,2,3,2
4,16,94,45,43,57,46,49,34,8,1,1,42,11,4,2,3,2
4,16,95,45,44,57,46,49,35,8,1,1,43,11,4,2,3,2
4,17,97,46,45,58,47,49,34,8,1,1,43,11,4,2,3,2
5,18,100,46,46,59,47,49,34,8,1,1,41,11,3,2,3,2
5,18,101,47,46,59,48,49,34,8,1,1,41,11,3,2,3,2
5,19,102,47,46,58,48,48,33,8,1,1,41,11,3,2,3,2
4,17,95,45,43,55,50,50,34,8,1,1,42,12,3,2,3,2
4,17,97,45,44,56,52,51,34,9,1,1,43,12,4,2,3,2
4,16,93,45,43,55,53,51,33,9,1,1,44,12,4,2,4,2
4,16,89,43,43,55,58,53,35,9,1,1,46,13,4,2,4,2
3,15,86,42,44,56,65,56,36,9,1,1,47,13,4,2,4,2
3,15,92,45,47,59,73,59,38,10,1,1,49,14,4,2,4,3
3,16,99,48,51,63,80,62,39,11,2,1,52,14,4,3,5,3
4,17,102,49,53,66,88,66,40,11,2,1,52,15,5,3,5,3
4,16,100,50,55,68,95,68,41,12,2,1,55,15,5,3,5,4
4,16,100,49,56,69,105,75,44,13,2,1,56,16,5,3,6,4
4,16,102,50,57,69,108,76,44,13,2,1,57,16,5,3,6,4
4,17,102,51,58,70,113,78,44,14,2,1,59,18,5,3,6,4
4,17,102,51,59,71,117,80,43,14,2,1,62,18,5,3,7,4
4,17,102,52,61,74,129,87,46,15,2,1,63,19,5,3,7,5
4,18,107,55,65,78,139,92,48,16,2,1,66,20,5,3,8,5
4,18,108,56,68,82,154,102,52,18,3,2,69,21,6,4,8,6
5,19,112,59,74,87,163,108,54,18,3,2,69,21,6,4,8,6
5,20,113,61,79,92,166,107,54,19,3,2,71,22,6,4,9,6
5,22,122,65,87,101,181,113,56,20,3,2,76,23,6,4,10,7
5,23,130,73,126,142,261,129,58,23,4,2,76,26,6,4,11,9
5,25,133,87,177,194,347,144,62,25,4,2,81,28,7,5,13,11
6,29,151,104,234,254,403,156,64,27,4,2,86,31,7,5,15,14
5,29,154,112,287,318,543,170,67,30,5,2,94,33,7,6,17,17
5,29,152,130,343,375,687,188,70,33,5,2,101,36,8,6,20,21
6,30,159,149,393,447,818,199,74,36,6,2,106,38,8,7,24,25
6,32,165,173,429,464,945,214,77,40,6,2,112,40,9,7,28,30
6,33,171,178,376,402,1071,235,81,46,7,2,116,42,9,7,34,34
6,34,178,153,298,322,1231,259,86,54,7,3,119,46,10,8,41,39
6,35,181,138,274,296,1436,295,90,62,8,3,125,49,10,8,47,44
6,38,192,137,287,314,1566,344,94,76,8,3,130,52,10,9,57,50
6,39,197,140,318,341,1755,402,99,89,9,3,138,57,11,9,68,58
6,44,217,149,376,403,2031,503,104,108,10,3,147,63,11,10,79,62
6,48,234,161,451,477,2188,605,109,122,10,3,155,69,12,11,94,70
7,54,247,172,519,556,2449,735,115,145,11,3,173,83,13,12,110,78
7,56,260,187,588,628,2659,894,122,170,12,3,187,98,14,13,124,86
10,139,540,374,953,1038,2950,1155,155,198,16,5,242,136,16,18,144,93
12,188,711,462,1178,1308,3270,1389,183,224,20,5,301,178,19,23,162,101
15,241,886,567,1401,1575,3525,1455,223,260,24,6,370,216,22,28,179,109
18,307,1086,663,1645,1819,3641,1857,269,275,29,7,441,250,25,32,191,114
22,371,1324,773,1866,2097,3905,2001,302,303,33,8,525,283,28,36,211,112
26,451,1572,865,2050,2322,4075,2147,342,321,37,9,566,304,30,41,219,120
30,530,1814,971,2322,2628,4204,2161,352,317,40,9,601,310,30,45,218,125
33,605,2073,1054,2481,2832,4202,2174,328,331,41,9,547,302,29,43,212,123
35,654,2250,1136,2720,2991,3935,2049,274,316,39,9,458,271,28,37,190,112
37,741,2549,1162,2839,3178,3568,1834,252,275,31,9,314,235,27,29,161,103
35,753,2591,1239,2936,3247,3274,1409,239,229,23,9,232,186,27,23,131,96
30,682,2370,1162,2879,3171,3041,1059,207,181,16,8,184,156,25,18,105,93
28,664,2355,1301,2958,3321,1206,264,149,43,10,8,132,44,18,11,20,35
30,701,2510,1399,3111,3530,1109,183,111,32,8,5,125,41,14,9,21,34
