A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
6,45,218,175,377,387,1367,517,190,66,13,6,205,83,18,14,42,45
7,55,251,221,523,536,1263,559,206,67,13,7,197,86,21,15,45,42
9,68,300,287,693,669,1232,562,223,65,14,7,182,82,23,16,44,42
10,84,375,385,893,924,1188,499,230,61,15,8,173,72,25,16,43,43
11,104,442,459,1068,1101,1284,431,213,61,15,8,170,65,24,15,40,45
12,125,502,534,1244,1282,1270,353,163,55,11,8,159,57,17,11,33,43
12,143,565,583,1340,1402,863,269,124,42,8,5,140,48,13,9,21,27
13,162,633,632,1456,1560,819,231,115,36,7,3,127,42,12,8,18,28
14,185,716,727,1669,1780,954,217,106,34,7,3,126,42,12,7,19,36
16,206,768,795,1795,1894,1341,212,98,34,7,3,112,37,10,6,19,39
17,205,773,831,1876,2052,1053,206,90,33,6,2,104,38,10,7,22,46
17,193,747,829,1903,2024,1595,242,89,38,8,2,99,38,9,7,26,52
18,182,724,781,1876,1999,1890,257,87,38,7,2,102,41,9,7,30,60
16,164,679,579,1668,1725,2054,294,80,42,7,2,99,43,9,7,44,70
15,141,605,518,1527,1532,2358,358,82,48,7,2,107,48,9,8,50,73
13,105,488,486,1448,1404,2502,452,83,57,8,2,111,54,10,8,62,88
12,93,429,458,1323,1295,2797,626,91,75,9,2,130,83,11,11,84,108
11,78,353,423,1235,1104,3848,932,110,109,13,2,163,122,13,16,122,152
9,50,268,280,713,699,5477,1321,144,145,18,3,214,175,17,23,180,236
8,44,244,315,855,695,8284,1862,187,212,25,4,268,225,20,30,214,269
7,46,228,405,1093,1124,9210,2264,254,238,33,5,312,267,21,35,214,243
7,54,240,428,1241,1338,5896,2098,313,234,39,5,338,288,21,39,175,195
6,69,271,498,1461,1376,5149,1456,290,154,29,5,373,291,20,42,150,135
7,91,332,624,1630,1646,4081,2010,446,229,40,5,405,304,21,46,148,112
7,113,420,748,1825,1950,3644,2085,504,241,42,6,460,341,23,52,160,108
8,144,580,552,1467,2124,3422,2242,608,253,48,7,529,362,26,58,167,103
9,191,698,997,2367,2486,3500,2421,697,269,51,9,601,402,30,65,174,104
11,255,810,1148,2654,2613,3668,2591,841,287,56,12,678,440,37,73,175,109
13,301,1089,1164,2987,2981,3925,2827,919,325,62,14,816,495,44,76,209,110
16,374,1121,1421,4071,4057,4034,3195,1102,351,70,18,866,517,47,86,222,125
21,428,1499,1727,5102,4844,4509,3425,1177,390,77,22,1004,556,57,89,245,128
25,546,1963,1801,4814,4647,4931,3809,1401,424,85,26,1197,760,72,110,338,172
30,663,2230,1842,4074,4166,6383,5422,1606,577,99,34,1531,1260,95,168,586,278
35,757,2427,1587,3120,3407,10746,10144,2244,1099,171,46,2533,2212,150,294,1033,472
40,805,2627,1569,2819,3200,14886,12562,3534,1516,255,72,3528,2189,234,348,982,464
44,864,3231,1556,3039,3271,13378,11101,3976,1390,254,122,3721,1903,296,301,866,385
49,1001,3214,1634,3133,3407,10569,9960,4016,1187,234,142,2977,1458,267,242,610,261
55,1091,3801,1672,3118,3423,5288,6940,3019,690,173,119,1790,892,227,163,298,104
65,1231,4035,1693,3263,3552,1753,3950,2405,291,118,88,717,411,177,114,108,27
73,1308,4455,1850,3516,3866,547,1204,1328,90,61,68,306,148,89,54,47,14
79,1393,4741,1891,3697,3990,101,602,541,49,21,42,88,49,52,38,9,3
90,1546,5201,1982,3939,4261,44,66,165,10,8,18,63,19,19,15,6,3
92,1605,5272,2007,4328,4651,48,66,58,11,2,8,61,19,18,17,6,3
109,1886,6239,2773,6360,7208,53,75,66,12,3,8,75,17,18,17,7,3
133,2509,8636,5089,10336,11483,50,70,61,11,2,8,55,16,14,18,6,3
181,3587,12243,5377,10817,11882,48,67,59,11,2,7,66,17,15,18,6,3
224,4208,14293,5259,10093,11211,40,58,52,10,2,5,55,17,14,16,6,3
188,3197,10802,3814,7282,8353,37,53,50,9,2,6,55,17,13,16,6,3
134,2290,7899,1794,4402,4860,40,56,52,9,2,3,54,17,13,15,5,3
73,1343,4971,509,1602,1783,37,53,48,9,2,4,52,14,11,13,5,2
27,556,2092,205,426,515,39,55,49,9,2,3,50,13,11,11,5,2
15,236,888,52,121,139,41,59,54,10,2,3,53,18,11,14,5,3
6,71,270,42,42,57,43,60,54,10,2,4,56,17,12,14,6,3
6,45,126,42,42,56,42,59,52,10,2,3,56,17,12,14,6,3
5,38,99,35,36,49,40,58,53,10,2,3,57,17,11,13,6,3
5,37,90,31,32,44,38,53,48,9,2,3,55,17,11,12,5,3
5,37,91,30,32,43,38,51,45,9,2,3,50,16,10,12,5,3
5,36,91,29,32,43,39,52,46,9,2,2,57,15,9,10,5,2
4,31,81,28,30,39,41,55,48,10,2,3,56,16,10,10,5,3
4,36,113,29,30,41,42,56,48,10,2,3,57,17,10,12,5,3
4,30,79,29,29,37,42,58,51,10,2,3,58,18,11,12,6,3
4,30,78,30,30,40,45,62,54,11,2,3,61,18,11,11,6,3
4,29,81,30,31,40,44,59,49,11,2,3,59,18,10,9,5,3
