A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
3,14,80,38,37,50,43,47,34,8,1,1,39,10,3,2,3,2
3,14,83,39,38,50,41,46,34,8,1,1,40,10,3,2,3,2
3,14,85,40,39,52,43,48,35,8,1,1,39,10,3,2,3,1
3,15,89,41,40,53,41,46,34,8,1,1,38,10,3,2,3,1
4,16,89,42,40,53,41,46,33,8,1,1,38,10,3,2,3,1
4,16,91,42,40,54,41,46,34,8,1,1,40,10,3,2,3,2
4,16,90,42,40,53,42,47,34,8,1,1,40,10,3,2,3,2
4,15,89,42,40,53,42,46,33,8,1,1,41,11,3,2,3,2
4,16,90,42,40,53,42,46,33,8,1,1,41,11,4,2,3,2
4,16,93,43,41,54,42,45,33,8,1,1,40,11,3,2,3,2
4,17,95,43,41,54,42,45,32,8,1,1,39,11,3,2,3,2
5,17,94,44,41,54,42,45,32,8,1,1,38,10,3,2,3,2
5,18,97,45,42,54,41,43,30,7,1,1,39,10,3,2,3,2
4,17,92,43,40,52,42,45,31,8,1,1,39,10,3,2,3,2
4,16,92,43,40,52,42,45,31,8,1,1,40,11,3,2,3,2
4,16,91,44,40,52,43,45,31,8,1,1,41,11,3,2,3,2
3,15,84,40,39,50,44,45,31,8,1,1,41,11,3,2,3,2
3,14,83,39,39,50,46,47,32,8,1,1,42,11,3,2,3,2
3,15,89,41,41,53,49,49,33,8,1,1,44,12,4,2,3,2
3,15,91,43,42,54,52,51,34,9,1,1,45,12,4,2,4,2
3,15,93,44,43,55,55,53,36,9,1,1,46,13,4,2,4,2
3,15,91,43,43,56,59,55,36,9,1,1,47,13,4,2,4,2
3,15,90,42,42,55,62,57,37,10,1,1,47,13,4,2,4,2
3,15,90,42,42,55,62,56,36,9,1,1,47,13,4,2,4,3
3,15,90,43,43,55,64,56,36,9,1,1,49,14,4,3,4,3
3,15,90,43,43,56,66,57,36,10,1,1,51,15,5,3,4,3
4,15,91,43,44,57,71,60,37,10,2,1,52,15,5,3,5,3
4,16,94,45,46,59,75,63,39,11,2,1,53,15,4,3,5,3
4,16,96,46,48,61,83,68,42,11,2,1,56,16,5,3,5,3
4,17,98,47,51,63,89,73,44,12,2,1,54,15,5,3,5,3
4,17,99,50,53,66,90,73,44,13,2,1,56,16,5,3,5,4
4,19,105,52,58,71,94,75,44,13,2,1,59,17,5,3,6,4
5,19,109,54,62,75,110,82,46,14,2,1,60,18,5,3,6,4
5,20,109,57,69,82,122,89,48,15,2,1,61,18,5,3,7,4
5,22,119,62,82,95,134,93,48,16,2,2,63,19,5,3,7,5
5,23,121,62,86,98,151,100,50,17,3,2,67,21,6,4,8,6
4,21,117,62,93,105,172,106,51,18,3,2,72,22,6,4,9,6
4,21,117,64,98,110,194,112,53,19,3,2,74,23,6,4,10,7
4,21,119,65,100,113,226,116,54,20,3,2,78,25,7,4,10,8
4,21,118,67,103,117,271,123,56,21,4,2,79,25,7,4,11,9
4,21,123,70,110,126,312,128,58,22,4,2,78,26,7,4,11,10
4,22,125,71,114,131,390,137,60,23,4,2,81,26,7,5,12,12
5,22,128,74,119,136,482,144,63,25,4,2,84,28,7,5,13,15
4,22,128,76,125,141,534,151,65,26,5,2,87,30,7,5,14,18
5,23,136,81,131,150,684,161,68,28,5,2,89,31,8,5,15,22
5,25,139,86,142,160,773,169,70,30,6,2,91,32,8,6,17,26
5,27,147,91,152,169,939,182,72,32,6,2,97,34,8,6,19,30
5,28,151,96,158,175,1067,195,75,34,6,2,102,37,8,6,22,35
6,39,189,136,260,286,1354,270,82,47,7,2,112,45,9,7,33,42
6,52,236,177,362,401,1584,358,87,61,8,3,123,55,10,8,43,49
7,71,305,231,496,549,1798,454,95,78,9,3,134,68,11,9,56,57
7,97,393,287,626,693,1995,555,103,92,10,3,153,82,12,11,67,60
8,125,499,348,762,838,2181,689,108,112,11,3,171,96,13,13,83,64
9,162,623,404,877,953,2414,837,115,134,13,4,191,115,13,15,97,71
10,188,720,443,968,1046,2571,1021,124,162,15,4,221,143,14,17,113,82
10,186,678,442,989,1075,2848,1178,131,189,19,4,253,172,15,21,129,88
10,141,521,406,995,1067,3045,1374,142,216,22,4,299,192,17,24,147,93
9,105,420,394,1024,1146,3210,1583,152,242,25,5,346,224,18,28,168,101
9,98,399,418,1134,1238,3484,1750,163,274,29,5,397,248,19,33,183,110
10,101,411,461,1261,1425,3681,1919,176,305,33,5,449,280,20,37,198,116
10,107,429,533,1402,1582,3945,2138,191,324,38,6,507,312,22,41,212,124
10,121,487,578,1542,1687,4133,2329,213,349,42,6,568,341,23,45,231,129
11,139,542,641,1644,1809,4408,2435,231,372,45,7,601,379,25,48,239,136
11,164,637,733,1807,2073,4548,2606,243,388,49,7,605,387,25,49,245,138
15,247,954,826,2070,2304,4643,2725,326,406,51,11,607,387,33,50,248,141
19,346,1318,979,2274,2522,4683,2764,388,402,48,14,574,362,37,46,242,137
24,441,1624,1090,2530,2763,4536,2589,400,390,42,14,510,308,35,39,225,127
29,537,2021,1192,2698,2991,4267,2105,358,335,36,12,435,227,31,33,196,112
33,653,2425,1277,2862,3154,3863,1690,285,294,30,10,337,148,28,27,158,99
38,729,2761,1391,3012,3407,4436,1856,230,286,29,9,244,113,23,20,127,91
42,814,3110,1479,3129,3525,1951,493,157,64,11,8,221,65,17,14,77,71
45,885,3427,1503,3227,3664,1356,305,118,58,8,5,133,49,13,10,41,48
48,972,3697,1630,3424,3938,1511,343,100,64,8,3,124,51,12,8,47,50
51,1046,3900,1764,3728,4162,1645,367,95,68,8,3,113,51,10,8,53,54
53,1056,4020,1822,3750,4278,1803,436,89,77,8,2,108,56,10,8,59,60
55,1076,4035,1866,3936,4414,1911,490,82,83,8,2,110,64,10,8,65,64
55,1040,3901,1920,3934,4439,1760,574,80,98,9,2,110,72,10,9,73,66
43,853,3311,1775,3708,4127,2179,670,81,107,9,2,116,87,10,10,81,64
29,616,2433,1492,3240,3608,2374,808,81,110,10,2,123,107,10,11,101,75
19,413,1716,1218,2708,3080,2680,779,81,145,13,2,133,125,10,13,118,85
14,265,1117,958,2280,2588,3103,1323,119,188,17,3,185,156,12,19,133,93
13,175,748,745,1919,2248,3650,1874,141,241,23,4,256,253,15,29,178,111
16,278,1115,551,1448,1957,3812,2134,202,279,30,4,357,289,18,37,198,120
17,269,1007,459,1229,1355,4087,2261,235,329,33,7,480,340,23,45,222,127
14,223,711,536,1425,1619,4326,2579,388,387,48,10,833,459,44,65,268,132
11,204,765,585,1588,1786,3775,3273,691,414,71,25,1467,576,98,93,247,106
11,213,765,674,1647,1845,2865,2968,1228,351,77,49,1256,502,120,88,185,66
12,261,956,820,1922,1980,1129,2205,1206,222,68,51,505,224,115,73,59,16
14,345,1215,789,1939,2210,354,690,607,74,38,44,245,91,47,31,27,4
16,407,1065,1060,2379,2521,32,92,211,11,15,16,36,11,12,9,4,2
11,351,1671,1385,3017,3319,28,37,32,6,1,5,51,16,16,15,5,3
21,554,1852,1448,3056,3453,35,44,36,8,2,5,56,17,16,15,6,3
24,646,2208,1524,3174,3514,44,63,52,9,2,4,51,16,13,13,5,3
27,698,2486,1668,3397,3734,39,49,43,9,2,5,57,18,14,16,6,3
32,772,2530,1677,3383,3777,45,59,48,10,2,5,57,18,13,13,6,3
38,871,3032,1673,3429,3895,39,50,42,9,2,5,53,16,12,13,5,3
52,1093,3847,1603,3086,3522,42,52,44,9,2,4,55,16,11,13,5,3
64,1087,3672,974,2273,2596,42,52,41,9,2,5,55,16,10,12,5,3
42,796,2945,295,952,1060,39,50,43,9,2,3,55,15,10,12,5,3
19,298,978,106,327,365,44,55,44,9,2,3,53,15,10,11,5,3
6,83,228,22,25,32,43,51,41,9,2,3,52,15,9,11,5,3
3,29,72,24,28,38,41,48,39,8,2,3,52,15,9,11,5,3
4,34,89,29,35,47,47,56,45,10,2,2,51,15,9,10,5,3
4,30,84,29,33,44,45,50,41,9,2,2,50,15,9,10,5,2
4,29,80,29,31,42,44,52,41,9,2,2,50,14,9,10,5,3
4,27,76,28,30,40,43,48,38,8,2,2,51,14,9,10,5,3
4,26,70,27,29,39,45,49,39,9,2,2,46,14,8,8,5,3
4,28,77,32,33,44,46,47,39,9,1,2,59,18,13,20,6,3
4,26,77,30,32,43,45,46,38,9,1,2,52,16,9,10,5,3
4,25,72,30,31,42,47,48,39,8,1,2,47,14,8,9,5,3
4,24,72,30,31,42,45,45,37,8,1,2,47,14,7,7,4,3
4,24,72,30,31,42,60,45,35,8,1,2,44,14,7,8,4,2
4,24,70,29,31,41,52,44,35,8,1,2,44,13,7,8,4,3
4,25,72,30,31,42,50,45,36,8,1,2,45,13,7,7,5,3
4,24,71,30,31,42,42,39,31,8,1,2,45,13,7,7,5,3
4,24,77,30,34,46,50,41,31,8,1,2,45,13,7,7,5,3
4,24,79,31,35,46,53,44,33,8,1,2,46,13,7,7,5,3
4,25,73,31,34,44,52,47,34,8,1,2,48,14,7,7,5,3
4,25,77,30,35,47,55,48,35,9,1,2,49,14,8,8,5,3
4,24,73,30,34,45,58,50,36,9,1,2,52,17,10,10,6,3
4,23,72,30,35,46,58,49,35,9,1,2,50,15,7,8,5,3
4,24,73,31,37,47,60,53,36,9,1,2,52,15,8,8,6,3
4,22,67,33,37,45,60,53,37,9,1,2,52,15,8,8,6,3
4,23,69,36,40,47,61,52,36,9,1,2,50,15,8,8,6,3
