A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,8,37,20,21,27,21,21,13,4,1,0,17,5,2,2,2,1
2,8,37,20,21,27,22,21,13,4,1,0,18,6,2,2,2,1
3,9,38,21,22,27,23,23,14,5,1,1,18,6,2,2,2,1
3,9,39,21,22,28,22,22,14,5,1,1,18,6,2,2,2,1
3,9,40,21,23,28,23,23,15,5,1,1,19,6,3,2,2,1
3,9,41,22,22,28,22,22,14,5,1,1,18,6,2,2,2,1
3,10,41,22,23,29,23,23,15,5,1,1,18,6,2,2,2,1
3,10,42,23,24,30,23,23,15,5,1,1,19,6,2,2,2,1
3,10,44,24,24,30,24,24,15,5,1,1,20,6,2,2,2,1
4,10,43,24,24,30,23,23,14,5,1,0,19,6,2,2,2,1
4,11,44,24,24,30,23,24,15,5,1,0,19,6,2,2,2,1
4,11,44,25,24,31,23,24,15,5,1,1,20,6,2,2,2,1
4,11,46,25,25,32,24,24,15,5,1,1,20,6,2,2,2,1
4,11,47,26,25,32,24,25,16,5,1,1,20,6,2,2,2,1
3,11,45,25,25,32,24,24,15,5,1,0,20,6,2,2,2,1
3,10,42,24,24,30,24,24,15,5,1,0,20,7,3,2,2,1
3,10,43,25,24,30,24,24,15,5,1,1,20,6,2,2,2,1
3,10,46,25,25,32,25,25,16,5,1,1,21,6,2,2,2,1
3,10,45,25,25,31,26,25,16,5,1,1,22,7,3,2,2,1
3,9,43,24,24,30,26,26,16,5,1,1,23,7,3,2,3,1
3,10,46,25,25,31,26,26,17,5,1,1,23,7,3,2,3,1
3,10,47,25,25,31,27,27,17,6,1,1,24,8,3,2,3,1
3,10,46,24,24,30,27,28,18,6,1,1,24,8,3,2,3,1
3,10,47,25,25,31,28,28,18,6,1,1,24,8,3,2,3,1
3,10,48,25,25,31,28,29,19,6,1,1,24,8,3,2,3,1
3,10,49,26,25,32,28,28,18,6,1,1,24,7,3,2,3,1
3,11,51,27,26,33,29,29,18,6,1,1,24,8,3,2,3,1
3,11,50,26,26,32,30,30,19,6,1,1,25,8,3,2,3,1
4,11,52,27,26,33,31,30,19,6,1,1,25,8,3,2,3,1
4,11,51,27,27,33,32,32,20,6,1,1,26,8,3,2,3,1
4,12,53,28,27,34,33,32,20,6,1,1,26,7,3,2,3,2
4,12,53,29,27,34,33,32,20,6,1,1,26,8,3,2,3,2
4,12,55,29,28,35,35,34,21,7,1,1,27,9,3,2,3,2
4,12,57,30,29,36,35,34,21,7,1,1,28,9,3,2,3,2
4,12,56,30,29,36,36,34,21,7,1,1,28,9,3,2,3,2
3,11,54,29,29,36,37,35,22,7,1,1,29,9,3,2,3,2
3,11,51,29,28,35,38,35,22,7,1,1,30,9,3,2,3,2
3,11,53,29,29,36,40,37,23,7,1,1,31,9,3,2,3,2
3,11,53,29,30,37,41,38,23,7,1,1,31,10,3,2,4,2
3,11,53,29,30,37,44,40,25,8,1,1,32,10,3,2,4,2
3,11,54,29,30,37,46,42,25,8,1,1,34,10,3,2,4,2
3,11,55,30,31,39,48,43,26,8,1,1,35,10,4,3,4,2
3,11,57,31,33,41,51,45,27,9,1,1,36,11,4,3,4,2
3,12,58,32,34,42,54,48,28,9,1,1,37,11,4,3,4,2
3,12,60,33,36,44,57,50,29,9,1,1,38,12,4,3,4,2
3,12,60,34,37,45,59,52,30,10,1,1,39,12,4,3,5,3
4,12,60,34,37,45,61,52,30,10,1,1,40,12,4,3,5,3
