A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
4,18,99,59,73,83,264,147,67,28,5,2,239,23,8,5,15,9
5,19,103,60,76,86,360,176,79,37,6,3,238,23,8,5,17,11
5,19,105,63,79,89,436,180,76,37,6,3,239,23,8,5,18,14
5,21,109,67,87,95,520,182,76,39,6,3,222,24,8,5,22,18
6,23,115,73,101,108,638,194,73,37,6,3,198,25,8,6,27,22
6,24,126,84,121,123,802,217,72,36,6,2,189,28,8,6,33,29
7,26,135,93,138,134,982,247,76,36,6,3,173,35,9,7,46,40
7,28,142,99,151,143,1297,315,78,37,7,2,195,45,11,9,59,59
8,29,144,106,173,156,1984,417,90,45,10,3,209,47,11,9,72,59
8,30,147,113,205,168,2287,528,99,49,11,3,205,51,11,9,64,59
8,33,151,125,259,193,2124,656,100,54,11,3,211,57,12,10,102,65
12,44,153,147,324,238,2225,811,103,60,11,3,216,65,12,11,112,67
15,54,155,171,385,276,2300,972,110,67,11,3,224,75,12,12,110,65
15,55,157,201,474,324,2236,1081,120,73,11,3,235,78,12,12,73,48
14,55,156,233,568,379,1830,884,130,70,11,3,241,74,13,12,53,38
13,53,160,283,689,459,1415,661,140,62,11,3,249,76,14,13,49,38
12,63,186,393,906,632,1381,736,216,73,15,4,368,107,19,18,59,38
12,80,225,490,1107,815,1472,894,318,88,18,6,512,145,26,24,76,42
14,111,309,666,1531,1064,1591,1137,445,110,24,8,745,222,36,35,122,58
17,146,408,836,1739,1324,2025,1768,601,160,32,10,1151,367,45,55,238,100
17,183,499,975,1916,1530,3233,3067,739,256,42,12,1169,388,48,59,301,136
18,222,589,1137,2083,1681,5244,4235,795,349,48,12,953,279,38,50,206,106
21,277,729,1279,2261,1917,3953,2525,638,207,38,10,754,244,32,42,172,92
24,330,878,1391,2347,2073,3099,1826,464,140,28,9,493,193,29,32,133,78
27,393,1086,1410,2218,2027,2602,1464,314,124,20,9,312,128,25,21,95,63
35,496,1357,1211,1886,1806,1917,1037,194,88,13,7,209,78,17,13,54,41
41,573,1650,1173,1860,1854,840,544,126,55,9,4,160,50,12,9,30,19
48,645,1922,1220,1995,1957,477,283,98,36,6,3,140,43,10,7,24,15
56,729,2264,1413,2261,2285,415,262,87,33,5,2,126,40,9,6,23,14
66,890,2570,1719,2979,3059,423,257,79,32,5,2,119,38,8,6,22,14
89,1313,3386,3043,5253,5340,395,249,73,31,5,2,126,39,9,6,22,14
109,1863,4283,6389,9317,8991,398,250,75,31,5,2,130,41,9,7,22,14
95,1417,3884,4355,7235,6677,759,488,116,47,8,2,218,79,11,12,66,35
82,1259,3503,2827,5118,4507,1775,1099,177,82,12,2,347,141,15,21,102,54
58,934,2487,2229,3987,3589,2212,1478,253,115,17,3,546,186,19,30,120,63
42,668,1728,1815,3045,2810,2470,1489,328,132,23,4,556,175,22,30,104,59
32,483,1304,1362,2139,1976,2510,1674,468,139,28,4,601,173,26,31,103,59
28,388,1093,901,1417,1392,2369,1492,532,122,28,6,716,204,33,35,108,66
15,214,532,1051,1443,1562,2325,1501,585,127,29,7,778,225,39,39,124,71
14,208,570,733,1143,1074,2476,1547,633,132,32,8,855,224,44,41,130,77
16,283,650,792,1309,1288,2558,1543,655,127,33,10,800,212,44,39,129,78
19,348,679,907,1459,1363,2551,1388,574,119,30,10,576,156,34,28,110,72
22,393,926,1189,2329,2067,2247,1010,350,93,22,8,315,89,22,17,84,62
29,505,1168,2334,4663,4039,1989,682,227,63,15,6,236,70,19,14,78,61
41,774,1601,3922,6596,6037,1934,606,191,56,13,5,216,65,19,13,82,64
53,1216,2101,3631,6376,5585,1985,605,177,57,12,5,205,62,18,13,87,66
49,954,2286,2420,4252,4044,2087,670,165,59,12,5,207,62,17,12,99,67
52,848,2269,1853,3271,2953,2314,732,156,64,12,5,211,70,16,13,113,77
60,921,2549,1803,3171,2843,2744,1297,282,92,18,9,498,153,28,26,186,98
67,957,2757,1843,3181,2935,3688,2311,425,158,29,14,1295,317,51,60,277,126
73,1017,2970,1892,3184,2974,4253,3834,929,282,56,19,2481,500,131,99,279,105
77,1123,3297,2311,3644,3500,3476,3963,1878,327,86,51,2076,419,148,97,215,72
75,1119,3260,2040,3344,3043,2570,3256,1852,238,77,60,1158,162,142,80,99,19
60,843,2501,1575,2718,2307,623,1260,1416,67,42,54,533,67,61,36,44,4
55,732,2176,1283,2417,1956,57,550,667,16,19,22,54,13,33,11,5,2
60,783,2346,1277,2470,1985,40,58,74,10,2,12,61,17,25,15,6,3
69,884,2704,1338,2614,2054,42,59,60,11,2,8,57,15,22,14,6,3
77,971,2962,1421,2781,2198,39,55,52,10,2,7,59,15,21,13,5,3
90,1121,3383,1586,3035,2424,38,53,47,10,2,6,60,15,20,13,6,3
103,1359,3959,1903,3488,2810,38,53,48,10,2,6,56,16,17,12,5,3
109,1533,4418,2266,3996,3220,39,56,50,9,2,7,54,15,16,11,5,3
111,1617,4707,2469,4259,3291,37,51,45,9,2,4,55,15,15,11,5,3
120,1519,4574,1801,2823,2582,37,57,56,9,2,4,54,15,14,11,5,3
