A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
4,18,109,57,66,79,133,92,52,15,2,2,65,18,6,3,7,5
4,18,109,57,67,81,143,92,52,15,2,2,64,18,6,3,7,5
4,19,111,58,70,83,159,94,53,16,3,2,65,18,6,4,7,6
4,19,114,60,74,88,174,95,54,16,3,2,66,19,6,4,7,6
5,20,118,64,79,92,201,98,56,17,3,2,67,20,7,4,8,7
5,21,125,69,83,97,226,100,55,17,3,2,67,20,7,4,8,8
5,22,128,71,86,98,252,103,56,18,3,2,71,21,7,4,9,9
5,22,130,72,88,101,284,108,58,19,3,2,71,21,7,4,9,11
5,23,132,72,89,101,320,114,59,20,4,2,73,23,7,4,10,12
5,23,134,73,91,103,385,121,61,21,4,2,77,24,7,5,11,14
5,24,135,74,93,105,440,130,63,23,4,2,80,25,8,5,12,16
5,23,132,73,92,103,530,144,67,25,5,2,84,27,8,5,13,17
5,23,133,74,94,105,585,153,69,26,5,2,85,28,8,5,14,18
5,23,130,73,95,106,624,158,69,27,5,2,88,29,8,5,15,21
5,23,133,75,97,109,742,171,71,29,5,2,90,30,8,5,16,22
5,22,130,74,99,110,783,176,71,30,6,2,93,31,8,6,17,25
6,23,136,77,103,116,823,182,72,30,6,2,96,31,8,6,19,27
6,23,133,77,107,117,945,185,71,31,6,2,98,33,9,6,21,30
6,24,140,80,111,123,990,195,74,34,6,2,102,35,9,6,23,32
6,25,142,82,117,129,1087,205,74,35,6,2,102,37,9,7,26,34
6,26,145,86,124,135,1149,220,74,38,6,2,103,37,9,6,27,37
6,27,150,89,129,142,1248,241,77,40,6,2,103,38,9,6,30,36
6,27,150,89,132,144,1228,252,78,42,6,2,104,39,9,7,31,37
6,28,152,95,146,156,1208,268,79,44,6,2,103,39,8,6,31,31
6,29,156,96,149,162,1083,286,80,46,6,2,104,40,8,6,31,28
6,29,156,97,153,165,895,301,80,47,6,2,105,42,8,7,29,23
6,30,160,99,158,170,797,306,78,46,6,2,106,43,8,6,28,21
6,29,156,102,171,183,667,308,79,46,6,2,110,45,8,7,28,20
6,29,156,104,182,192,650,316,80,47,6,2,113,47,9,7,28,20
6,30,158,109,206,213,639,323,81,48,7,2,117,50,9,7,29,20
7,31,165,116,227,234,643,331,83,50,7,2,121,52,9,7,29,20
7,32,174,126,260,263,656,337,84,51,7,2,124,55,9,8,30,21
7,35,190,147,328,331,728,412,90,59,9,2,139,68,10,9,36,24
8,38,210,169,399,400,838,497,99,68,10,3,156,83,11,11,43,27
8,41,221,187,464,468,942,555,110,78,12,3,174,98,11,13,52,32
8,42,222,205,531,534,1082,703,123,95,13,3,198,120,12,16,66,38
7,44,226,227,603,612,1287,858,141,116,15,3,222,148,13,19,82,45
7,47,238,243,683,694,1601,1117,172,146,18,4,267,199,15,24,117,60
8,49,245,273,751,769,1943,1458,193,187,22,4,308,234,17,28,147,74
8,54,262,301,865,896,2665,2004,233,261,29,5,355,281,19,33,180,90
8,59,278,322,948,979,3391,2432,275,314,34,6,401,289,21,36,199,100
8,64,298,359,1000,1035,3669,2480,332,327,37,7,452,259,24,36,185,97
8,72,320,394,1068,1116,3695,2414,357,321,36,8,478,283,27,38,179,96
8,82,353,432,1147,1211,3465,2226,425,300,38,9,547,292,31,43,184,97
8,91,381,466,1196,1246,3428,2158,477,300,39,11,596,308,34,47,189,100
9,106,434,494,1192,1271,3369,2182,535,295,40,12,641,318,37,48,188,101
9,121,478,533,1198,1290,3422,2125,546,296,43,13,655,329,39,51,187,101
9,139,556,558,1160,1287,3447,2081,628,293,45,15,668,315,41,51,186,101
9,159,611,592,1193,1304,3485,2161,621,295,47,15,659,308,42,50,180,101
10,182,696,638,1163,1383,3274,1974,608,278,43,16,580,244,38,41,157,94
11,211,790,659,1288,1422,3160,1737,499,251,38,14,473,201,34,34,127,85
12,244,892,728,1363,1515,2773,1276,394,185,27,12,387,164,32,28,100,74
12,262,986,759,1425,1575,2422,1010,354,150,23,11,356,152,31,27,87,69
13,292,1079,790,1486,1641,2099,804,318,119,20,10,322,139,30,25,72,65
14,309,1169,807,1520,1683,2044,762,314,110,20,10,312,136,30,24,67,61
16,356,1316,872,1658,1876,1901,700,306,97,19,10,278,117,29,22,54,51
17,361,1410,923,1828,2070,1763,668,299,91,19,10,259,111,29,22,50,54
