A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
4,18,93,47,47,65,69,65,42,13,2,1,72,14,5,3,6,3
4,19,98,48,49,67,73,69,44,13,2,1,77,15,5,3,6,3
4,19,99,48,49,67,78,72,46,14,2,2,79,15,6,3,6,3
5,20,106,51,52,70,80,74,48,15,2,2,79,16,6,3,6,3
5,21,110,52,53,72,85,79,50,15,2,2,83,17,6,4,7,3
5,21,112,53,54,73,88,81,51,16,2,2,86,17,6,4,7,3
5,22,114,54,55,74,91,83,53,16,2,2,92,18,6,4,7,4
5,22,121,57,58,78,92,85,54,17,2,2,87,18,6,4,7,4
5,23,125,58,59,80,95,88,56,17,2,2,88,18,7,4,7,4
5,23,126,58,60,81,98,90,58,17,2,2,90,19,7,4,7,4
6,25,133,61,63,84,100,91,58,18,3,2,92,20,7,4,7,4
6,25,135,63,65,87,103,94,60,18,3,2,91,20,7,4,8,4
6,26,140,64,66,89,107,97,62,18,3,2,94,21,7,4,8,4
6,27,144,66,68,91,110,101,64,19,3,2,99,21,7,4,8,4
6,28,150,69,71,94,115,103,65,20,3,2,101,21,8,5,8,5
6,28,152,69,72,96,117,103,65,20,3,2,101,22,8,5,8,5
7,30,155,70,74,97,123,108,68,20,3,2,102,23,8,5,9,5
7,32,162,73,77,101,132,112,70,21,3,2,108,24,9,6,9,5
7,34,165,74,79,103,140,116,71,22,3,3,111,24,9,6,10,6
7,36,171,76,81,105,148,120,73,23,4,3,112,26,9,6,10,6
8,38,175,77,83,107,156,123,75,23,4,3,113,26,10,7,10,6
8,39,177,78,85,109,166,129,77,24,4,3,116,27,10,7,11,7
8,41,182,79,87,111,176,133,80,25,4,3,123,29,11,7,11,7
8,42,182,79,87,112,190,136,82,26,4,3,124,29,11,8,12,8
8,44,186,81,90,115,202,140,83,26,4,3,125,30,11,8,12,8
9,45,191,82,91,117,215,144,86,27,5,3,130,32,12,8,13,9
9,45,191,83,93,118,226,146,84,27,5,3,131,32,12,8,13,9
9,45,193,84,95,121,251,148,86,28,5,3,139,34,12,8,14,10
9,47,197,86,98,123,274,154,88,29,5,3,141,34,13,9,14,11
9,48,199,88,100,126,296,158,89,30,5,3,142,36,13,9,15,11
9,48,202,89,102,129,312,163,91,30,5,3,143,37,14,9,15,12
10,49,205,91,106,132,336,163,90,31,5,3,150,38,14,10,16,13
10,53,213,94,109,137,390,167,93,31,6,3,156,40,15,11,17,15
10,55,221,96,113,142,447,175,95,32,6,4,160,41,15,11,18,17
10,57,226,97,115,144,514,179,96,34,6,4,163,43,16,12,20,19
11,59,229,98,117,146,600,186,98,34,6,4,160,45,17,13,22,22
11,62,239,102,122,152,679,198,100,36,7,4,173,46,17,14,24,24
11,65,248,104,125,157,739,211,103,38,7,4,178,48,18,15,26,27
12,67,250,105,128,159,838,227,106,41,7,4,177,49,18,16,28,30
