A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
5,17,78,43,58,64,286,107,52,28,5,2,63,24,16,12,17,13
4,17,80,44,61,68,416,123,54,30,5,2,63,25,14,11,18,16
4,17,84,47,69,77,575,146,56,33,5,2,64,27,12,9,19,19
5,18,89,51,78,87,696,173,58,38,5,2,66,30,12,9,24,23
5,20,95,56,92,101,814,222,58,43,5,2,70,34,12,10,30,28
6,22,104,64,114,123,1008,294,61,54,5,2,78,41,13,11,39,34
6,24,116,76,150,159,1285,389,64,66,6,2,86,51,13,11,47,41
8,29,131,87,193,202,2003,538,74,85,8,2,102,66,16,14,68,67
8,30,137,93,240,254,2921,706,86,108,11,3,123,89,18,16,94,102
9,33,145,104,308,329,3159,912,100,136,12,3,146,119,20,20,118,120
9,35,159,122,418,433,3069,1151,107,153,13,3,155,145,15,15,123,111
9,39,167,143,471,506,3299,1393,113,181,14,3,162,174,15,17,134,106
9,43,188,167,624,643,3447,1594,126,203,16,3,171,190,16,19,136,100
10,45,192,196,762,826,3462,1801,137,217,18,4,188,164,16,19,107,84
9,48,205,227,849,933,3402,1743,151,210,20,4,186,117,16,17,63,59
9,51,221,282,1033,1082,2643,1239,160,154,18,5,187,105,16,16,51,49
10,76,311,371,1253,1378,1889,948,264,123,21,8,271,141,22,23,62,45
10,104,417,452,1448,1582,1614,1060,366,135,27,10,332,182,26,30,77,44
11,147,568,579,1799,2032,1639,1332,403,170,32,10,336,220,25,35,92,46
14,195,754,711,2441,2819,1984,1680,358,218,33,8,274,257,24,35,116,58
18,259,1010,905,3108,3511,3161,2035,270,284,30,8,207,270,25,32,163,93
20,338,1286,1054,2964,3327,4425,1858,205,280,26,7,193,249,24,28,214,155
22,406,1560,1159,2924,3275,2528,1642,153,193,19,7,181,187,19,20,139,121
26,503,1909,1270,2924,3274,1709,611,107,85,9,4,153,109,15,14,110,89
31,617,2265,1268,2709,3066,1838,691,94,93,8,3,126,80,13,10,69,53
36,676,2447,1134,2264,2554,1857,832,92,104,8,3,112,86,11,9,70,51
44,797,2841,1088,2214,2514,1961,937,94,120,9,3,104,82,11,9,58,42
52,957,3391,1231,2440,2793,1980,1014,89,121,9,2,94,64,10,9,39,30
56,1051,3711,1368,2756,3182,1757,915,87,112,9,2,96,56,10,9,29,26
49,1104,3958,1554,3069,3388,1298,599,86,84,10,2,93,56,11,10,28,25
37,919,3343,1617,3464,3972,1021,422,84,63,10,2,99,58,12,12,29,29
27,640,2492,1579,4398,5071,988,362,84,55,9,2,102,57,10,10,27,30
27,548,2057,2348,7030,7908,1279,562,142,81,14,3,147,90,13,16,44,40
28,445,1591,1986,5083,5227,2067,1172,218,146,20,5,205,157,17,23,89,60
22,297,1190,1437,3208,4118,3107,1808,306,228,30,7,298,245,22,34,138,88
14,196,765,773,2130,2277,3200,1971,395,246,39,9,404,319,28,47,156,97
14,215,834,847,2128,2332,3294,2038,523,249,43,12,571,397,36,61,188,112
14,274,991,880,2001,2131,3201,1848,611,232,42,16,717,431,45,72,202,119
14,312,1127,805,1615,1771,3156,1751,680,223,41,19,717,366,51,60,184,115
15,374,1301,781,1471,1532,3235,1867,760,238,45,23,663,336,54,58,165,107
18,455,1624,818,1528,1646,3495,1956,897,252,51,28,680,340,61,60,166,110
21,547,1893,933,1677,1819,3711,2169,968,275,53,32,693,352,68,61,176,114
24,587,2046,973,1831,1983,3840,2273,1063,297,55,36,698,350,72,63,178,116
27,668,2324,1139,2385,2637,4170,2473,1074,316,58,39,612,315,65,55,175,117
36,760,2751,1919,4640,5215,4419,2621,1083,338,59,40,399,236,45,39,154,110
44,950,3194,2479,5675,6346,4515,2700,984,359,56,39,217,179,27,26,147,101
51,1200,4181,2443,5104,5760,4184,2810,704,383,53,28,228,270,22,34,177,98
59,1415,5121,2634,5129,5947,3428,2718,495,370,57,15,578,399,36,60,195,89
68,1668,5906,2457,5169,5488,2499,2529,829,291,62,32,998,408,92,73,164,69
76,1666,5800,2380,4743,5177,1754,2097,1033,236,59,39,655,337,94,66,117,37
74,1394,4695,1916,4062,4488,419,1166,811,105,43,36,247,104,77,49,35,12
78,1326,4464,1652,3727,4174,174,423,342,50,19,28,109,46,40,27,15,3
