A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,7,26,14,15,18,16,16,10,4,1,0,13,5,2,2,2,1
2,7,27,15,16,19,16,16,11,4,1,0,14,5,2,2,2,1
2,7,29,16,17,20,17,18,12,4,1,0,14,6,2,2,2,1
2,8,28,17,18,22,18,19,13,4,1,0,15,6,3,2,2,1
3,8,33,18,18,23,19,20,13,5,1,1,15,6,3,2,2,1
3,9,34,18,19,23,19,20,14,5,1,0,16,7,3,2,2,1
3,9,35,19,19,24,19,21,14,5,1,0,17,7,3,2,2,1
3,9,36,20,20,24,20,22,14,5,1,0,18,7,3,2,2,1
3,10,34,21,21,26,21,22,15,5,1,1,17,7,3,2,2,1
4,10,39,21,21,26,20,22,15,5,1,0,18,7,3,2,2,1
4,10,41,22,22,27,20,22,15,5,1,0,18,7,3,2,2,1
4,10,40,22,22,27,21,23,15,5,1,0,19,7,3,2,2,1
4,10,36,23,22,28,21,23,16,5,1,0,19,8,3,2,2,1
4,11,43,24,23,29,21,24,16,5,1,1,19,8,3,2,2,1
3,10,41,23,23,28,21,23,15,5,1,1,19,8,3,2,3,1
3,9,40,23,22,28,21,23,15,5,1,1,19,7,3,2,2,1
3,9,41,23,23,28,22,23,15,5,1,0,19,7,3,2,2,1
3,9,43,24,23,29,22,24,16,5,1,1,20,7,3,2,2,1
3,9,44,24,23,29,22,24,16,5,1,1,20,7,3,2,2,1
3,9,41,23,22,28,22,24,16,5,1,1,20,7,3,2,2,1
3,9,39,23,23,28,23,25,17,5,1,1,22,8,3,2,3,1
3,9,44,23,23,29,23,25,17,5,1,1,21,7,3,2,2,1
3,9,45,23,23,29,24,26,17,5,1,1,22,8,3,2,2,1
3,9,45,24,23,29,23,25,17,5,1,1,22,8,3,2,2,1
3,10,47,25,24,30,25,27,18,6,1,1,22,8,3,2,2,1
3,10,49,26,24,31,25,26,18,6,1,1,22,8,3,2,3,1
3,11,50,26,25,31,25,27,18,6,1,1,23,8,3,2,3,1
3,11,50,26,25,31,26,27,18,6,1,1,23,8,3,2,3,1
4,11,46,26,25,31,27,28,19,6,1,1,23,8,3,2,3,1
4,11,46,26,25,31,28,29,21,6,1,1,24,8,3,2,3,1
4,11,50,27,25,31,28,29,20,6,1,1,24,8,3,2,3,1
4,12,51,27,25,31,29,30,20,6,1,1,24,8,3,2,3,1
4,12,48,28,26,32,30,31,20,6,1,1,25,9,3,2,3,1
4,12,53,28,26,33,30,31,21,6,1,1,25,8,3,2,3,1
4,12,50,29,27,34,31,31,21,6,1,1,26,9,3,2,3,2
4,12,52,28,26,33,31,32,21,7,1,1,26,9,3,2,3,2
3,11,50,27,26,32,32,32,21,7,1,1,27,9,3,2,3,2
3,10,45,27,26,32,33,32,21,7,1,1,27,9,3,2,3,2
3,10,51,27,27,33,34,34,22,7,1,1,28,9,3,2,3,2
3,11,47,28,27,34,35,34,22,7,1,1,29,10,3,3,3,2
3,11,53,28,28,35,37,35,23,7,1,1,30,9,3,3,3,2
3,11,53,28,28,35,38,36,24,7,1,1,30,10,4,3,3,2
3,11,55,29,29,36,40,38,24,8,1,1,31,10,4,3,4,2
3,11,57,30,30,38,41,39,25,8,1,1,31,10,4,3,4,2
3,11,56,30,30,38,43,40,26,8,1,1,32,10,4,3,4,2
3,12,57,31,32,39,43,40,26,8,1,1,32,10,4,3,4,2
3,12,56,31,32,39,45,41,26,8,1,1,33,10,4,3,4,2
4,11,55,31,32,39,46,42,26,8,1,1,32,11,4,3,4,2
4,12,56,31,33,40,49,43,26,9,1,1,34,11,4,3,4,2
4,12,58,32,34,42,53,46,27,9,1,1,36,12,4,3,4,2
4,13,59,33,36,44,58,49,28,9,1,1,37,12,4,3,4,2
4,13,61,35,38,46,62,50,29,10,1,1,39,13,4,3,5,3
4,13,59,36,40,49,67,54,30,10,1,1,41,13,4,3,5,3
4,14,66,38,43,51,72,56,31,11,1,1,42,14,4,3,5,3
4,14,62,39,45,53,79,60,33,11,2,1,44,14,5,3,6,3
4,15,70,41,48,56,84,63,34,12,2,1,47,15,5,3,6,4
4,15,73,42,50,59,92,68,35,13,2,1,50,16,5,4,6,4
