A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2.523911237716675,10.308115005493164,49.22876739501953,35.14712905883789,32.3510856628418,37.24897003173828,80.47211456298828,58.86996078491211,17.29960060119629,7.3386030197143555,1.2652974128723145,0.9892574548721313,84.84575653076172,19.473970413208008,3.2272958755493164,2.469252824783325,8.509537696838379,5.631947040557861
2.523911237716675,11.245216369628906,54.05511474609375,39.771751403808594,36.762596130371094,42.16864776611328,91.4719009399414,69.05899047851562,20.66341209411621,8.714591026306152,1.2652974128723145,0.9892574548721313,99.35884857177734,23.573755264282227,3.2272958755493164,2.469252824783325,9.360491752624512,6.758336544036865
1.6826075315475464,12.182317733764648,60.81200408935547,45.3213005065918,42.64461135864258,48.49394226074219,103.05062866210938,80.38014221191406,24.507766723632812,9.631916046142578,1.8979461193084717,0.9892574548721313,117.22111511230469,27.673538208007812,4.034120082855225,3.292336940765381,11.062398910522461,6.758336544036865
2.523911237716675,13.11941909790039,67.56889343261719,51.795772552490234,49.261878967285156,55.52204895019531,115.78722381591797,92.83340454101562,29.31321144104004,11.007905006408691,1.8979461193084717,0.9892574548721313,136.19976806640625,31.7733211517334,4.840943813323975,4.115421295166016,12.76430606842041,7.884725570678711
2.523911237716675,14.993621826171875,75.29105377197266,59.195167541503906,57.349647521972656,63.955780029296875,128.52381896972656,106.41877746582031,34.118656158447266,12.383893013000488,2.530594825744629,1.9785149097442627,157.4112091064453,36.89805221557617,5.647768020629883,4.93850564956665,14.466214179992676,9.011115074157715
2.523911237716675,16.86782455444336,83.97848510742188,66.59456634521484,65.43741607666016,72.38951110839844,141.83934020996094,120.5702133178711,39.885189056396484,14.21854305267334,2.530594825744629,1.9785149097442627,180.8554229736328,42.02278137207031,6.454591751098633,4.93850564956665,16.168121337890625,10.137504577636719
2.523911237716675,19.679128646850586,94.59645080566406,74.91888427734375,74.26044464111328,82.2288589477539,155.15487670898438,135.853759765625,45.6517219543457,15.594531059265137,3.163243532180786,1.9785149097442627,206.53244018554688,48.172454833984375,7.261415958404541,5.761589527130127,18.720983505249023,11.263894081115723
2.523911237716675,22.490432739257812,106.17969512939453,84.16812896728516,83.08346557617188,92.06820678710938,169.62828063964844,152.26942443847656,52.85988998413086,17.429182052612305,3.7958922386169434,2.9677724838256836,234.44223022460938,54.3221321105957,8.8750638961792,7.4077582359313965,20.422889709472656,12.390283584594727
3.3652150630950928,26.23883819580078,122.58927917480469,95.26721954345703,94.84749603271484,104.71880340576172,184.6806182861328,169.81719970703125,61.029144287109375,19.263832092285156,3.7958922386169434,2.9677724838256836,266.81756591796875,60.471805572509766,9.68188762664795,8.230842590332031,22.975751876831055,13.51667308807373
3.3652150630950928,29.98724365234375,138.03359985351562,105.44139099121094,105.87627410888672,116.66658782958984,200.8908233642578,188.49708557128906,69.19840240478516,21.09848403930664,4.42854118347168,3.9570298194885254,300.309326171875,67.64642333984375,11.295536041259766,9.053926467895508,25.52861213684082,14.643061637878418
