A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,7,34,19,19,23,31,25,12,4,1,0,19,5,1,1,2,1
2,7,37,20,21,25,42,33,14,4,1,0,22,6,1,1,3,1
2,7,40,22,24,28,53,42,16,5,1,0,25,7,2,1,4,2
2,8,42,24,27,30,68,54,19,6,1,0,28,9,2,2,5,2
2,8,45,27,32,34,82,67,21,6,1,1,33,10,2,2,6,3
2,9,48,29,36,37,102,84,23,7,1,1,37,12,2,2,7,3
2,9,51,33,41,41,120,102,26,8,1,1,43,15,3,2,8,4
2,10,54,37,48,47,139,125,30,10,1,1,52,17,3,3,10,5
2,11,59,43,57,54,172,151,36,12,2,1,63,22,3,3,12,6
2,12,61,48,65,60,207,186,43,14,2,1,77,26,4,4,15,7
2,13,67,55,75,69,241,226,53,16,3,1,94,32,4,5,18,8
3,14,70,65,88,82,283,267,65,20,3,1,117,38,5,6,21,9
3,16,76,73,98,92,323,306,81,22,4,1,140,45,6,8,24,10
3,17,82,82,107,103,370,346,97,26,5,1,168,53,7,9,28,12
4,20,84,92,119,115,441,430,126,31,6,2,198,62,8,11,32,13
5,24,92,108,141,138,527,514,159,36,7,2,247,75,9,13,39,16
7,57,172,158,212,208,727,770,291,53,13,5,412,119,20,22,56,23
10,114,328,235,317,310,818,916,442,67,18,9,581,164,31,30,76,30
15,174,516,346,478,481,1236,1351,616,92,26,14,772,209,44,40,95,36
19,229,672,444,627,637,1454,1521,632,109,29,16,978,268,59,51,115,44
25,314,910,558,814,861,1646,1886,989,130,38,24,1249,325,80,64,140,51
29,375,1126,679,984,1027,1879,2351,1281,151,53,34,1722,434,120,87,186,66
34,442,1302,755,1088,1125,2412,2972,1579,193,67,48,1623,434,120,81,182,63
39,493,1485,855,1220,1291,1798,2487,1364,139,57,47,1192,333,103,70,137,37
45,583,1750,975,1383,1468,538,1944,1203,60,48,42,636,201,98,61,70,10
51,678,2030,1086,1460,1623,209,1030,1095,38,31,36,351,85,102,53,28,10
55,719,2212,1110,1576,1673,205,343,645,37,14,35,306,68,56,31,23,8
63,850,2575,1337,1907,2041,125,234,267,28,9,18,198,44,28,21,14,5
72,948,2822,1437,2037,2128,98,154,166,20,6,8,132,32,21,12,10,4
80,1083,3246,1583,2281,2382,96,148,144,19,5,7,134,34,21,13,10,4
86,1146,3455,1660,2421,2468,100,152,144,20,5,7,128,33,21,13,10,4
97,1325,3980,1705,2483,2511,90,136,131,18,5,6,120,31,19,12,9,4
116,1643,5034,1929,2863,2705,90,133,125,18,4,6,117,30,18,11,9,4
116,1536,4868,1882,2579,2734,106,134,116,18,4,6,113,29,17,10,9,4
92,1239,3821,1220,2100,1782,115,152,125,20,5,6,108,28,16,10,8,4
72,977,3127,610,1181,674,112,155,126,20,5,6,105,27,15,9,8,4
50,596,1659,234,323,304,80,121,123,16,4,5,103,26,14,9,8,3
28,264,771,199,245,284,77,110,95,15,3,4,99,25,14,8,8,3
18,139,476,134,157,187,75,105,91,14,3,4,94,24,13,8,7,3
13,89,357,94,105,127,73,101,87,14,3,4,90,23,12,7,7,3
11,79,300,89,101,121,71,99,84,13,3,4,87,22,12,7,7,3
9,73,279,81,93,111,72,97,82,13,3,4,85,21,11,7,7,3
9,68,262,77,89,106,70,95,83,13,3,4,83,21,11,6,7,3
9,65,252,76,86,103,70,91,76,13,3,3,81,20,10,6,7,3
8,61,240,73,83,99,69,89,73,12,3,3,80,20,10,6,6,3
8,57,225,71,80,96,68,85,70,12,3,3,80,20,10,6,7,3
8,54,217,70,78,93,68,83,67,12,3,3,78,20,9,6,7,3
7,52,207,68,76,91,69,82,64,12,2,3,76,19,9,5,6,3
7,51,206,68,77,92,73,83,64,12,2,3,75,19,9,5,6,3
