A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
3,15,72,36,36,45,31,34,23,5,1,1,36,9,3,2,3,1
3,15,73,36,36,45,32,35,23,5,1,1,36,9,3,2,3,1
3,16,75,37,37,46,32,36,24,6,1,1,37,9,3,2,3,1
3,16,77,37,37,46,34,38,26,6,1,1,37,9,3,2,3,1
3,17,79,38,38,47,35,39,27,6,1,1,38,9,3,2,3,1
4,17,81,38,38,47,34,39,27,6,1,1,39,9,4,2,3,1
4,17,81,38,38,47,34,38,27,6,1,1,39,9,4,2,3,1
3,17,81,39,38,47,34,39,27,6,1,1,39,9,4,2,3,1
4,17,83,39,39,48,34,39,27,6,1,1,39,9,4,2,3,1
3,17,83,39,39,48,35,40,27,6,1,1,39,9,4,2,3,1
3,17,82,39,38,47,35,40,28,6,1,1,40,10,4,2,3,1
3,17,82,39,38,47,35,40,28,6,1,1,40,9,4,2,3,1
3,17,83,39,38,47,35,40,28,6,1,1,40,9,4,2,3,1
3,18,85,40,39,48,35,40,28,6,1,1,40,9,4,2,3,1
4,18,85,40,39,48,35,40,28,6,1,1,40,9,4,2,3,1
4,18,86,40,40,48,35,40,28,6,1,1,40,9,4,2,3,1
4,18,87,41,40,49,36,41,29,6,1,1,41,10,4,2,3,1
4,18,86,40,39,48,36,42,29,6,1,1,41,10,4,2,3,1
4,18,87,40,40,48,37,42,30,7,1,1,42,10,4,2,3,1
4,19,87,40,40,49,37,43,31,7,1,1,42,10,4,2,3,2
4,19,89,40,40,49,37,43,31,7,1,1,42,10,4,3,3,2
4,19,88,40,40,49,37,43,31,7,1,1,42,10,4,2,3,1
4,20,90,41,41,50,37,43,31,7,1,1,42,10,4,2,3,1
4,20,90,40,40,49,37,43,31,7,1,1,42,10,4,2,3,1
4,20,89,40,40,49,37,44,32,7,1,1,42,10,4,2,3,1
4,19,88,40,40,49,37,44,32,7,1,1,42,10,4,2,3,1
4,20,89,40,40,49,37,44,32,7,1,1,43,10,4,2,3,1
4,20,89,40,40,49,37,44,32,7,1,1,43,10,4,2,3,1
4,20,89,40,40,49,37,44,32,7,1,1,43,10,4,2,3,1
4,19,89,40,40,49,38,45,32,7,1,1,43,10,4,3,3,1
4,19,88,40,40,49,38,45,32,7,1,1,43,10,4,2,3,1
4,19,87,39,39,48,38,45,33,7,1,1,43,10,4,2,3,1
4,19,86,39,39,48,38,46,34,7,1,1,43,10,4,3,3,2
4,20,87,39,39,48,38,45,33,7,1,1,43,10,4,3,3,2
4,20,88,39,40,48,39,46,33,7,1,1,44,10,4,3,3,2
4,20,89,39,40,49,39,46,34,7,1,1,44,11,4,3,3,1
4,21,91,40,40,49,39,47,34,7,1,1,45,11,5,3,3,2
4,21,92,40,41,50,40,47,35,7,1,1,45,11,5,3,3,2
4,21,92,40,41,50,40,48,35,7,1,1,46,11,5,3,4,2
4,21,92,40,41,50,40,48,35,7,1,1,46,11,5,3,4,2
4,22,93,40,41,50,41,49,36,7,1,1,46,11,5,3,4,2
4,22,93,41,42,51,41,49,36,7,1,1,46,11,5,3,4,2
4,22,94,41,42,51,42,49,36,7,1,1,47,11,5,3,4,2
4,22,94,41,42,51,42,50,36,7,1,1,47,11,5,3,4,2
4,22,94,41,42,51,43,50,36,7,1,1,47,11,5,3,4,2
4,22,93,41,42,51,43,50,36,7,1,1,47,11,5,3,4,2
4,22,93,41,42,51,44,51,36,8,1,1,48,11,5,3,4,2
4,21,93,41,42,51,45,51,36,8,1,1,47,11,5,3,4,2
4,22,96,41,43,52,46,52,38,8,1,1,49,12,5,3,4,2
4,23,97,42,43,52,48,53,38,8,1,2,50,12,5,3,4,2
4,23,98,42,44,53,50,55,39,8,1,2,51,12,5,3,4,2
4,24,99,43,44,53,52,57,40,8,2,2,52,12,5,3,4,2
4,24,100,43,45,54,55,58,41,9,2,2,53,13,6,3,4,2
4,24,101,44,46,55,58,60,42,9,2,2,54,13,6,3,5,2
4,24,102,45,47,56,61,62,43,9,2,2,55,13,6,3,5,2
4,25,103,45,48,57,65,64,44,9,2,2,57,13,6,3,5,2
4,25,105,46,49,58,69,65,44,10,2,2,58,14,6,3,5,3
4,25,104,47,49,58,73,67,45,10,2,2,59,14,6,3,5,3
4,25,106,48,51,60,78,70,45,10,2,2,60,14,6,4,6,3
4,25,106,49,52,61,83,72,46,11,2,2,62,15,6,4,6,3
4,25,107,50,53,62,88,74,47,11,2,2,64,15,6,4,6,3
4,25,107,51,55,63,95,78,48,11,2,2,66,16,6,4,7,3
5,26,109,52,56,65,99,80,48,12,2,2,67,16,6,4,7,4
5,26,110,53,58,66,106,83,49,12,2,2,69,16,6,4,7,4
