A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,7,35,19,20,26,33,27,13,4,1,0,21,6,1,1,2,1
2,7,37,20,21,28,41,33,16,5,1,1,25,7,2,1,3,1
2,8,41,22,24,30,50,40,18,5,1,1,28,8,2,1,3,2
2,8,44,24,27,33,60,51,21,6,1,1,32,9,2,2,4,2
2,9,48,26,30,36,71,61,23,7,1,1,36,10,2,2,5,2
2,9,52,28,33,39,83,73,26,8,1,1,39,12,3,2,6,3
2,10,56,30,37,42,96,84,30,9,1,1,44,13,3,2,7,3
2,11,60,34,43,47,113,102,37,10,2,1,49,15,3,3,8,4
2,12,66,38,49,52,139,129,46,12,2,1,55,17,4,3,9,4
2,13,69,42,56,57,163,152,56,14,3,1,63,20,4,3,11,5
3,15,76,48,63,64,183,172,59,15,3,1,72,23,4,4,12,5
3,16,82,54,72,72,208,198,63,16,3,2,86,27,5,4,15,7
3,18,89,61,82,81,242,241,72,18,3,2,101,32,5,5,18,8
4,20,96,70,94,93,279,284,83,20,4,2,119,37,6,6,20,9
4,22,101,77,103,103,327,340,100,23,4,2,142,44,7,7,24,10
5,25,109,86,113,116,384,406,126,28,5,3,172,52,8,9,29,12
6,37,138,115,156,158,563,612,235,44,10,5,300,86,16,15,42,18
7,54,181,146,202,202,748,821,363,57,14,8,416,119,24,22,55,24
9,79,248,188,253,251,953,1060,492,76,20,12,579,160,35,30,73,30
11,116,352,243,327,323,1158,1250,594,95,24,15,726,197,45,37,89,35
14,192,562,328,448,449,1297,1454,776,110,31,21,916,243,58,47,107,42
19,280,845,446,616,611,1641,1847,929,135,39,25,1070,270,70,54,124,49
26,389,1187,655,936,939,1889,2083,1028,150,43,27,1201,347,84,67,133,56
30,415,1245,754,1072,1105,2072,2430,1258,167,52,36,1431,386,101,75,157,60
34,437,1348,797,1147,1190,2077,2676,1441,180,52,37,1929,499,139,95,206,75
41,535,1649,871,1262,1381,2585,3361,1761,234,70,54,1478,415,131,90,195,62
43,541,1584,977,1399,1470,1308,2030,1078,149,53,37,918,309,96,64,113,23
