A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
2,11,49,21,21,26,18,21,15,3,1,1,22,5,2,1,2,1
2,12,52,22,22,28,19,22,16,3,1,1,23,5,2,1,2,1
2,13,55,23,23,29,20,23,17,4,1,1,24,6,2,2,2,1
2,13,57,24,24,29,21,25,18,4,1,1,25,6,3,2,2,1
3,14,60,25,25,31,22,26,19,4,1,1,26,6,3,2,2,1
3,15,62,26,26,31,22,27,20,4,1,1,27,6,3,2,2,1
3,15,64,27,26,32,23,28,20,4,1,1,27,6,3,2,2,1
3,15,65,27,27,33,24,28,21,4,1,1,28,6,3,2,2,1
3,16,67,28,28,34,24,29,22,4,1,1,29,6,3,2,2,1
3,16,69,29,28,34,25,30,22,4,1,1,29,7,3,2,2,1
3,16,69,29,28,34,25,30,22,5,1,1,30,7,3,2,2,1
3,16,70,29,29,35,25,31,23,5,1,1,30,7,3,2,2,1
3,16,71,30,29,36,26,31,23,5,1,1,31,7,3,2,2,1
3,17,73,31,30,36,26,31,23,5,1,1,31,7,3,2,2,1
3,17,73,31,30,37,26,32,23,5,1,1,31,7,3,2,2,1
3,17,74,31,30,37,27,32,23,5,1,1,31,7,3,2,2,1
3,17,75,32,31,38,27,33,24,5,1,1,32,8,3,2,2,1
3,17,76,32,31,38,27,34,25,5,1,1,33,8,4,2,2,1
3,18,76,32,31,38,28,34,26,5,1,1,33,8,4,2,2,1
3,18,77,32,32,39,28,35,26,5,1,1,34,8,4,2,3,1
3,19,79,33,33,40,29,36,27,5,1,1,35,8,4,2,3,1
3,19,79,33,33,40,29,36,27,5,1,1,35,8,4,2,3,1
3,19,81,34,33,41,29,36,27,5,1,1,35,8,4,2,3,1
3,19,81,33,33,40,30,37,28,5,1,1,36,8,4,2,3,1
3,19,80,33,33,40,30,38,29,6,1,1,36,9,4,2,3,1
3,19,80,33,33,41,30,38,29,6,1,1,37,9,4,2,3,1
3,19,81,34,34,41,31,38,29,6,1,1,37,9,4,2,3,1
3,19,81,34,34,41,31,38,29,6,1,1,37,9,4,2,3,1
3,19,81,34,34,41,31,39,30,6,1,1,38,9,4,2,3,1
3,19,81,34,34,42,32,39,30,6,1,1,38,9,4,2,3,1
3,19,81,34,34,42,32,40,30,6,1,1,38,9,4,2,3,1
3,19,80,34,34,41,32,40,30,6,1,1,38,9,4,2,3,1
3,19,81,34,34,42,33,41,31,6,1,1,39,9,4,3,3,1
3,20,82,34,35,42,33,41,31,6,1,1,39,9,4,2,3,1
4,20,84,35,35,43,33,41,32,6,1,1,40,9,4,3,3,1
4,21,86,35,36,43,34,42,32,6,1,1,40,10,4,3,3,1
4,21,88,36,36,44,34,43,33,6,1,1,41,10,5,3,3,1
4,21,88,36,37,44,35,43,33,6,1,1,41,10,5,3,3,1
4,22,89,36,37,45,35,44,34,6,1,1,42,10,5,3,3,1
4,22,89,36,37,45,36,44,34,7,1,1,42,10,5,3,3,2
4,22,91,37,37,45,36,45,34,7,1,1,43,10,5,3,3,1
4,22,91,37,38,46,37,45,34,7,1,1,43,10,5,3,3,1
4,22,92,37,38,46,38,46,35,7,1,1,43,10,5,3,3,2
4,22,92,37,38,46,38,46,35,7,1,1,43,10,5,3,3,1
4,22,91,37,38,46,39,46,35,7,1,1,44,10,5,3,3,2
4,22,91,37,38,46,39,47,35,7,1,1,44,10,5,3,4,2
4,22,91,37,38,46,40,47,35,7,1,1,44,10,5,3,4,2
4,22,91,38,38,47,41,48,35,7,1,1,44,10,5,3,4,2
4,23,94,38,40,48,43,49,37,7,1,1,46,11,5,3,4,2
4,23,95,39,40,48,45,51,37,7,1,1,47,11,5,3,4,2
4,24,96,39,41,49,47,52,38,8,1,2,48,11,5,3,4,2
4,24,97,40,41,50,50,54,40,8,1,2,49,12,5,3,4,2
4,25,99,41,42,51,53,56,41,8,2,2,51,12,5,3,4,2
4,25,100,41,43,52,56,58,42,9,2,2,52,12,6,3,4,2
4,25,101,42,44,52,60,60,42,9,2,2,53,13,6,3,5,2
4,25,102,42,45,53,64,62,43,9,2,2,54,13,6,3,5,2
4,26,104,43,46,54,68,64,44,9,2,2,56,13,6,3,5,3
4,26,104,44,47,55,72,67,44,10,2,2,58,14,6,4,5,3
4,26,106,45,48,57,77,69,45,10,2,2,59,14,6,4,6,3
4,26,106,46,49,58,83,72,46,11,2,2,61,14,6,4,6,3
4,27,107,47,50,59,89,75,47,11,2,2,63,15,6,4,6,3
4,27,108,48,52,60,96,80,48,12,2,2,66,16,6,4,7,3
4,27,109,50,54,62,102,82,49,12,2,2,68,16,6,4,7,4
5,27,110,51,55,64,109,86,50,13,2,2,70,16,6,4,7,4
5,28,114,54,59,68,121,94,53,14,2,2,75,18,7,4,8,4
5,29,117,58,64,73,134,102,55,15,2,2,80,19,7,4,9,5
5,30,119,61,69,77,146,111,58,16,3,2,86,20,7,4,10,5
5,30,122,65,74,82,160,120,61,17,3,2,92,21,7,5,11,5
5,31,126,70,80,87,172,128,64,18,3,2,97,22,8,5,11,6
5,32,129,74,85,93,186,138,67,19,3,2,104,24,8,5,12,6
5,33,134,79,92,100,201,148,70,21,3,2,110,25,8,5,13,7
5,34,137,84,98,106,217,159,74,22,3,3,117,27,9,6,14,7
6,35,142,89,105,112,232,170,77,23,4,3,124,28,9,6,15,8
6,36,145,94,112,119,251,182,81,25,4,3,132,30,9,6,16,9
6,38,150,100,120,126,268,194,85,27,4,3,140,32,10,6,18,9
6,39,155,106,128,134,289,208,89,28,4,3,149,34,10,7,19,10
6,40,160,113,136,142,306,221,93,30,5,3,158,36,10,7,20,10
6,42,166,119,144,151,328,237,98,32,5,3,169,39,11,7,22,11
7,43,172,126,153,160,350,253,103,34,5,3,180,41,11,8,23,12
7,45,178,133,162,169,375,272,110,37,5,3,193,44,12,8,25,12
7,48,189,143,177,183,404,297,119,40,6,4,210,48,12,9,27,13
7,52,201,153,192,199,438,324,129,43,7,4,229,52,13,10,29,14
8,56,213,164,207,215,469,351,139,46,7,4,247,55,14,10,31,15
8,60,226,175,223,232,505,380,151,50,8,4,267,60,15,11,34,17
9,64,239,186,238,247,542,411,163,54,8,5,289,65,16,12,36,18
9,68,252,197,254,264,582,444,176,58,9,5,313,69,17,13,39,19
10,72,266,208,270,280,621,478,190,62,10,5,339,75,19,14,42,20
10,77,280,220,286,299,663,515,205,67,10,6,365,81,20,15,45,21
10,81,295,231,303,315,702,550,220,71,11,6,390,86,21,15,48,22
11,85,310,244,320,335,747,591,236,76,12,7,419,93,23,17,51,24
11,90,327,257,339,354,790,630,253,81,13,7,446,99,24,18,54,25
12,95,346,271,360,376,833,671,271,86,14,7,476,105,26,19,57,26
13,100,363,284,377,396,878,711,288,91,15,8,504,111,27,20,60,27
13,106,383,299,398,419,928,759,310,96,16,9,537,118,29,21,64,29
14,112,404,314,421,442,981,809,333,102,17,9,573,125,31,23,68,30
