A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
39,407,362,78,188,324,229,237,113,35,7,6,189,53,26,15,18,7,1023,Settling, 10
40,410,365,78,188,325,230,237,113,35,7,6,191,55,26,15,18,7,1023,Settling, 10
40,412,367,79,189,326,230,238,113,35,7,6,192,54,26,16,19,7,1023,Settling, 10
40,415,370,79,189,327,231,238,113,35,7,6,193,55,26,16,19,7,984,Settling, 10
40,417,372,79,190,327,232,239,114,36,8,6,195,55,27,16,19,7,899,Settling, 10
40,419,374,79,190,328,232,239,114,36,8,6,196,56,27,16,19,7,974,Settling, 10
41,421,377,79,190,328,232,239,113,36,8,6,197,57,27,16,19,7,1023,Settling, 10
41,423,379,80,190,329,232,239,114,36,8,6,198,55,27,16,19,7,930,Settling, 10
41,425,381,80,191,329,232,239,113,36,8,6,199,57,28,16,19,8,864,Settling, 10
41,427,383,80,191,329,232,239,113,36,8,6,200,56,28,16,19,8,818,Settling, 10
41,429,384,80,191,329,232,239,113,36,8,6,201,57,28,16,19,7,971,Settling, 10
41,430,386,80,191,330,232,239,113,36,8,6,201,57,28,17,19,8,911,Settling, 10
42,432,388,80,191,330,232,239,113,36,8,6,202,57,28,17,19,8,816,Settling, 10
42,434,390,81,191,330,232,239,113,36,8,6,203,58,28,17,19,8,1023,Settling, 10
42,435,391,81,191,330,231,238,113,36,8,6,203,58,28,17,19,7,1004,Settling, 10
42,436,393,81,191,330,231,238,112,36,8,6,203,58,28,17,19,7,1023,Settling, 10
42,438,394,81,191,330,231,237,112,36,8,6,204,58,29,17,19,8,896,Settling, 10
42,439,396,81,192,330,230,237,112,36,8,6,204,58,29,17,20,7,946,Settling, 10
42,441,397,81,191,330,230,236,112,36,8,6,205,56,29,17,19,8,806,Settling, 10
42,442,399,81,192,330,230,236,112,36,8,6,205,57,29,17,20,7,838,Settling, 10
43,443,400,81,192,331,229,236,111,36,8,6,205,58,29,17,20,8,942,Settling, 10
43,445,401,81,192,331,229,235,111,36,8,6,206,58,29,17,19,8,947,Settling, 10
