A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
189.78,268.38,163.31,97.49,112.50,67.47,23.34,37.63,19.05,18.27,204.22,36.38,25.51,66.07,87.33,158.38,1548.55,6454.73,1023,Settling, 10
188.93,268.38,163.31,97.49,112.50,67.47,23.34,37.08,19.05,18.27,204.22,36.38,25.51,65.05,88.12,158.38,1542.51,6435.81,1008,Settling, 10
188.93,268.38,163.31,97.49,112.50,66.76,23.34,37.08,19.05,18.27,204.22,36.38,25.51,66.07,88.12,158.38,1538.20,6418.01,1018,Settling, 10
188.93,269.36,163.31,97.49,111.74,66.76,22.77,37.08,19.05,18.27,204.22,36.38,25.51,66.07,88.12,158.38,1533.88,6405.77,869,Settling, 10
188.93,270.34,163.31,96.55,111.74,66.76,22.77,37.08,19.05,18.27,204.22,35.39,25.51,64.04,88.12,158.38,1531.29,6392.42,811,Settling, 10
189.78,272.30,163.31,97.49,112.50,67.47,22.77,37.08,19.05,18.27,205.51,36.38,25.51,64.04,88.90,159.17,1533.02,6405.77,1006,Settling, 10
189.78,272.30,163.31,97.49,111.74,67.47,22.77,36.52,19.05,18.27,205.51,36.38,25.51,64.04,88.90,159.17,1530.43,6394.64,976,Settling, 10
189.78,272.30,163.31,97.49,111.74,66.76,22.77,36.52,19.05,18.27,205.51,35.39,25.51,66.07,88.90,159.96,1526.98,6382.41,848,Settling, 10
188.93,273.28,163.31,97.49,111.74,66.76,22.77,36.52,19.05,17.83,205.51,35.39,25.51,64.04,88.90,159.96,1524.39,6372.39,972,Settling, 10
188.93,274.26,163.31,97.49,111.74,66.76,22.77,36.52,19.05,17.83,205.51,35.39,25.51,64.04,89.69,159.96,1521.80,6361.26,889,Settling, 10
189.78,275.24,163.31,96.55,110.98,66.76,22.77,36.52,19.05,17.83,205.51,35.39,25.51,65.05,89.69,160.75,1519.21,6353.48,767,Settling, 10
189.78,276.22,163.31,97.49,110.98,66.76,22.77,35.97,19.05,17.83,205.51,35.39,25.51,64.04,89.69,159.96,1517.48,6344.57,1018,Settling, 10
189.78,277.20,164.27,97.49,110.98,66.76,22.77,35.97,18.56,17.83,204.86,35.39,25.51,65.05,89.69,160.75,1515.75,6336.79,1023,Settling, 10
189.78,278.18,164.27,97.49,110.98,66.76,22.20,35.97,18.56,17.83,204.86,35.39,25.51,65.05,90.48,160.75,1513.16,6326.77,809,Settling, 10
189.78,279.16,164.27,97.49,110.98,66.76,22.77,35.97,18.56,17.83,204.86,35.39,25.51,64.04,90.48,160.75,1511.44,6317.87,1023,Settling, 10
190.64,280.13,164.27,97.49,110.98,66.76,22.20,35.42,18.56,17.83,204.86,35.39,25.51,65.05,90.48,160.75,1509.71,6311.19,778,Settling, 10
190.64,281.11,164.27,97.49,110.98,66.76,22.20,35.42,18.56,17.83,204.22,35.39,25.51,65.05,90.48,160.75,1507.12,6301.18,914,Settling, 10
190.64,282.09,164.27,97.49,110.98,66.76,22.20,35.42,18.56,17.83,204.22,35.39,25.51,65.05,90.48,160.75,1505.40,6285.60,676,Settling, 10
190.64,283.07,164.27,97.49,110.98,66.76,22.20,35.42,18.56,17.38,203.57,34.41,25.51,65.05,90.48,161.54,1503.67,6284.49,803,Settling, 10
190.64,284.05,164.27,97.49,110.22,66.76,22.20,35.42,18.56,17.38,203.57,34.41,25.51,65.05,91.26,160.75,1501.08,6274.47,1023,Settling, 10
190.64,284.05,164.27,97.49,110.22,66.76,22.20,35.42,18.56,17.38,202.93,34.41,25.51,65.05,91.26,160.75,1499.35,6264.46,932,Settling, 10
191.49,285.03,164.27,97.49,110.22,66.76,22.20,34.86,18.08,17.38,202.93,34.41,25.51,65.05,91.26,161.54,1497.63,6255.56,935,Settling, 10
190.64,286.01,164.27,97.49,110.22,66.76,22.20,34.86,18.08,17.38,202.28,34.41,25.51,65.05,91.26,161.54,1494.17,6243.32,847,Settling, 10
190.64,286.01,164.27,97.49,110.22,66.76,21.63,34.86,18.08,17.38,202.28,34.41,25.51,65.05,91.26,161.54,1491.58,6232.19,1023,Settling, 10
