A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
6,49,175,151,213,228,628,617,252,65,11,6,421,112,23,18,54,23
7,64,225,175,249,262,741,755,336,77,15,8,541,142,32,26,64,26
8,83,288,208,294,306,955,975,451,88,21,12,696,188,49,35,83,35
11,122,385,264,368,389,909,1124,520,91,21,14,900,228,59,44,105,43
15,217,698,369,531,557,1527,1451,800,113,30,20,1144,296,72,54,130,60
18,246,798,396,603,635,3198,2263,518,151,25,12,465,168,34,28,121,68
20,287,903,509,756,794,368,427,243,46,10,8,257,72,23,15,28,12
27,322,1008,553,725,761,328,372,237,53,10,8,295,76,26,16,27,11
34,417,1439,722,1019,1102,285,320,215,48,9,7,265,69,23,15,24,10
28,332,1138,662,963,967,261,294,196,45,8,6,241,61,21,13,22,9
31,354,1141,606,867,917,227,261,177,40,7,6,215,55,19,12,19,8
34,388,1322,664,993,1045,196,228,160,35,7,5,200,52,17,11,18,7
39,449,1481,777,1139,1152,171,198,144,31,6,4,182,47,16,10,16,7
80,1014,2921,1315,1978,1865,152,173,126,29,5,4,157,41,14,9,14,6
98,1100,3798,1515,2196,2011,127,148,112,26,5,3,134,35,12,7,12,5
87,1268,4658,1963,2752,2967,105,123,96,22,4,3,116,30,10,6,10,4
161,1795,4045,4912,6082,6517,94,107,83,19,3,2,103,27,9,6,9,4
35,335,1108,518,746,674,90,102,78,18,3,2,91,23,8,5,8,3
18,137,515,210,272,319,82,94,74,17,3,2,82,22,7,5,7,3
14,99,383,173,214,258,70,83,67,15,3,2,74,20,7,4,6,3
11,85,319,148,188,224,60,70,58,13,2,2,65,17,6,4,6,2
9,76,285,128,166,198,53,61,51,11,2,1,59,16,5,3,5,2
9,69,259,116,150,178,46,54,45,10,2,1,52,14,5,3,4,2
8,61,228,102,131,156,42,48,40,9,1,1,47,13,4,3,4,2
7,52,195,86,112,135,38,45,37,8,1,1,42,11,4,2,3,1
6,43,163,73,96,115,35,40,34,8,1,1,37,10,3,2,3,1
5,36,138,61,80,97,31,36,30,7,1,1,34,9,3,2,3,1
4,31,117,54,71,85,27,32,27,6,1,1,30,8,3,2,3,1
4,27,104,47,63,75,24,28,24,5,1,1,28,8,2,2,2,1
3,24,91,42,56,67,22,26,22,5,1,1,25,7,2,1,2,1
3,21,80,37,49,59,21,24,20,5,1,1,23,6,2,1,2,1
3,18,69,32,43,52,20,23,19,5,1,1,21,6,2,1,2,1
2,17,64,30,40,49,19,21,17,4,1,0,19,5,2,1,2,1
2,15,59,27,37,45,17,19,16,4,1,0,18,5,1,1,1,1
2,14,53,24,33,40,15,17,14,3,0,0,16,4,1,1,1,1
2,12,46,21,29,35,13,15,13,3,0,0,15,4,1,1,1,0
2,10,40,19,25,31,12,14,12,3,0,0,14,4,1,1,1,0
1,9,36,17,23,28,11,13,11,2,0,0,12,3,1,1,1,0
1,8,32,15,21,26,10,12,10,2,0,0,11,3,1,1,1,0
1,8,29,14,19,24,10,11,9,2,0,0,10,3,1,1,1,0
1,7,26,13,17,21,9,10,8,2,0,0,9,3,1,1,1,0
1,6,23,12,16,19,8,10,8,2,0,0,9,3,1,1,1,0
1,6,22,11,15,18,8,9,8,2,0,0,9,3,1,1,1,0
1,5,21,10,14,17,8,9,7,2,0,0,8,2,1,1,1,0
1,5,20,9,13,16,7,8,7,2,0,0,8,2,1,1,1,0
1,4,17,9,12,15,7,8,6,1,0,0,7,2,1,0,1,0
1,4,16,8,11,14,6,7,6,1,0,0,7,2,1,1,1,0
1,4,15,7,10,13,6,7,6,1,0,0,6,2,0,0,0,0
1,4,14,7,10,12,6,7,6,1,0,0,6,2,0,0,1,0
1,3,13,6,9,11,6,6,5,1,0,0,6,2,0,0,0,0
1,3,12,6,8,10,5,6,5,1,0,0,5,1,0,0,0,0
1,3,11,6,8,10,5,6,5,1,0,0,5,1,0,0,0,0
1,3,10,5,7,9,5,6,5,1,0,0,5,2,0,0,0,0
0,3,10,5,7,9,5,5,4,1,0,0,5,1,0,0,0,0
0,2,10,5,7,8,5,5,4,1,0,0,5,1,0,0,0,0
0,2,9,5,6,8,4,5,4,1,0,0,4,1,0,0,0,0
0,2,8,4,6,8,4,5,4,1,0,0,4,1,0,0,0,0
0,2,8,4,6,7,4,5,4,1,0,0,4,1,0,0,0,0
0,2,8,4,5,7,4,5,4,1,0,0,4,1,0,0,0,0
0,2,7,4,5,6,4,4,4,1,0,0,4,1,0,0,0,0
0,2,7,4,5,7,4,5,4,1,0,0,4,1,0,0,0,0
0,2,7,4,6,7,4,5,4,1,0,0,4,1,0,0,0,0
0,2,8,4,6,7,4,4,4,1,0,0,3,1,0,0,0,0
0,2,7,4,5,6,4,4,3,1,0,0,3,1,0,0,0,0
0,2,6,3,5,6,3,4,3,1,0,0,3,1,0,0,0,0
0,2,6,3,5,6,3,4,3,1,0,0,3,1,0,0,0,0
0,2,7,3,5,6,3,4,3,1,0,0,3,1,0,0,0,0
0,2,7,3,5,6,3,4,3,1,0,0,3,1,0,0,0,0
0,2,6,3,4,5,3,4,3,1,0,0,3,1,0,0,0,0
0,1,6,3,4,5,3,3,3,1,0,0,3,1,0,0,0,0
0,1,5,3,4,5,3,3,3,1,0,0,3,1,0,0,0,0
0,1,5,3,4,5,3,3,3,1,0,0,3,1,0,0,0,0
0,1,5,3,4,4,3,3,3,1,0,0,3,1,0,0,0,0
0,1,5,3,4,4,3,3,3,1,0,0,3,1,0,0,0,0
0,1,5,2,3,4,3,3,3,1,0,0,3,1,0,0,0,0
0,1,5,2,3,4,3,3,2,1,0,0,2,1,0,0,0,0
0,1,4,2,3,4,3,3,2,1,0,0,2,1,0,0,0,0
0,1,4,2,3,4,2,3,2,1,0,0,2,0,0,0,0,0
0,1,4,2,3,4,2,3,2,0,0,0,2,1,0,0,0,0
0,1,4,2,3,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,4,2,3,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,4,2,3,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,4,2,3,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,4,2,3,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,3,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,2,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,2,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,2,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,1,2,2,3,3,2,1,0,0,2,0,0,0,0,0
0,1,3,1,2,2,3,3,2,1,0,0,2,0,0,0,0,0
0,1,3,1,2,2,3,3,2,1,0,0,3,0,0,0,0,0
0,1,3,1,2,2,3,3,2,1,0,0,3,1,0,0,0,0
0,1,3,1,2,2,3,3,2,1,0,0,3,1,0,0,0,0
0,1,3,1,2,2,3,3,2,1,0,0,3,1,0,0,0,0
0,1,3,1,2,2,4,4,3,1,0,0,3,1,0,0,0,0
0,1,3,1,2,2,4,4,3,1,0,0,3,1,0,0,0,0
0,1,3,1,2,2,4,4,3,1,0,0,4,1,0,0,0,0
0,1,3,2,2,2,5,5,3,1,0,0,4,1,0,0,0,0
0,1,3,2,2,3,5,5,4,1,0,0,5,1,0,0,0,0
0,1,3,2,2,3,6,6,4,1,0,0,5,1,1,0,0,0
0,1,3,2,2,3,7,7,4,1,0,0,6,2,1,0,1,0
0,1,4,2,3,3,9,9,5,1,0,0,7,2,1,1,1,0
0,1,4,2,3,3,11,10,6,2,0,0,9,2,1,1,1,0
0,1,4,2,3,3,16,12,7,2,0,0,11,3,1,1,1,1
0,1,4,2,3,4,19,23,9,3,1,0,19,5,1,1,2,1
0,1,5,3,3,4,30,22,14,4,1,0,18,5,2,1,3,1
0,1,5,3,4,4,19,19,14,2,1,0,7,2,1,1,1,1
0,1,6,3,4,5,20,7,7,1,0,1,6,2,2,1,1,1
0,2,7,4,5,6,21,8,7,1,0,1,6,2,2,1,1,1
0,2,8,4,5,6,22,8,7,1,0,1,7,2,2,1,1,1
0,2,9,5,6,7,22,9,7,1,0,1,7,2,2,1,1,1
0,3,11,6,7,8,24,9,7,1,0,1,7,2,2,1,2,1
0,3,13,7,9,10,26,10,7,1,0,1,7,2,2,1,2,1
1,4,15,8,10,12,27,11,7,2,0,1,8,2,2,1,2,1
1,4,17,10,15,15,26,12,7,2,0,1,8,2,2,1,2,1
1,8,28,17,23,28,27,14,7,2,0,1,9,2,2,1,2,1
1,12,46,21,31,35,33,15,7,2,0,0,9,2,2,1,2,1
1,12,48,8,22,15,35,16,7,2,0,1,10,3,2,1,2,1
0,3,14,8,15,12,38,18,7,2,0,1,10,2,2,1,2,2
0,3,14,9,16,13,41,19,7,2,0,0,11,3,1,1,3,1
0,3,14,10,18,15,44,21,6,2,0,0,13,3,2,1,3,1
1,3,13,10,18,15,46,22,6,3,0,0,10,3,2,1,2,1
1,3,13,11,17,13,49,25,6,3,0,0,14,4,2,1,3,1
0,3,13,12,21,18,50,25,6,3,0,0,15,4,2,2,3,2
1,4,15,12,19,19,53,28,6,3,0,0,15,4,2,2,3,2
1,4,14,15,26,22,52,30,6,3,0,0,15,5,2,2,3,2
1,3,12,15,26,23,55,31,7,4,0,0,18,5,2,2,4,2
1,3,11,16,27,24,57,35,7,4,0,0,19,5,2,2,4,2
1,3,12,17,30,27,62,37,7,4,0,0,22,6,2,2,4,2
1,4,12,18,31,28,65,47,8,5,0,0,23,6,2,2,4,2
1,5,18,16,18,19,70,48,10,5,0,0,24,7,2,2,4,2
1,5,17,14,24,21,74,47,10,5,1,0,27,7,2,2,5,2
1,5,22,20,33,37,80,52,11,7,1,0,31,8,3,2,6,2
1,4,13,22,39,38,85,58,12,7,1,0,33,9,3,3,5,2
1,5,14,28,32,39,81,63,13,7,1,0,36,10,3,3,6,3
1,5,14,24,41,39,83,65,15,8,1,0,39,10,3,3,6,3
1,6,17,25,42,40,83,68,16,8,1,0,39,10,3,4,6,3
1,7,17,29,43,43,85,72,18,9,1,1,42,10,3,4,7,3
1,8,21,27,39,47,87,76,20,9,1,1,44,12,4,4,7,3
1,10,28,32,53,53,90,80,21,10,1,1,49,13,4,4,7,3
1,10,26,35,57,56,93,84,23,11,1,1,52,14,4,5,7,3
1,12,28,36,61,61,94,89,24,11,1,1,54,15,4,5,8,3
1,14,32,39,64,66,98,92,27,12,2,1,49,28,5,6,8,5
1,16,36,42,70,72,103,99,28,12,2,1,62,16,5,6,8,3
2,18,41,45,74,77,111,102,34,13,2,1,66,18,10,9,10,4
2,21,48,46,75,71,116,111,33,14,2,1,71,19,6,7,9,4
2,22,52,49,78,82,118,116,37,13,2,1,75,20,7,7,9,4
2,22,55,51,78,83,114,114,37,14,2,1,78,20,7,8,9,4
2,25,59,53,82,86,111,112,39,14,2,1,79,21,7,8,9,4
2,27,64,55,84,89,112,113,42,14,2,1,77,21,7,8,9,4
3,28,68,56,86,91,114,110,41,15,2,1,86,22,8,8,10,4
3,29,72,58,88,94,114,115,45,15,3,1,88,23,8,8,10,4
3,31,76,60,90,92,117,119,49,14,3,1,90,24,8,8,10,4
3,33,84,60,90,101,119,124,52,16,3,1,95,25,8,8,11,4
3,35,93,67,98,106,121,124,56,16,3,2,102,39,8,9,10,4
3,37,100,71,103,111,122,129,59,16,3,2,92,25,8,8,11,4
4,34,102,83,98,109,124,135,62,17,3,2,129,31,12,10,14,4
4,40,107,68,105,113,128,144,67,18,3,2,105,30,10,8,11,4
4,44,111,71,108,109,132,141,69,18,3,2,105,29,11,9,12,5
4,44,122,74,107,116,128,147,75,19,4,2,110,29,11,10,11,4
4,45,127,75,107,113,128,147,78,18,4,2,99,30,11,10,11,4
4,47,134,75,109,118,126,145,77,18,4,2,114,30,12,10,12,5
