A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
7,57,203,158,209,226,628,654,298,64,12,7,448,118,27,21,55,24
8,74,262,190,257,267,754,818,405,72,15,9,574,147,38,27,61,26
10,90,311,219,293,303,849,955,529,79,18,13,672,175,50,33,83,35
12,109,379,253,338,351,1152,1437,719,103,27,20,868,214,61,46,109,42
14,137,464,292,390,408,1538,2080,1126,120,42,24,1203,305,92,68,121,43
17,175,585,340,468,486,484,496,281,47,10,8,260,70,23,15,31,13
20,228,741,415,568,594,324,358,220,47,9,7,267,69,23,15,26,11
26,289,921,536,738,755,290,338,226,50,10,7,267,68,24,15,24,10
34,407,1266,643,887,909,260,295,198,45,8,6,243,63,21,13,22,9
44,527,1539,805,1101,1078,240,272,184,42,8,6,214,55,19,12,19,8
59,720,2033,1048,1472,1538,208,240,164,37,7,5,196,51,17,11,18,7
65,755,2112,1265,1765,1629,178,209,150,32,6,5,178,46,16,10,16,7
76,981,2659,1396,2017,1954,151,175,130,28,5,4,158,41,14,9,14,6
69,900,2758,1286,1846,1772,132,150,112,26,5,3,136,35,12,8,12,5
79,1071,3071,1439,1900,1903,109,127,98,23,4,3,116,30,11,6,10,4
93,1339,4323,1800,2584,2510,91,106,85,19,3,3,101,27,9,6,9,4
32,321,1062,570,859,728,83,94,74,17,3,2,90,24,8,5,8,3
19,147,532,223,289,314,80,90,69,16,3,2,81,22,7,4,7,3
15,105,401,183,231,275,74,84,66,15,3,2,73,20,7,4,6,3
12,92,348,156,198,236,64,75,60,14,2,2,66,18,6,4,6,2
10,79,293,131,170,202,54,64,53,12,2,1,58,16,5,3,5,2
9,70,261,117,151,179,47,55,46,10,2,1,53,14,5,3,4,2
8,62,231,103,133,158,41,48,41,9,1,1,47,13,4,3,4,2
7,53,199,88,114,136,38,44,37,8,1,1,42,12,4,2,3,1
6,43,164,74,95,114,35,41,33,8,1,1,37,10,3,2,3,1
5,37,138,63,82,98,31,37,31,7,1,1,34,9,3,2,3,1
4,31,119,54,71,85,28,33,28,6,1,1,30,8,3,2,2,1
4,27,103,48,62,75,24,28,24,5,1,1,27,8,2,2,2,1
3,24,92,42,56,67,22,26,22,5,1,1,25,7,2,1,2,1
3,21,79,36,48,58,20,23,20,5,1,0,23,7,2,1,2,1
3,18,68,32,42,51,19,22,18,4,1,0,21,6,2,1,2,1
2,16,60,29,38,46,18,21,17,4,1,0,19,5,2,1,2,1
2,15,57,26,36,44,17,19,16,4,1,0,18,5,1,1,1,0
2,14,52,24,33,40,15,18,15,4,1,0,16,4,1,1,1,0
2,12,47,22,29,36,14,16,13,3,0,0,15,4,1,1,1,0
2,11,41,19,26,32,12,14,12,3,0,0,14,4,1,1,1,0
1,9,36,17,23,28,11,13,11,2,0,0,13,3,1,1,1,0
1,8,32,15,21,25,10,12,10,2,0,0,12,3,1,1,1,0
1,8,29,14,19,23,10,11,9,2,0,0,11,3,1,1,1,0
1,7,27,13,17,21,9,11,9,2,0,0,10,3,1,1,1,0
1,6,24,12,16,19,9,10,8,2,0,0,9,2,1,0,1,0
1,6,21,11,14,18,8,9,8,2,0,0,8,2,1,1,1,0
1,5,20,10,14,17,8,9,7,2,0,0,8,2,1,1,1,0
1,5,19,9,13,16,7,8,7,2,0,0,8,2,1,0,1,0
1,5,18,9,12,15,7,8,6,1,0,0,7,2,1,0,1,0
1,4,16,8,11,14,6,7,6,1,0,0,7,2,1,0,1,0
1,4,15,7,10,13,6,7,6,1,0,0,6,2,1,1,0,0
1,4,14,7,9,12,6,7,6,1,0,0,6,2,0,0,0,0
1,3,13,6,9,11,6,7,5,1,0,0,6,2,0,0,0,0
1,3,12,6,8,10,5,6,5,1,0,0,5,1,0,0,0,0
1,3,11,6,8,10,5,6,5,1,0,0,5,1,0,0,0,0
1,3,10,5,7,9,5,6,5,1,0,0,5,1,0,0,0,0
1,3,10,5,7,9,5,6,5,1,0,0,5,1,0,0,0,0
0,2,9,5,7,8,5,5,4,1,0,0,4,1,0,0,0,0
0,2,9,5,6,8,4,5,4,1,0,0,4,1,0,0,0,0
0,2,9,4,6,7,4,5,4,1,0,0,4,1,0,0,0,0
0,2,8,4,6,7,4,5,4,1,0,0,4,1,0,0,0,0
0,2,8,4,5,7,4,5,4,1,0,0,4,1,0,0,0,0
0,2,7,4,5,6,4,4,4,1,0,0,4,1,0,0,0,0
0,2,7,4,5,6,4,4,4,1,0,0,4,1,0,0,0,0
0,2,7,4,5,6,4,5,4,1,0,0,4,1,0,0,0,0
0,2,7,4,5,6,4,5,4,1,0,0,4,1,0,0,0,0
0,2,7,4,5,7,4,4,4,1,0,0,3,1,0,0,0,0
0,2,7,4,5,6,4,4,3,1,0,0,3,1,0,0,0,0
0,2,6,3,5,6,3,4,3,1,0,0,3,1,0,0,0,0
0,2,6,3,5,6,3,4,3,1,0,0,3,1,0,0,0,0
0,2,6,3,5,6,3,4,3,1,0,0,3,1,0,0,0,0
0,2,6,3,5,6,3,4,3,1,0,0,3,1,0,0,0,0
0,1,6,3,4,5,3,4,3,1,0,0,3,1,0,0,0,0
0,1,5,3,4,5,3,3,3,1,0,0,3,1,0,0,0,0
0,1,5,3,4,5,3,3,3,1,0,0,3,1,0,0,0,0
0,1,5,3,4,5,3,3,3,1,0,0,3,1,0,0,0,0
0,1,5,2,3,4,3,3,3,1,0,0,3,1,0,0,0,0
0,1,4,2,3,4,3,3,3,1,0,0,3,1,0,0,0,0
0,1,4,2,3,4,3,3,3,1,0,0,3,1,0,0,0,0
0,1,4,2,3,4,3,3,2,1,0,0,2,1,0,0,0,0
0,1,4,2,3,4,3,3,2,1,0,0,2,1,0,0,0,0
0,1,4,2,3,4,2,3,2,1,0,0,2,0,0,0,0,0
0,1,4,2,3,3,2,3,2,1,0,0,2,1,0,0,0,0
0,1,4,2,3,3,2,3,2,1,0,0,2,1,0,0,0,0
0,1,4,2,3,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,3,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,4,2,3,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,2,3,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,0,0,0,0,0
0,1,3,2,2,3,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,1,2,2,2,3,2,0,0,0,2,1,0,0,0,0
0,1,3,1,2,2,3,3,2,0,0,0,2,1,0,0,0,0
0,1,3,1,2,2,3,3,2,1,0,0,2,1,0,0,0,0
