A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
6,47,178,69,91,108,91,114,78,15,3,3,94,23,9,5,8,3
6,48,181,70,92,110,93,115,79,15,3,3,96,23,9,5,8,3
6,48,183,72,94,112,95,117,80,15,3,3,97,23,9,6,8,3
6,49,185,73,95,113,96,119,81,16,3,3,99,23,9,6,9,3
6,49,188,74,97,115,98,121,82,16,3,3,100,24,9,6,9,3
6,49,189,75,98,116,99,122,83,16,3,3,101,24,9,6,9,3
6,49,191,76,99,118,101,124,84,16,3,3,102,24,9,6,9,3
6,49,192,77,100,119,101,125,84,16,3,3,103,25,9,6,9,3
6,50,193,77,101,120,103,126,85,17,4,3,103,25,9,6,9,3
6,50,193,78,101,120,104,127,85,17,4,3,104,25,9,6,9,3
6,50,194,78,102,121,104,128,86,17,4,3,105,25,9,6,9,4
6,50,195,79,102,122,105,129,86,17,4,3,105,25,9,6,9,4
6,49,194,79,102,122,106,129,86,17,4,3,106,25,9,6,9,4
6,49,195,79,103,123,106,130,87,17,4,3,106,26,9,6,9,4
6,49,195,80,103,123,107,130,87,17,4,3,106,25,9,6,9,4
6,49,195,80,104,123,107,130,87,17,4,3,107,26,10,6,9,4
6,49,194,80,104,124,108,131,87,17,4,3,107,26,9,6,9,4
6,49,193,80,104,124,109,132,88,17,4,3,107,26,9,6,9,4
6,48,193,80,104,124,109,133,88,18,4,3,108,26,9,6,9,4
6,48,192,80,105,125,110,133,88,18,4,3,108,26,10,6,10,4
6,48,191,80,105,125,111,134,89,18,4,3,109,26,10,6,10,4
6,48,190,80,105,125,111,134,89,18,4,3,109,26,10,6,10,4
6,47,190,80,105,125,111,134,89,18,4,3,109,26,9,6,10,4
6,47,188,80,105,126,112,135,89,18,4,3,109,26,10,6,10,4
6,47,187,80,105,125,112,135,89,18,4,3,110,27,9,6,10,4
6,47,186,79,105,125,113,135,89,18,4,3,110,27,9,6,10,4
6,46,185,79,105,125,113,135,89,18,4,3,110,27,9,6,10,4
6,46,184,79,104,125,113,136,89,18,4,3,110,27,9,6,10,4
6,46,183,79,104,125,113,136,89,18,4,3,110,27,9,6,10,4
6,45,182,79,104,125,113,136,89,18,4,3,110,27,9,6,10,4
6,45,181,79,104,125,114,136,89,18,4,3,110,27,9,6,10,4
6,45,181,78,104,125,114,136,89,18,4,3,110,27,9,6,10,4
6,45,180,78,104,125,114,136,89,18,4,3,111,27,9,6,10,4
6,44,179,78,104,125,114,136,89,18,4,3,111,27,9,6,10,4
6,44,178,78,104,125,115,137,89,18,4,3,111,27,9,6,10,4
6,44,177,78,104,124,115,137,89,18,4,3,111,27,9,6,10,4
6,44,176,78,104,125,115,137,89,18,4,3,110,27,9,6,10,4
6,44,176,78,104,125,115,137,89,18,4,3,110,27,9,6,10,4
6,44,175,78,104,125,116,137,89,18,4,3,111,27,9,6,10,4
6,43,174,78,104,124,116,137,89,18,4,3,111,27,9,6,10,4
6,43,174,77,103,125,116,137,89,18,4,3,111,27,9,6,10,4
6,43,173,77,103,124,116,137,89,18,4,3,110,27,9,6,10,4
6,43,172,77,103,124,116,137,88,18,4,3,110,27,9,6,10,4
6,43,172,77,103,124,116,137,88,18,4,3,110,27,9,6,10,4
6,42,171,77,103,124,116,137,88,18,4,3,110,27,9,6,10,4
6,42,169,76,102,123,116,136,88,18,4,3,110,27,9,6,10,4
6,42,169,76,102,123,116,136,88,18,4,3,110,27,9,6,10,4
6,42,167,76,102,123,116,136,87,18,4,3,109,27,9,6,10,4
6,41,167,76,101,122,116,136,87,18,4,3,109,27,9,6,10,4
6,41,166,75,101,122,116,136,87,18,4,3,109,26,9,6,10,4
6,41,165,75,101,122,116,136,87,18,4,3,109,27,9,6,10,4
6,41,164,75,101,122,116,136,87,18,4,3,109,27,9,6,10,4
6,41,163,75,101,122,116,136,87,18,4,3,109,27,9,6,10,4
6,40,163,75,101,122,116,136,87,18,4,3,109,27,9,6,10,4
6,40,162,74,100,121,116,136,87,18,4,3,109,27,9,6,10,4
6,40,161,74,100,121,116,136,87,18,4,3,109,27,9,6,10,4
6,40,160,74,100,120,116,136,87,18,4,3,109,27,9,6,10,4
6,39,159,74,99,120,116,136,87,18,4,3,109,27,9,6,10,4
5,39,158,73,99,120,116,136,87,18,4,3,109,27,9,6,10,4
5,39,158,73,99,120,116,136,86,18,4,3,109,27,9,6,10,4
5,39,157,73,99,120,116,136,86,18,4,3,109,27,9,6,10,4
5,39,156,73,98,119,116,135,86,18,4,3,109,26,9,6,10,4
5,38,155,73,98,119,116,135,86,18,4,3,108,27,9,6,10,4
5,38,154,72,98,119,116,135,86,18,4,3,108,27,9,5,10,4
5,38,153,72,98,118,116,135,86,18,4,3,108,26,9,5,10,4
5,38,153,72,97,118,116,135,86,18,4,3,108,26,9,5,10,4
5,37,152,72,97,118,116,135,86,18,4,3,108,27,9,5,10,4
5,37,151,71,97,118,116,135,86,18,4,3,108,26,9,5,10,4
5,37,150,71,96,117,115,135,85,18,4,3,108,26,9,5,10,4
5,37,149,71,96,117,115,134,85,18,4,3,108,27,9,5,10,4
5,36,148,71,96,117,115,134,85,18,4,3,108,26,8,5,10,4
5,36,147,71,96,116,115,134,85,18,4,3,107,26,8,5,10,4
5,36,147,70,95,116,115,134,85,18,4,3,107,26,8,5,10,4
5,36,146,70,95,116,115,134,85,18,4,3,107,26,8,5,10,4
5,35,145,70,95,116,115,134,85,18,4,3,107,26,8,5,10,4
5,35,144,70,95,115,115,133,85,18,4,3,107,26,8,5,10,4
5,35,143,69,94,115,114,133,84,18,4,3,107,26,8,5,10,4
5,35,142,69,94,114,114,133,84,18,3,3,107,26,8,5,10,4
5,34,142,69,94,114,114,133,84,18,4,3,106,26,8,5,10,4
5,34,141,69,93,114,114,133,84,18,4,3,106,26,8,5,10,4
5,34,140,68,93,113,114,132,84,18,3,3,106,26,8,5,10,4
5,34,139,68,93,113,113,132,84,18,3,3,106,26,8,5,9,4
5,34,138,68,92,113,113,132,84,18,4,3,106,26,8,5,9,4
5,33,137,67,92,113,113,131,83,18,3,3,105,26,8,5,9,4
5,33,136,67,92,112,112,131,83,18,3,3,105,26,8,5,9,4
5,33,135,67,92,112,112,131,83,18,3,3,105,26,8,5,9,4
5,33,134,66,91,112,112,130,83,18,3,3,105,26,8,5,9,4
5,32,133,66,91,111,111,130,83,18,3,3,104,26,8,5,9,4
5,32,132,66,90,111,111,129,82,17,3,3,104,26,8,5,9,4
5,32,131,65,90,110,110,128,82,17,3,3,103,26,8,5,9,4
5,32,130,65,90,110,109,128,81,17,3,3,103,25,8,5,9,4
5,32,130,64,89,110,109,127,81,17,3,3,102,25,8,5,9,4
5,31,128,64,89,109,108,126,81,17,3,2,102,25,8,5,9,4
5,31,127,64,88,109,107,126,80,17,3,3,101,25,8,5,9,4
5,31,126,63,88,108,107,125,80,17,3,2,101,25,8,5,9,4
5,31,125,63,87,108,106,124,80,17,3,2,100,25,8,5,9,4
5,30,124,62,87,107,105,123,79,17,3,2,99,25,8,5,9,4
5,30,123,62,86,106,104,122,78,17,3,2,98,24,8,5,9,4
5,30,122,61,86,106,103,121,77,16,3,2,98,24,8,5,9,4
5,29,121,61,85,105,102,119,77,16,3,2,97,24,8,5,9,3
5,29,120,60,85,104,101,118,76,16,3,2,96,24,8,5,9,3
5,29,119,60,84,104,100,117,75,16,3,2,94,23,7,5,8,4
4,28,117,59,83,103,99,115,74,16,3,2,93,23,7,5,8,3
4,28,116,59,83,102,108,119,74,17,3,2,99,25,8,5,9,4
4,28,115,58,82,101,137,143,82,21,3,2,137,34,10,6,13,5
4,27,113,58,81,100,161,180,105,25,4,3,151,37,11,7,14,6
4,27,112,57,80,100,161,187,113,26,5,3,147,36,10,7,14,5
4,27,110,56,79,98,159,183,109,25,5,3,146,36,10,7,13,5
4,26,109,55,78,98,157,182,109,25,4,3,144,36,10,7,13,5
4,26,107,55,77,96,156,181,109,25,5,3,142,35,10,7,13,5
4,25,105,54,76,95,153,179,109,24,4,3,142,35,10,7,13,5
4,25,103,53,75,94,151,176,107,24,4,3,139,34,10,6,13,5
4,24,99,51,72,91,148,173,107,24,4,3,138,34,10,6,13,5
4,23,97,50,72,90,146,168,105,23,4,3,135,33,10,6,12,5
4,23,95,54,78,97,132,168,102,22,4,3,131,32,10,6,12,4
5,26,109,69,107,134,101,142,96,18,4,3,114,27,10,6,9,3
6,30,127,78,123,156,71,97,77,12,3,3,73,18,8,5,7,2
6,30,124,76,121,154,32,52,48,6,2,2,23,5,6,3,3,1
6,30,123,75,119,151,28,19,21,3,1,2,15,4,6,2,2,1
6,29,123,74,117,149,31,19,17,3,1,3,14,4,5,2,2,1
6,29,123,74,116,147,29,18,15,3,1,2,15,4,5,2,3,1
6,30,124,73,115,145,31,18,15,3,1,2,15,4,5,2,3,1
6,29,124,72,113,143,33,19,14,3,1,2,15,4,5,2,3,1
5,29,122,71,110,139,33,20,14,3,1,2,18,6,5,3,3,1
5,29,121,70,108,136,34,24,13,3,1,2,16,4,4,2,3,1
5,29,120,71,116,134,37,23,13,3,1,2,19,5,4,2,3,2
5,37,150,61,90,118,39,24,13,3,1,2,19,5,4,3,4,2
4,33,143,42,73,83,42,26,13,3,1,1,20,5,4,3,4,2
3,24,104,16,36,32,47,27,13,3,1,2,21,5,4,3,4,2
1,12,51,13,21,19,48,29,13,4,1,1,23,5,4,3,4,2
1,11,46,14,22,19,52,30,12,4,1,1,24,6,4,3,4,2
1,9,41,15,23,20,51,32,12,4,1,1,27,6,4,3,4,2
1,10,40,16,24,21,50,30,12,4,1,1,26,6,4,3,4,2
1,10,41,16,24,22,56,28,12,4,1,1,28,6,4,3,4,2
1,10,39,18,26,23,58,38,12,5,1,1,30,7,4,3,5,2
1,9,37,18,26,24,58,39,14,5,1,1,46,7,4,3,5,2
1,9,36,20,29,25,58,40,12,5,1,1,33,8,3,3,5,2
1,9,35,21,30,27,61,44,12,5,1,1,35,8,4,4,5,2
1,9,34,21,31,29,64,45,13,6,1,1,37,8,3,3,5,2
