A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
1,7,29,21,24,27,62,42,18,7,1,1,31,8,2,1,4,2
2,10,46,28,29,36,68,47,20,8,1,1,33,9,2,2,4,2
2,9,48,28,31,39,78,52,21,9,1,1,37,15,2,2,5,3
2,9,51,29,33,42,85,59,23,11,1,1,51,26,4,4,7,4
2,10,56,33,37,47,94,65,25,12,1,1,54,24,4,4,7,4
2,12,62,33,38,49,104,74,28,13,1,1,61,17,4,3,7,4
2,11,60,37,41,51,114,82,31,14,2,1,65,16,4,3,8,4
2,11,60,40,44,54,125,91,35,15,2,1,69,17,4,3,8,4
2,11,62,42,47,59,136,100,39,17,2,1,73,19,4,3,9,5
3,12,64,45,52,63,147,110,41,18,2,1,83,21,4,3,10,5
3,12,65,48,56,68,159,120,45,20,2,1,105,25,5,4,12,6
3,13,68,52,61,75,172,135,53,22,3,1,204,45,14,9,20,8
4,16,76,69,72,83,184,145,57,23,3,1,218,52,20,12,20,8
5,21,88,76,82,95,197,160,63,25,3,1,176,41,15,9,17,8
5,19,91,72,84,101,210,172,68,27,3,2,136,32,9,6,15,7
5,19,91,73,88,107,221,185,73,29,4,2,130,32,6,5,15,7
5,20,94,78,95,114,235,201,80,31,4,2,142,35,7,5,16,8
6,22,101,84,105,125,250,220,90,34,5,2,170,42,9,7,19,9
6,24,110,91,115,137,265,238,100,37,5,2,186,46,10,7,20,9
5,27,123,98,125,149,280,259,111,39,6,3,201,49,11,8,22,10
5,29,134,104,135,162,296,279,122,42,6,3,217,54,12,9,23,10
5,32,156,113,147,177,312,300,135,45,7,3,234,58,13,10,25,11
5,32,148,119,156,187,329,323,152,47,7,4,253,62,15,10,26,12
5,35,157,125,166,199,346,342,163,50,8,4,273,67,16,11,28,12
6,40,177,134,179,214,366,363,178,53,9,5,293,72,18,13,30,13
6,43,188,143,191,229,386,385,193,56,9,5,314,77,20,14,32,14
7,48,210,152,204,246,407,408,210,59,10,6,335,83,22,15,34,15
8,55,242,160,217,264,425,429,226,63,11,6,355,88,23,16,36,15
8,56,242,169,226,273,444,448,239,66,11,7,377,93,25,17,38,16
9,63,265,180,240,289,477,489,267,71,12,8,405,99,28,18,40,17
10,66,278,187,251,301,506,520,288,76,13,8,433,106,30,20,43,18
10,71,299,194,261,314,518,536,297,78,14,9,463,112,33,21,46,20
12,81,339,207,279,337,529,555,316,79,14,9,499,120,36,23,49,21
13,86,358,216,291,351,581,599,340,88,16,10,537,127,39,25,53,22
13,91,374,223,301,361,627,647,370,96,17,11,571,135,41,26,56,24
14,98,404,231,314,380,659,685,391,100,18,12,607,144,44,28,59,25
14,103,427,239,327,394,684,722,412,103,19,13,629,151,47,30,60,25
15,110,457,248,342,412,705,757,437,107,20,13,646,158,49,31,62,26
16,117,486,261,358,431,724,793,467,109,21,14,669,167,53,34,64,27
17,126,523,276,379,456,792,862,513,118,23,16,719,182,59,38,69,29
19,136,564,295,403,485,816,949,590,125,26,19,685,172,63,39,61,24
20,145,600,313,428,517,513,667,483,91,20,16,433,109,45,27,38,16
21,154,640,332,457,553,387,446,308,66,13,11,347,90,31,19,31,13
22,165,682,343,473,574,341,386,260,59,11,8,307,78,27,17,28,12
