A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
6,49,183,62,79,93,79,105,77,13,3,3,88,20,9,5,7,3
6,51,191,65,83,97,82,109,80,13,3,3,91,21,9,6,7,3
6,52,198,68,86,101,85,113,83,14,3,3,94,22,10,6,8,3
6,53,204,70,89,104,88,117,86,14,3,3,98,23,10,6,8,3
7,55,209,72,92,107,91,121,88,15,4,3,100,23,10,6,8,3
7,56,214,74,95,110,93,124,90,15,4,3,103,24,10,6,9,3
7,57,219,76,97,113,96,127,92,15,4,3,105,25,10,6,9,3
7,57,222,78,99,116,98,129,93,16,4,4,107,25,11,6,9,3
7,58,226,80,101,118,100,132,95,16,4,4,109,26,11,6,9,3
7,59,230,81,103,120,102,134,96,16,4,4,111,26,11,7,9,3
7,59,233,82,105,122,104,136,98,17,4,4,113,26,11,7,9,4
7,60,234,83,106,123,105,138,99,17,4,4,114,27,11,7,10,4
7,60,236,84,107,125,107,140,100,17,4,4,115,27,11,7,10,4
7,60,239,86,109,127,108,141,101,17,4,4,116,27,11,7,10,4
7,61,241,87,110,129,109,142,102,18,4,4,117,28,11,7,10,4
7,61,242,88,111,130,110,144,102,18,4,4,118,28,12,7,10,4
8,61,243,88,113,132,112,146,104,18,4,4,120,29,12,7,10,4
8,62,244,89,114,134,114,148,105,18,4,4,122,29,12,7,10,4
8,62,245,90,116,135,116,151,107,19,4,4,124,30,12,7,10,4
8,62,246,91,117,137,118,152,108,19,4,4,126,30,12,7,11,4
8,62,246,91,118,138,119,154,109,19,4,4,127,30,12,7,11,4
8,62,246,92,119,140,120,155,110,19,4,4,127,30,12,7,11,4
8,62,246,92,120,141,121,156,110,20,5,4,128,30,12,7,11,4
8,62,246,93,121,142,122,157,110,20,5,4,129,31,12,7,11,4
8,62,245,93,121,143,123,158,111,20,5,4,131,31,12,8,11,4
8,62,245,93,122,143,125,160,112,20,5,4,132,32,12,8,11,4
8,61,244,93,122,144,126,161,113,20,5,4,132,31,12,7,11,4
8,61,244,94,123,145,126,162,113,20,5,4,133,32,13,8,11,4
8,61,244,94,123,146,127,163,114,21,5,4,134,32,13,8,11,4
