A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,1023,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,1023,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,461,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,475,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,488,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,510,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,555,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,514,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,460,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,474,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,437,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,499,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,478,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,481,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,483,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,499,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,499,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,533,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,493,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,452,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,531,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,516,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,519,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,492,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,481,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,473,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,521,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,485,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,459,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,484,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,491,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,449,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,520,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,492,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,448,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,484,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,498,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,499,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,463,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,449,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,439,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,465,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,496,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,469,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,467,f
0.88,1.90,1.72,0.83,1.30,3.55,3.59,6.15,5.20,1.88,0.00,0.00,10.29,11.93,4.38,2.52,0.92,1.19,457,f
