A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
5.26,56.95,113.29,24.05,25.35,35.53,7.77,9.51,6.62,1.41,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,695,f
5.26,56.01,111.58,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,1.19,1023,f
4.38,56.01,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,585,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,482,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,511,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,492,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,485,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,484,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,1002,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,1.19,460,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,510,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,1.19,452,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,1.19,1023,f
5.26,56.95,113.29,24.05,25.35,35.53,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,472,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,0.94,0.65,0.98,60.61,21.70,8.77,5.03,2.77,1.19,479,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,427,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,461,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,1.19,448,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,445,f
5.26,56.95,113.29,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,457,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,460,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,460,f
5.26,56.95,113.29,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,454,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,1.19,476,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,451,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,1.19,418,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,1.19,453,f
5.26,56.95,113.29,24.05,25.35,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,1.19,469,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,470,f
4.38,56.01,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,413,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,452,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,419,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,1.19,420,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,459,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,450,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,439,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,422,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,442,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,1.19,440,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,1.19,447,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,475,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,448,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,1.19,426,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,1.19,479,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,444,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,413,f
5.26,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,444,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,1.19,464,f
5.26,56.95,113.29,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,21.70,8.77,5.03,2.77,2.38,443,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,445,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,442,f
4.38,56.95,112.43,24.05,24.70,34.94,7.77,9.51,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,1.19,438,f
5.26,56.95,113.29,24.05,24.70,34.94,7.77,9.51,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,483,f
4.38,56.95,112.43,24.05,24.70,34.94,8.37,9.51,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,443,f
4.38,56.95,112.43,24.05,24.70,34.94,8.37,9.51,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,427,f
4.38,56.95,113.29,24.05,24.70,34.94,8.37,9.51,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,440,f
5.26,56.95,113.29,24.05,25.35,35.53,8.37,10.07,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,444,f
5.26,56.95,113.29,24.05,25.35,34.94,8.37,10.07,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,439,f
4.38,56.95,112.43,24.05,24.70,34.94,8.37,10.07,7.09,1.41,0.65,0.98,60.61,22.78,9.65,5.03,2.77,2.38,441,f
4.38,56.95,112.43,24.05,24.70,34.94,8.37,10.07,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,458,f
4.38,56.95,112.43,24.05,25.35,34.94,8.37,10.07,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,440,f
5.26,56.95,113.29,24.05,25.35,35.53,8.37,10.07,7.09,1.41,0.65,0.98,61.76,22.78,8.77,5.03,2.77,2.38,440,f
5.26,56.95,113.29,24.05,25.35,35.53,8.97,10.07,7.09,1.41,0.65,0.98,61.76,22.78,8.77,5.03,2.77,2.38,426,f
4.38,56.95,113.29,24.05,25.35,35.53,8.97,10.07,7.09,1.41,0.65,0.98,61.76,22.78,8.77,5.03,2.77,2.38,421,f
5.26,56.95,113.29,24.05,25.35,35.53,8.97,10.63,7.09,1.41,0.65,0.98,61.76,22.78,9.65,5.87,2.77,2.38,442,f
5.26,56.95,113.29,24.88,25.35,35.53,8.97,10.63,7.09,1.41,0.65,0.98,61.76,22.78,9.65,5.87,2.77,2.38,438,f
5.26,56.95,113.29,24.88,25.35,35.53,8.97,10.63,7.09,1.41,0.65,0.98,61.76,22.78,9.65,5.03,2.77,2.38,435,f
5.26,56.95,113.29,24.05,25.35,35.53,9.57,10.63,7.09,1.41,0.65,0.98,61.76,22.78,9.65,5.87,2.77,2.38,437,f
4.38,56.95,113.29,24.88,25.35,35.53,9.57,10.63,7.57,1.41,0.65,0.98,62.90,22.78,9.65,5.87,2.77,2.38,439,f
5.26,56.95,113.29,24.88,25.35,35.53,9.57,11.19,7.57,1.41,0.65,0.98,62.90,22.78,9.65,5.03,2.77,2.38,432,f
4.38,56.95,113.29,24.88,25.35,35.53,10.16,11.19,7.57,1.41,0.65,0.98,62.90,22.78,9.65,5.87,2.77,2.38,481,f
5.26,56.95,113.29,24.88,25.35,35.53,10.16,11.19,7.57,1.41,0.65,0.98,62.90,22.78,9.65,5.87,2.77,2.38,439,f
5.26,56.95,114.15,24.88,25.35,35.53,10.76,11.75,7.57,1.41,0.65,0.98,64.05,23.87,9.65,5.87,2.77,2.38,403,f
5.26,56.95,113.29,24.88,25.35,35.53,11.36,11.75,7.57,1.41,0.65,0.98,64.05,23.87,9.65,5.87,2.77,2.38,433,f
5.26,56.95,113.29,24.88,25.35,35.53,11.96,12.31,7.57,1.41,0.65,0.98,65.19,23.87,9.65,5.87,2.77,2.38,469,f
5.26,56.95,113.29,24.88,25.35,35.53,14.35,12.87,8.04,1.88,0.65,0.98,66.33,24.95,9.65,5.87,2.77,2.38,422,f
5.26,56.95,113.29,24.88,25.35,35.53,17.34,14.55,8.04,1.88,0.65,0.98,68.62,26.04,9.65,5.87,3.69,3.57,437,f
5.26,56.95,113.29,24.88,25.35,35.53,22.12,17.90,8.51,2.35,0.65,0.98,74.34,29.29,9.65,5.87,3.69,3.57,435,f
5.26,57.90,114.15,24.88,25.35,35.53,26.31,21.82,9.46,2.82,0.65,0.98,84.63,29.29,10.52,6.71,4.61,3.57,438,f
5.26,57.90,114.15,24.88,25.35,35.53,32.29,27.98,11.35,3.76,0.65,0.98,101.79,37.97,11.40,7.55,5.53,4.77,438,f
5.26,57.90,114.15,24.88,25.35,35.53,35.28,31.33,13.24,4.23,1.30,0.98,120.09,42.31,12.28,8.39,6.46,5.96,435,f
5.26,57.90,114.15,25.71,25.35,35.53,38.27,38.05,16.55,5.17,1.30,0.98,147.53,55.33,14.03,10.07,8.30,7.15,428,f
5.26,57.90,114.15,25.71,26.00,36.13,34.08,33.57,15.13,4.70,1.30,0.98,128.09,37.97,14.91,8.39,5.53,3.57,407,f
5.26,58.85,115.87,28.20,29.25,40.27,36.47,34.13,15.13,5.17,1.30,0.98,114.37,31.46,12.28,6.71,4.61,3.57,434,f
5.26,67.40,129.60,42.29,42.90,53.30,38.27,35.25,15.61,5.17,1.30,1.95,122.37,33.63,14.03,7.55,5.53,3.57,408,f
8.76,97.77,175.95,55.56,54.60,64.55,39.46,35.81,16.08,5.64,1.30,1.95,130.38,34.72,15.78,8.39,5.53,3.57,451,f
5.26,71.19,168.22,36.49,40.95,61.00,40.66,36.37,16.08,5.64,1.30,1.95,131.52,34.72,15.78,8.39,5.53,3.57,436,f
5.26,71.19,168.22,37.32,40.95,61.59,42.45,37.49,16.55,5.64,1.30,1.95,133.81,35.80,15.78,8.39,5.53,3.57,432,f
5.26,70.24,168.22,36.49,40.95,61.59,44.84,39.17,17.03,6.11,1.30,1.95,136.10,35.80,15.78,8.39,5.53,3.57,434,f
5.26,70.24,168.22,36.49,40.95,61.59,47.83,40.85,17.50,6.11,1.30,1.95,138.38,36.89,15.78,8.39,5.53,3.57,434,f
5.26,70.24,167.36,36.49,40.95,61.59,50.82,42.52,17.97,6.58,1.30,1.95,141.82,37.97,16.66,9.23,6.46,4.77,784,f
5.26,70.24,167.36,37.32,40.95,61.59,55.01,44.20,18.44,7.05,1.96,1.95,146.39,40.14,16.66,9.23,6.46,4.77,996,f
5.26,70.24,168.22,37.32,40.95,61.59,59.79,46.44,18.92,7.52,1.96,1.95,153.25,41.23,17.54,9.23,6.46,4.77,1006,f
5.26,71.19,169.08,37.32,41.60,62.19,66.37,49.80,19.86,7.99,1.96,1.95,160.11,44.48,17.54,10.07,7.38,5.96,708,f
5.26,71.19,169.94,38.15,41.60,62.78,74.14,53.16,20.34,8.46,1.96,1.95,169.26,46.65,18.41,10.07,8.30,5.96,1023,f
5.26,71.19,170.80,38.15,42.25,63.37,83.71,57.63,21.28,9.40,1.96,1.95,178.41,49.91,19.29,10.91,8.30,7.15,1023,f
5.26,71.19,171.65,38.98,42.25,63.96,96.86,63.79,22.70,10.34,1.96,1.95,190.99,54.24,20.17,11.75,10.14,8.34,1023,f
5.26,72.14,172.51,38.98,42.90,64.55,113.60,71.06,24.12,11.75,1.96,1.95,208.15,58.58,21.04,12.59,11.07,9.53,877,f
