A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
7.89,102.52,253.19,57.22,61.10,92.98,61.59,66.58,34.05,8.46,2.61,3.91,121.23,34.72,14.03,8.39,4.61,3.57,1023,f
7.89,102.52,253.19,57.22,61.10,92.98,61.59,66.58,34.05,8.46,2.61,3.91,121.23,34.72,14.03,8.39,5.53,3.57,678,f
7.89,102.52,253.19,57.22,61.10,92.98,62.18,66.58,34.05,8.46,2.61,3.91,121.23,34.72,14.03,8.39,4.61,3.57,569,f
7.89,101.57,252.33,57.22,61.10,92.98,62.18,66.58,34.05,8.46,2.61,3.91,121.23,34.72,14.03,8.39,5.53,3.57,431,f
7.89,101.57,252.33,57.22,61.10,92.98,62.18,66.58,34.05,8.46,2.61,3.91,121.23,35.80,14.03,8.39,5.53,3.57,420,f
7.89,101.57,252.33,57.22,61.10,92.98,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,431,f
7.89,101.57,252.33,57.22,61.10,92.98,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,4.61,3.57,460,f
7.89,101.57,252.33,57.22,61.75,92.98,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,440,f
7.89,101.57,252.33,57.22,61.75,92.98,62.18,66.58,34.05,8.46,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,436,f
7.89,101.57,252.33,57.22,61.75,92.98,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,433,f
7.89,101.57,252.33,57.22,61.10,92.98,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,461,f
7.89,101.57,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,1023,f
7.89,101.57,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,458,f
7.89,101.57,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,452,f
7.89,101.57,251.47,57.22,61.10,92.98,62.18,66.58,34.05,8.46,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,510,f
7.89,101.57,251.47,57.22,61.10,92.98,62.18,66.58,34.05,8.46,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,468,f
7.89,101.57,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,419,f
7.89,101.57,251.47,57.22,61.10,92.98,61.59,66.58,34.05,8.46,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,445,f
7.89,101.57,252.33,57.22,61.75,93.57,61.59,66.02,34.05,8.46,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,422,f
7.89,101.57,251.47,57.22,61.10,92.98,62.18,66.58,34.05,8.46,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,405,f
7.89,101.57,251.47,57.22,61.10,92.98,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,412,f
7.89,101.57,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,405,f
7.89,101.57,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,4.61,3.57,434,f
7.89,101.57,251.47,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,412,f
7.89,101.57,251.47,57.22,61.10,92.98,62.18,66.58,34.05,8.46,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,411,f
7.89,101.57,251.47,57.22,61.75,93.57,62.18,66.58,34.05,8.46,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,446,f
7.89,101.57,251.47,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,411,f
7.89,101.57,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,389,f
7.89,101.57,251.47,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,4.61,3.57,451,f
