A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
5.26,53.16,126.17,48.93,50.05,74.03,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,1023,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,1023,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,1023,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,1023,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,66.58,27.43,11.75,2.61,2.93,93.78,31.46,13.15,8.39,5.53,3.57,1023,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,1023,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,517,f
5.26,52.21,124.45,48.10,49.40,72.85,72.95,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,415,f
5.26,52.21,124.45,48.10,49.40,72.85,72.95,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,552,f
5.26,52.21,124.45,48.10,49.40,72.85,72.95,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,475,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,449,f
5.26,52.21,124.45,48.10,49.40,72.85,72.95,67.14,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,421,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,9.23,5.53,3.57,362,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,353,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,341,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,344,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,66.58,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,336,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,331,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,331,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,332,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,9.23,5.53,3.57,327,f
5.26,52.21,124.45,48.93,50.05,72.85,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,326,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,326,f
5.26,52.21,124.45,48.93,49.40,72.85,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,323,f
5.26,52.21,125.31,48.93,50.05,72.85,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,326,f
5.26,52.21,125.31,48.93,50.05,72.85,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,323,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,321,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,9.23,5.53,3.57,322,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,321,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,320,f
