A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
7.01,67.40,182.81,62.20,77.99,127.33,106.43,105.75,51.08,15.51,3.26,3.91,196.71,30.38,18.41,8.39,8.30,4.77,1023,f
7.01,66.45,180.24,61.37,77.34,125.56,105.83,104.63,50.61,15.04,3.26,3.91,195.57,30.38,18.41,8.39,8.30,4.77,1021,f
7.01,65.50,177.66,60.54,76.04,124.37,105.23,103.51,50.13,15.04,3.26,3.91,195.57,30.38,18.41,8.39,8.30,4.77,1004,f
7.01,64.55,176.80,60.54,75.39,123.78,104.64,103.51,49.66,15.04,3.26,3.91,195.57,30.38,18.41,8.39,8.30,4.77,659,f
7.01,64.55,175.09,60.54,75.39,123.19,104.64,102.95,49.66,15.04,3.26,3.91,194.42,30.38,18.41,8.39,8.30,4.77,1005,f
7.01,64.55,175.09,59.71,75.39,123.19,104.64,102.95,49.66,15.04,3.26,3.91,194.42,30.38,18.41,8.39,8.30,4.77,1023,f
7.01,63.60,174.23,59.71,75.39,122.59,104.04,102.95,49.66,15.04,3.26,3.91,194.42,30.38,18.41,8.39,8.30,4.77,1010,f
7.01,64.55,174.23,59.71,75.39,123.19,104.04,102.39,49.66,15.04,3.26,3.91,194.42,30.38,18.41,8.39,8.30,4.77,463,f
7.01,63.60,175.09,59.71,75.39,123.19,104.04,102.39,49.19,15.04,3.26,3.91,194.42,30.38,18.41,8.39,8.30,4.77,420,f
7.01,63.60,174.23,59.71,74.74,122.59,103.44,101.83,49.19,15.04,3.26,3.91,194.42,30.38,18.41,8.39,8.30,4.77,384,f
7.01,63.60,174.23,59.71,74.74,122.59,103.44,101.83,49.19,15.04,3.26,3.91,194.42,30.38,18.41,8.39,8.30,4.77,361,f
7.01,63.60,174.23,59.71,74.74,122.59,102.84,101.27,48.71,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,364,f
7.01,63.60,173.37,59.71,74.74,122.00,102.84,101.27,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,355,f
7.01,63.60,172.51,59.71,74.74,122.00,102.84,101.27,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,362,f
7.01,62.65,172.51,59.71,74.09,121.41,102.84,100.71,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,344,f
7.01,62.65,171.65,58.88,74.09,121.41,102.24,100.71,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,359,f
7.01,62.65,171.65,58.88,74.09,121.41,102.24,100.71,48.71,14.57,3.26,2.93,192.14,30.38,18.41,8.39,8.30,4.77,398,f
7.01,62.65,171.65,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,192.14,30.38,18.41,8.39,8.30,4.77,356,f
7.01,62.65,171.65,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,192.14,30.38,18.41,8.39,8.30,4.77,367,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.24,14.57,3.26,3.91,192.14,30.38,18.41,8.39,7.38,4.77,372,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.24,14.57,3.26,2.93,192.14,30.38,18.41,8.39,8.30,4.77,363,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.24,14.57,3.26,3.91,192.14,30.38,18.41,8.39,8.30,4.77,356,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,192.14,30.38,18.41,8.39,8.30,4.77,346,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,192.14,30.38,18.41,8.39,7.38,4.77,356,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,2.93,192.14,30.38,18.41,8.39,8.30,4.77,345,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.24,14.57,3.26,2.93,192.14,30.38,18.41,8.39,8.30,4.77,386,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.24,14.57,3.26,3.91,192.14,30.38,18.41,8.39,8.30,4.77,349,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.24,14.57,3.26,3.91,192.14,30.38,18.41,8.39,8.30,4.77,353,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,192.14,30.38,18.41,8.39,8.30,4.77,348,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.24,14.57,3.26,2.93,193.28,30.38,18.41,8.39,8.30,4.77,388,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,373,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,355,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,332,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,351,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,193.28,31.46,18.41,8.39,8.30,4.77,335,f
7.01,62.65,170.80,58.88,74.09,120.82,102.24,100.71,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,357,f
7.01,62.65,170.80,58.88,74.09,120.82,102.84,100.71,48.71,14.57,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,353,f
7.01,62.65,171.65,58.88,74.09,121.41,102.84,101.27,48.71,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,352,f
7.01,62.65,171.65,58.88,74.09,121.41,102.84,101.27,48.71,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,345,f
7.01,62.65,171.65,58.88,74.09,121.41,102.84,101.27,48.71,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,344,f
7.01,62.65,171.65,58.88,74.09,121.41,103.44,101.83,49.19,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,371,f
7.01,62.65,172.51,59.71,74.09,121.41,103.44,101.83,49.19,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,350,f
7.01,62.65,172.51,59.71,74.09,121.41,103.44,101.83,49.19,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,368,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,367,f
7.01,62.65,172.51,59.71,74.09,122.00,104.04,102.39,49.19,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,359,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,193.28,31.46,18.41,8.39,8.30,4.77,339,f
