A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Stage,Interval
11.36,145.31,167.14,34.03,63.67,120.40,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,145.31,167.14,34.03,63.67,120.40,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,145.31,167.14,34.03,63.67,120.40,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,146.26,168.01,34.03,63.67,120.40,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,145.31,168.01,34.03,63.67,120.40,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,145.31,168.01,34.03,63.67,121.06,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,146.26,168.01,34.03,63.67,121.06,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,146.26,168.01,34.03,63.67,121.06,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,146.26,168.88,34.03,63.67,121.06,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,146.26,168.88,34.03,63.67,121.06,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,146.26,168.88,34.03,63.67,121.06,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,147.21,168.88,34.03,63.67,121.06,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,146.26,168.88,34.03,63.67,121.72,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,147.21,168.88,34.03,64.43,121.72,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,147.21,169.76,34.86,64.43,121.72,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,147.21,169.76,34.86,64.43,121.72,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,147.21,169.76,34.86,64.43,121.72,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,147.21,169.76,34.86,64.43,121.72,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,147.21,169.76,34.86,64.43,121.72,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,147.21,169.76,34.86,64.43,122.38,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,147.21,169.76,34.86,64.43,122.38,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,148.16,169.76,34.86,64.43,122.38,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,147.21,170.63,34.86,64.43,122.38,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,147.21,170.63,34.86,64.43,122.38,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,148.16,170.63,34.86,64.43,122.38,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,148.16,170.63,34.86,64.43,122.38,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,148.16,170.63,34.86,64.43,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,149.11,170.63,34.86,65.19,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,149.11,170.63,34.86,65.19,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,149.11,170.63,34.86,65.19,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,149.11,171.50,34.86,65.19,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,150.06,171.50,34.86,65.19,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,150.06,171.50,34.86,65.19,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,150.06,171.50,34.86,65.19,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,150.06,171.50,34.86,65.19,123.70,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,150.06,171.50,34.86,65.19,123.70,37.34,36.51,18.82,5.01,1.59,1.68,34.97,15.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,150.06,171.50,34.86,65.19,123.70,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Settling, 10
11.36,150.06,172.37,34.86,65.19,123.70,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
