A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Stage,Interval
15,153,192,41,84,182,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,153,192,41,84,182,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,153,192,41,84,182,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,154,193,41,84,182,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,153,193,41,84,182,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,153,193,41,84,183,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,154,193,41,84,183,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,154,193,41,84,183,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,154,194,41,84,183,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,154,194,41,84,183,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,154,194,41,84,183,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,155,194,41,84,183,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,154,194,41,84,184,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,155,194,41,85,184,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,155,195,42,85,184,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,155,195,42,85,184,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,155,195,42,85,184,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,155,195,42,85,184,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,155,195,42,85,184,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,155,195,42,85,185,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,155,195,42,85,185,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,156,195,42,85,185,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,155,196,42,85,185,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,155,196,42,85,185,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,156,196,42,85,185,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,156,196,42,85,185,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,156,196,42,85,186,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,157,196,42,86,186,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,157,196,42,86,186,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,157,196,42,86,186,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,157,197,42,86,186,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,158,197,42,86,186,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,158,197,42,86,186,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,158,197,42,86,186,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,158,197,42,86,187,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,158,197,42,86,187,88,90,51,15,3,2,31,16,4,3,3,2,Settling, 10
15,158,197,42,86,187,88,90,51,15,3,2,31,15,4,3,3,2,Settling, 10
15,158,198,42,86,187,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,158,198,42,86,188,88,90,51,15,3,2,31,16,5,3,3,2,Settling, 10
15,158,198,42,86,188,88,90,51,15,3,2,31,15,5,3,3,2,Settling, 10
15,158,198,42,86,187,88,90,51,15,3,2,31,16,5,3,3,2,Settling, 10
15,158,198,42,86,188,88,90,51,15,3,2,31,16,5,3,3,2,Settling, 10
15,158,197,42,86,187,88,90,51,15,3,2,31,15,5,3,3,2,Draining, 3
15,158,197,42,86,187,88,90,51,15,3,2,31,15,5,3,3,2,Draining, 3
15,158,197,42,86,187,88,90,51,15,3,2,31,15,5,3,3,2,Draining, 3
15,159,198,42,86,187,88,90,51,15,3,2,31,15,4,3,3,2,Draining, 3
15,159,197,42,86,186,88,90,51,15,3,2,31,15,5,3,3,2,Draining, 3
15,159,198,42,86,186,89,90,51,15,3,2,31,15,4,3,3,2,Draining, 3
15,159,197,42,86,188,88,90,51,15,3,2,31,15,4,3,3,2,Draining, 3
15,158,198,42,86,186,88,90,51,15,3,2,31,15,5,3,3,2,Draining, 3
15,158,197,42,86,186,89,90,51,15,3,2,31,15,4,3,3,2,Draining, 3
15,159,198,42,86,186,88,90,52,15,3,2,31,15,5,3,3,2,Draining, 3
15,159,197,42,86,186,89,90,52,15,3,2,31,15,5,3,3,2,Draining, 3
15,159,198,42,86,186,89,90,52,15,3,2,31,15,5,3,3,2,Draining, 3
15,159,197,42,86,186,89,90,52,15,3,2,31,15,5,3,3,2,Draining, 3
16,159,197,42,86,186,89,90,52,15,3,2,31,15,5,3,3,2,Draining, 3
15,159,197,42,86,186,89,90,52,15,3,2,31,15,5,3,3,2,Draining, 3
15,159,198,42,86,186,89,90,52,15,3,2,31,15,5,3,3,2,Draining, 3
15,159,197,42,86,185,89,90,52,15,3,2,31,15,5,3,3,2,Draining, 3
15,159,198,42,86,186,89,91,52,15,3,2,31,15,5,3,3,2,Draining, 3
16,160,197,42,86,185,89,91,52,15,3,2,31,15,5,3,3,2,Draining, 3
16,160,198,42,86,185,89,91,52,15,3,2,31,15,5,3,3,2,Draining, 3
16,161,198,42,87,185,89,91,52,15,3,2,31,15,4,3,3,2,Draining, 3
16,161,198,43,87,185,89,91,53,15,3,2,31,15,5,3,3,2,Draining, 3
16,163,199,43,87,185,89,92,53,15,3,2,31,15,5,3,3,2,Draining, 3
